phase,horizon_h,subset,response_group,family,observed,n,failures,hits,mae_m,bias_m,absolute_error_sum_m,maximum_error_m
validation,12,all,decrease_gt_0.5m,observed_control,1126,1126,0,792,0.38241495817565835,0.3506494157510302,430.5992429057913,1.966696550832917
validation,12,all,within_0.5m,observed_control,4256,4256,0,3651,0.28865342471865196,0.0954756312139361,1228.5089756025827,3.378567261901673
validation,12,all,unavailable_base,observed_control,40,0,40,0,,,0.0,
validation,12,all,increase_gt_0.5m,augmented,1084,1084,0,790,0.43981460226785213,-0.024398198154919313,476.7590288583517,4.034788384474123
validation,12,all,decrease_gt_0.5m,augmented,1126,1126,0,813,0.35298096699237475,0.3195731992034992,397.45656883341394,1.8360551090382593
validation,12,all,within_0.5m,augmented,4256,4256,0,3644,0.3035003716942724,0.11551564104693025,1291.6975819308234,2.8091003886624
validation,12,all,unavailable_base,augmented,40,0,40,0,,,0.0,
validation,12,level_ge_7m,increase_gt_0.5m,observed_control,15,15,0,6,0.9537200215947389,0.7782271940925789,14.305800323921083,2.619470094800553
validation,12,level_ge_7m,decrease_gt_0.5m,observed_control,4,4,0,0,1.0242203333394602,1.0242203333394602,4.096881333357841,1.2693391380167478
validation,12,level_ge_7m,within_0.5m,observed_control,9,9,0,1,0.7816787077670918,0.23157021641490733,7.035108369903826,1.135483233176215
validation,12,level_ge_7m,unavailable_base,observed_control,0,0,0,0,,,0.0,
validation,12,level_ge_7m,increase_gt_0.5m,augmented,15,15,0,2,1.4701727075294135,1.4701727075294135,22.052590612941202,2.906818966046039
validation,12,level_ge_7m,decrease_gt_0.5m,augmented,4,4,0,0,1.136079503479579,1.136079503479579,4.544318013918316,1.3891707809069516
validation,12,level_ge_7m,within_0.5m,augmented,9,9,0,1,0.8115458938331304,0.47386208069387137,7.303913044498174,1.246552154159616
validation,12,level_ge_7m,unavailable_base,augmented,0,0,0,0,,,0.0,
test,1,all,increase_gt_0.5m,observed_control,95,95,0,89,0.15070978845041913,-0.11614436719569547,14.317429902789819,1.284834339803509
test,1,all,decrease_gt_0.5m,observed_control,7,7,0,6,0.31850436869682497,0.31850436869682497,2.229530580877775,0.6595193888836022
test,1,all,within_0.5m,observed_control,1837,1837,0,1837,0.02706568128239114,0.004401943818660725,49.719656515752526,0.3603095106937886
test,1,all,unavailable_base,observed_control,5,0,5,0,,,0.0,
test,1,all,increase_gt_0.5m,augmented,95,95,0,89,0.1593546601735208,-0.023496336773955736,15.138692716484476,0.6864903781978722
test,1,all,decrease_gt_0.5m,augmented,7,7,0,6,0.40954964958949347,0.40954964958949347,2.8668475471264543,0.7767047671414353
test,1,all,within_0.5m,augmented,1837,1837,0,1837,0.03202538080696105,0.00909186837663221,58.830624542387454,0.34917535387621834
test,1,all,unavailable_base,augmented,5,0,5,0,,,0.0,
test,1,level_ge_7m,increase_gt_0.5m,observed_control,24,24,0,19,0.2651420254244601,-0.2222798078772165,6.363408610187042,1.284834339803509
test,1,level_ge_7m,decrease_gt_0.5m,observed_control,7,7,0,6,0.31850436869682497,0.31850436869682497,2.229530580877775,0.6595193888836022
test,1,level_ge_7m,within_0.5m,observed_control,205,205,0,205,0.04727043305209682,0.00728210103410834,9.690438775679848,0.3603095106937886
test,1,level_ge_7m,unavailable_base,observed_control,1,0,1,0,,,0.0,
test,1,level_ge_7m,increase_gt_0.5m,augmented,24,24,0,18,0.287204807052053,0.11373339850359843,6.8929153692492715,0.6864903781978722
test,1,level_ge_7m,decrease_gt_0.5m,augmented,7,7,0,6,0.40954964958949347,0.40954964958949347,2.8668475471264543,0.7767047671414353
test,1,level_ge_7m,within_0.5m,augmented,205,205,0,205,0.06816606391480007,0.02915591141378946,13.974043102534013,0.2696889678607022
test,1,level_ge_7m,unavailable_base,augmented,1,0,1,0,,,0.0,
test,2,all,increase_gt_0.5m,observed_control,206,206,0,194,0.17454339052512732,-0.06581618544105142,35.95593844817623,2.4854087637465963
test,2,all,decrease_gt_0.5m,observed_control,70,70,0,67,0.10564336063522838,0.0967603978204204,7.395035244465986,0.6136497364926079
test,2,all,within_0.5m,observed_control,1660,1660,0,1655,0.044448838248860534,0.008494149312733821,73.78507149310849,0.6729447273684219
test,2,all,unavailable_base,observed_control,7,0,7,0,,,0.0,
test,2,all,increase_gt_0.5m,augmented,206,206,0,189,0.18053071018434602,0.020899592380804764,37.18932629797528,1.180271860918749
test,2,all,decrease_gt_0.5m,augmented,70,70,0,64,0.19006170956026525,0.18123553326458666,13.304319669218566,0.9329524936540103
test,2,all,within_0.5m,augmented,1660,1660,0,1641,0.05195192411652705,0.017100846620065314,86.2401940334349,0.9961723774545546
test,2,all,unavailable_base,augmented,7,0,7,0,,,0.0,
test,2,level_ge_7m,increase_gt_0.5m,observed_control,40,40,0,33,0.4006980409911657,-0.24824073969528393,16.027921639646628,2.4854087637465963
test,2,level_ge_7m,decrease_gt_0.5m,observed_control,44,44,0,41,0.15428455695570972,0.1401525706594243,6.788520506051228,0.6136497364926079
test,2,level_ge_7m,within_0.5m,observed_control,152,152,0,151,0.07618042428430749,0.002971673174760086,11.579424491214738,0.6335914737796617
test,2,level_ge_7m,unavailable_base,observed_control,1,0,1,0,,,0.0,
test,2,level_ge_7m,increase_gt_0.5m,augmented,40,40,0,26,0.38988647088337247,0.09717871910773139,15.595458835334899,1.095393969852375
test,2,level_ge_7m,decrease_gt_0.5m,augmented,44,44,0,38,0.2910280199639048,0.2781655721936916,12.805232878411811,0.9329524936540103
test,2,level_ge_7m,within_0.5m,augmented,152,152,0,145,0.11477914713257768,0.0375479777437467,17.44643036415181,0.8456809377614931
test,2,level_ge_7m,unavailable_base,augmented,1,0,1,0,,,0.0,
test,3,all,increase_gt_0.5m,observed_control,291,291,0,264,0.2170825016277946,-0.0874525222318085,63.17100797368823,3.5268719363183774
