phase,profile,horizon_h,subset,reference,observed_targets,pairs,failures,old_hits,new_hits,delta_hits,old_mae_m,new_mae_m,old_max_m,new_max_m
validation,B,1,all,mixed_profile_candidate,6517,6488,29,6486,6486,0,0.024304167517363726,0.023953342218235068,0.6751386202226772,0.6617180607167488
validation,B,1,all,profile_B_control,6517,6488,29,6485,6486,1,0.02269398096152259,0.023953342218235068,0.6604182002351888,0.6617180607167488
validation,B,1,level_ge_7m,mixed_profile_candidate,28,28,0,28,28,0,0.10049258377658805,0.10019435179708076,0.3233328497722727,0.33225869449257495
validation,B,1,level_ge_7m,profile_B_control,28,28,0,28,28,0,0.08723246070700563,0.10019435179708076,0.2763001588280076,0.33225869449257495
validation,B,2,all,mixed_profile_candidate,6516,6487,29,6473,6473,0,0.03670517948947578,0.03641526276323658,1.0021520968315372,0.9817377312962696
validation,B,2,all,profile_B_control,6516,6487,29,6475,6473,-2,0.035474564587545054,0.03641526276323658,0.915431615571995,0.9817377312962696
validation,B,2,level_ge_7m,mixed_profile_candidate,28,28,0,25,25,0,0.17058836413056058,0.17777314131371155,0.6654902213279517,0.6967733521679165
validation,B,2,level_ge_7m,profile_B_control,28,28,0,27,25,-2,0.14050710758353616,0.17777314131371155,0.5038715751272758,0.6967733521679165
validation,B,3,all,mixed_profile_candidate,6515,6487,28,6433,6428,-5,0.05383864418686927,0.05498929164104592,1.408020403800724,1.238100768075899
validation,B,3,all,profile_B_control,6515,6487,28,6463,6428,-35,0.049820112142526386,0.05498929164104592,1.1773227423019819,1.238100768075899
validation,B,3,level_ge_7m,mixed_profile_candidate,28,28,0,23,23,0,0.27089180720741585,0.27726363593709913,1.1558051085951035,1.1368127332903288
validation,B,3,level_ge_7m,profile_B_control,28,28,0,25,23,-2,0.2189182435827352,0.27726363593709913,0.8606432989096868,1.1368127332903288
validation,B,4,all,mixed_profile_candidate,6514,6484,30,6424,6425,1,0.07058492273375583,0.06985965462953236,1.4569632485693784,1.4085431804414856
validation,B,4,all,profile_B_control,6514,6484,30,6440,6425,-15,0.0668996538143383,0.06985965462953236,1.3381390558773205,1.4085431804414856
validation,B,4,level_ge_7m,mixed_profile_candidate,28,28,0,23,23,0,0.2855828888341062,0.3187840358246331,1.0752953783696508,1.332299381672824
validation,B,4,level_ge_7m,profile_B_control,28,28,0,24,23,-1,0.2108473378682307,0.3187840358246331,0.9459258404198012,1.332299381672824
validation,B,5,all,mixed_profile_candidate,6513,6483,30,6400,6390,-10,0.0825442124085056,0.08399686984907752,1.3662891017699481,1.4101770924028703
validation,B,5,all,profile_B_control,6513,6483,30,6397,6390,-7,0.08327613012956056,0.08399686984907752,1.331690111386059,1.4101770924028703
validation,B,5,level_ge_7m,mixed_profile_candidate,28,28,0,23,22,-1,0.27542112344877456,0.330386381437666,1.060013319538986,1.112235096843345
validation,B,5,level_ge_7m,profile_B_control,28,28,0,22,22,0,0.27534792982512496,0.330386381437666,0.6619228134997979,1.112235096843345
validation,B,6,all,mixed_profile_candidate,6512,6482,30,6333,6348,15,0.10208987076245167,0.09809160891423213,1.475247979291903,1.4685202431751385
validation,B,6,all,profile_B_control,6512,6482,30,6335,6348,13,0.100202271937591,0.09809160891423213,1.3836569377257621,1.4685202431751385
validation,B,6,level_ge_7m,mixed_profile_candidate,28,28,0,23,26,3,0.234415440827118,0.28575167494086423,0.8878534127507605,0.8706153246681954
validation,B,6,level_ge_7m,profile_B_control,28,28,0,24,26,2,0.24801770801555317,0.28575167494086423,0.8497199323401672,0.8706153246681954
validation,B,7,all,mixed_profile_candidate,6511,6481,30,6244,6250,6,0.12888867120541123,0.12893793113108562,1.7269704230562064,1.8056504888819924
validation,B,7,all,profile_B_control,6511,6481,30,6236,6250,14,0.13330361598357807,0.12893793113108562,1.9469233922814213,1.8056504888819924
validation,B,7,level_ge_7m,mixed_profile_candidate,28,28,0,18,18,0,0.4560700649693484,0.5081379109924041,1.4090351708705535,1.5204994131510032
validation,B,7,level_ge_7m,profile_B_control,28,28,0,21,18,-3,0.4016508110801708,0.5081379109924041,1.5547784950117238,1.5204994131510032
validation,B,8,all,mixed_profile_candidate,6510,6480,30,6059,6073,14,0.1704148861123432,0.16664505377849054,2.3646913665301716,2.5872197818842344
validation,B,8,all,profile_B_control,6510,6480,30,6053,6073,20,0.1724419207308681,0.16664505377849054,2.4148113737986923,2.5872197818842344
validation,B,8,level_ge_7m,mixed_profile_candidate,28,28,0,12,11,-1,0.5476979996492372,0.5992206275747549,1.1407016548166258,1.1896106459173499
validation,B,8,level_ge_7m,profile_B_control,28,28,0,11,11,0,0.5716336864815942,0.5992206275747549,1.335266769823745,1.1896106459173499
validation,B,9,all,mixed_profile_candidate,6509,6479,30,5880,5873,-7,0.2038300182607304,0.20795143546210873,2.473954225633736,2.4374011803874134
validation,B,9,all,profile_B_control,6509,6479,30,5855,5873,18,0.2076660813656506,0.20795143546210873,2.7098908516267364,2.4374011803874134
validation,B,9,level_ge_7m,mixed_profile_candidate,28,28,0,13,13,0,0.6278429398808643,0.5450355319216903,1.2897325780055553,1.4871240497654075
validation,B,9,level_ge_7m,profile_B_control,28,28,0,13,13,0,0.550863307530523,0.5450355319216903,1.0197194289142804,1.4871240497654075
validation,B,10,all,mixed_profile_candidate,6508,6478,30,5678,5628,-50,0.2562090169205722,0.26092728689388256,2.7000360258143568,2.8043119483576104
validation,B,10,all,profile_B_control,6508,6478,30,5623,5628,5,0.25720643215891753,0.26092728689388256,2.4804765974214895,2.8043119483576104
validation,B,10,level_ge_7m,mixed_profile_candidate,28,28,0,12,12,0,0.699211740774898,0.6350210035564274,1.3834610834055372,1.4939933994909271
validation,B,10,level_ge_7m,profile_B_control,28,28,0,9,12,3,0.6643735020102935,0.6350210035564274,1.3401800821740704,1.4939933994909271
validation,B,11,all,mixed_profile_candidate,6507,6477,30,5441,5437,-4,0.29278351383364437,0.2896008088586031,2.782852193718697,3.0087811910935907
validation,B,11,all,profile_B_control,6507,6477,30,5428,5437,9,0.2905822176429305,0.2896008088586031,2.865019175287727,3.0087811910935907
validation,B,11,level_ge_7m,mixed_profile_candidate,28,28,0,12,13,1,0.8638838143316304,0.7956585731975852,1.8853676913696518,1.7590232012967562
validation,B,11,level_ge_7m,profile_B_control,28,28,0,9,13,4,0.8077808031857842,0.7956585731975852,1.7389829813270943,1.7590232012967562
validation,B,12,all,mixed_profile_candidate,6506,6476,30,5242,5247,5,0.3182545059844979,0.3165910398469192,2.7198626388655986,2.603960974834246
validation,B,12,all,profile_B_control,6506,6476,30,5314,5247,-67,0.3099396793421758,0.3165910398469192,2.7918124693982707,2.603960974834246
validation,B,12,level_ge_7m,mixed_profile_candidate,28,28,0,8,10,2,0.8993451970014238,0.8560786213193771,1.7499122670491971,1.7629797315936724
validation,B,12,level_ge_7m,profile_B_control,28,28,0,11,10,-1,0.886781584346093,0.8560786213193771,1.896039493567729,1.7629797315936724
