window,station,timestamp_literal,previous_timestamp_literal,elapsed_seconds,ChuvaFinal,CQ_ChuvaFinal,admissible,source_file,source_record_index
2018-09-27,86200900,2018-10-02 08:00:00,2018-10-02 06:00:00,7200.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,24
2018-09-27,86200900,2018-10-02 11:00:00,2018-10-02 08:00:00,10800.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,23
2018-09-27,86200900,2018-10-02 16:00:00,2018-10-02 11:00:00,18000.0,3.20,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,22
2018-09-27,86200900,2018-10-02 20:00:00,2018-10-02 16:00:00,14400.0,1.80,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,21
2018-09-27,86200900,2018-10-02 23:00:00,2018-10-02 20:00:00,10800.0,1.80,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,20
2018-09-27,86200900,2018-10-03 02:00:00,2018-10-02 23:00:00,10800.0,11.40,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,19
2018-09-27,86200900,2018-10-03 05:00:00,2018-10-03 02:00:00,10800.0,0.40,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,18
2018-09-27,86200900,2018-10-04 01:00:00,2018-10-03 05:00:00,72000.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,17
2018-09-27,86200900,2018-10-04 05:00:00,2018-10-04 01:00:00,14400.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,16
2018-09-27,86200900,2018-10-04 21:00:00,2018-10-04 06:00:00,54000.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,14
2018-09-27,86200900,2018-10-05 02:00:00,2018-10-04 21:00:00,18000.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,13
2018-09-27,86200900,2018-10-05 07:00:00,2018-10-05 02:00:00,18000.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,12
2018-09-27,86200900,2018-10-05 12:00:00,2018-10-05 07:00:00,18000.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,11
2018-09-27,86200900,2018-10-05 16:00:00,2018-10-05 12:00:00,14400.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,10
2018-09-27,86200900,2018-10-06 01:00:00,2018-10-05 16:00:00,32400.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,9
2018-09-27,86200900,2018-10-06 04:00:00,2018-10-06 01:00:00,10800.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,8
2018-09-27,86200900,2018-10-06 07:00:00,2018-10-06 04:00:00,10800.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,7
2018-09-27,86200900,2018-10-06 10:00:00,2018-10-06 08:00:00,7200.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,5
2018-09-27,86200900,2018-10-06 13:00:00,2018-10-06 10:00:00,10800.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,4
2018-09-27,86200900,2018-10-06 19:00:00,2018-10-06 14:00:00,18000.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,2
2018-09-27,86200900,2018-10-06 21:00:00,2018-10-06 19:00:00,7200.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,1
2018-09-27,86298000,2018-09-27 08:00:00,2018-09-27 06:00:00,7200.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86298000-2018-09-27--2018-10-06.xml,113
2018-09-27,86298000,2018-10-01 05:00:00,2018-10-01 03:00:00,7200.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86298000-2018-09-27--2018-10-06.xml,21
2018-09-27,86447000,2018-09-30 07:00:00,2018-09-30 05:00:00,7200.0,0.40,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86447000-2018-09-27--2018-10-06.xml,161
2018-09-27,86448000,2018-10-02 12:00:00,2018-10-02 11:00:00,3600.0,226.70,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86448000-2018-09-27--2018-10-06.xml,107
2018-09-27,86448000,2018-10-06 14:00:00,2018-10-06 12:00:00,7200.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86448000-2018-09-27--2018-10-06.xml,10
2018-09-27,86450000,2018-10-04 23:01:00,2018-10-04 23:00:00,60.0,0.00,Dado aprovado,True,outputs/radar-insumos-observados-2018-20260922/raw/ana-86450000-2018-09-27--2018-10-06.xml,49
2018-09-27,86450000,2018-10-05 00:00:00,2018-10-04 23:01:00,3540.0,0.00,Dado aprovado,True,outputs/radar-insumos-observados-2018-20260922/raw/ana-86450000-2018-09-27--2018-10-06.xml,48
2018-09-27,86493000,2018-09-28 17:00:00,2018-09-28 15:00:00,7200.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86493000-2018-09-27--2018-10-06.xml,199
2018-09-27,86510000,2018-09-28 17:00:00,2018-09-28 16:00:00,3600.0,,,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86510000-2018-09-27--2018-09-29.xml,31
2018-09-27,86510000,2018-09-30 05:00:00,2018-09-30 04:00:00,3600.0,0.40,Dado suspeito,False,outputs/radar-insumos-observados-2018-20260922/raw/reused-86510000-2018-09-30--2018-10-06.xml,163
2018-09-27,86510000,2018-09-30 10:00:00,2018-09-30 09:00:00,3600.0,,,False,outputs/radar-insumos-observados-2018-20260922/raw/reused-86510000-2018-09-30--2018-10-06.xml,158
