window,column,name,finite,missing
2018-08-30,86,Prata-Turvo:C48,168,0
2018-08-30,87,Prata-Turvo:P3lag3,0,168
2018-08-30,88,Prata-Turvo:P3lag6,0,168
2018-08-30,89,Prata-Turvo:P3lag12,0,168
2018-08-30,90,Alto Antas:P1,4,164
2018-08-30,91,Alto Antas:C1,168,0
2018-08-30,92,Alto Antas:P3,0,168
2018-08-30,93,Alto Antas:C3,168,0
2018-08-30,94,Alto Antas:P6,0,168
2018-08-30,95,Alto Antas:C6,168,0
2018-08-30,96,Alto Antas:P12,0,168
2018-08-30,97,Alto Antas:C12,168,0
2018-08-30,98,Alto Antas:P24,0,168
2018-08-30,99,Alto Antas:C24,168,0
2018-08-30,100,Alto Antas:P48,0,168
2018-08-30,101,Alto Antas:C48,168,0
2018-08-30,102,Alto Antas:P3lag3,0,168
2018-08-30,103,Alto Antas:P3lag6,0,168
2018-08-30,104,Alto Antas:P3lag12,0,168
2018-08-30,105,Tainhas:P1,0,168
2018-08-30,106,Tainhas:C1,168,0
2018-08-30,107,Tainhas:P3,0,168
2018-08-30,108,Tainhas:C3,168,0
2018-08-30,109,Tainhas:P6,0,168
2018-08-30,110,Tainhas:C6,168,0
2018-08-30,111,Tainhas:P12,0,168
2018-08-30,112,Tainhas:C12,168,0
2018-08-30,113,Tainhas:P24,0,168
2018-08-30,114,Tainhas:C24,168,0
2018-08-30,115,Tainhas:P48,0,168
2018-08-30,116,Tainhas:C48,168,0
2018-08-30,117,Tainhas:P3lag3,0,168
2018-08-30,118,Tainhas:P3lag6,0,168
2018-08-30,119,Tainhas:P3lag12,0,168
2018-09-30,0,86510000:H,165,3
2018-09-30,1,86510000:dH0.5,0,168
2018-09-30,2,86510000:dH1,162,6
2018-09-30,3,86510000:dH2,162,6
2018-09-30,4,86510000:dH4,162,6
2018-09-30,5,86510000:dH8,162,6
2018-09-30,6,86472000:H,168,0
2018-09-30,7,86472000:dH0.5,168,0
2018-09-30,8,86472000:dH1,168,0
2018-09-30,9,86472000:dH2,168,0
2018-09-30,10,86472000:dH4,168,0
2018-09-30,11,86472000:dH8,168,0
2018-09-30,12,86472600:H,0,168
2018-09-30,13,86472600:dH0.5,0,168
