plant,variable,previous_timestamp,timestamp,previous_value_m,value_m,delta_m,elapsed_hours,rate_m_per_hour,previous_source_file,previous_source_line,source_file,source_line,I_raw,Q_raw,context_zero_or_negative
JIUHMC,val_niveljusante,2025-06-27 10:00:00,2025-06-27 11:00:00,110.48,107.38,-3.1000000000000085,1.0,-3.1000000000000085,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,2075,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,2076,734.0,567.0,False
JIUHMC,val_niveljusante,2025-06-29 03:00:00,2025-06-29 04:00:00,109.61,110.63,1.019999999999996,1.0,1.019999999999996,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,2116,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,2117,3079.0,2920.0,False
JIUHMC,val_niveljusante,2025-06-29 06:00:00,2025-06-29 07:00:00,111.7,112.89,1.1899999999999977,1.0,1.1899999999999977,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,2119,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,2120,3988.0,3929.0,False
JIUHMC,val_niveljusante,2025-07-27 22:00:00,2025-07-27 23:00:00,106.28,107.4,1.1200000000000045,1.0,1.1200000000000045,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_07-ceran.csv,2135,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_07-ceran.csv,2136,262.0,287.0,False
JIUHMC,val_niveljusante,2025-08-03 03:00:00,2025-08-03 04:00:00,107.8,106.66,-1.1400000000000006,1.0,-1.1400000000000006,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,1540,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,1541,73.0,73.0,False
JIUHMC,val_niveljusante,2025-08-20 16:00:00,2025-08-20 17:00:00,105.21,106.28,1.0700000000000074,1.0,1.0700000000000074,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,1961,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,1962,310.0,194.0,False
JIUHMC,val_niveljusante,2025-08-29 09:00:00,2025-08-29 10:00:00,106.8,105.4,-1.3999999999999915,1.0,-1.3999999999999915,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,2170,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,2171,62.0,20.0,False
JIUHMC,val_niveljusante,2025-08-31 17:00:00,2025-08-31 18:00:00,105.4,106.6,1.1999999999999886,1.0,1.1999999999999886,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,2226,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,2227,164.0,209.0,False
JIUHMC,val_niveljusante,2025-09-06 16:00:00,2025-09-06 17:00:00,106.39,107.93,1.5400000000000063,1.0,1.5400000000000063,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,1577,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,1578,421.0,471.0,False
JIUHMC,val_niveljusante,2025-09-08 10:00:00,2025-09-08 11:00:00,107.9,105.9,-2.0,1.0,-2.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,1619,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,1620,174.0,58.0,False
JIUHMC,val_niveljusante,2025-09-08 13:00:00,2025-09-08 14:00:00,105.5,107.0,1.5,1.0,1.5,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,1622,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,1623,154.0,233.0,False
JIUHMC,val_niveljusante,2025-09-09 02:00:00,2025-09-09 03:00:00,107.36,106.3,-1.0600000000000023,1.0,-1.0600000000000023,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,1635,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,1636,498.0,273.0,False
JIUHMC,val_niveljusante,2025-09-27 17:00:00,2025-09-27 18:00:00,107.2,108.29,1.0900000000000034,1.0,1.0900000000000034,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,2082,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,2083,438.0,479.0,False
JIUHMC,val_niveljusante,2025-09-29 08:00:00,2025-09-29 09:00:00,107.61,106.33,-1.2800000000000011,1.0,-1.2800000000000011,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,2121,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,2122,188.0,101.0,False
JIUHMC,val_niveljusante,2025-09-29 16:00:00,2025-09-29 17:00:00,106.74,108.05,1.3100000000000023,1.0,1.3100000000000023,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,2129,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_09-ceran.csv,2130,388.0,430.0,False
JIUHMC,val_niveljusante,2025-10-07 09:00:00,2025-10-07 10:00:00,109.36,108.15,-1.2099999999999937,1.0,-1.2099999999999937,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_10-ceran.csv,1642,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_10-ceran.csv,1643,708.0,641.0,False
