nominal_lead_h,column,name,current,training_rows,finite_training_rows,missing_training_rows,minimum,maximum,status
4,169,icon_global:Prata-Turvo:forecastP6,0.0,10884,10802,82,0.0,55.099999999999994,within_univariate_range
4,170,icon_global:Prata-Turvo:forecastP9,0.0,10884,10799,85,0.0,58.199999999999996,within_univariate_range
4,171,icon_global:Prata-Turvo:forecastP12,0.0,10884,10796,88,0.0,60.400000000000006,within_univariate_range
4,172,icon_global:Alto Antas:forecastP3,0.0,10884,10805,79,0.0,38.8,within_univariate_range
4,173,icon_global:Alto Antas:forecastP6,0.0,10884,10802,82,0.0,55.599999999999994,within_univariate_range
4,174,icon_global:Alto Antas:forecastP9,0.0,10884,10799,85,0.0,63.7,within_univariate_range
4,175,icon_global:Alto Antas:forecastP12,0.0,10884,10796,88,0.0,69.69999999999999,within_univariate_range
4,176,icon_global:Tainhas:forecastP3,0.0,10884,10805,79,0.0,43.0,within_univariate_range
4,177,icon_global:Tainhas:forecastP6,0.0,10884,10802,82,0.0,59.9,within_univariate_range
4,178,icon_global:Tainhas:forecastP9,0.0,10884,10799,85,0.0,63.8,within_univariate_range
4,179,icon_global:Tainhas:forecastP12,0.0,10884,10796,88,0.0,73.6,within_univariate_range
5,0,86510000:H,18.33,10882,10882,0,0.81,15.31,above_training_max
5,1,86510000:dH0.5,0.45999999999999375,10882,10882,0,-0.379999999999999,1.0599999999999996,within_univariate_range
5,2,86510000:dH1,0.46999999999999886,10882,10882,0,-0.39999999999999947,1.08,within_univariate_range
5,3,86510000:dH2,0.504999999999999,10882,10882,0,-0.3700000000000001,0.9950000000000001,within_univariate_range
5,4,86510000:dH4,0.5399999999999991,10882,10882,0,-0.3250000000000002,0.9274999999999998,within_univariate_range
5,5,86510000:dH8,0.6099999999999999,10882,10882,0,-0.3075000000000001,0.82,within_univariate_range
5,6,86472000:H,20.11,10882,10882,0,2.49,15.94,above_training_max
5,7,86472000:dH0.5,-0.0799999999999983,10882,10882,0,-0.8399999999999999,1.379999999999999,within_univariate_range
5,8,86472000:dH1,-0.08000000000000185,10882,10882,0,-0.7599999999999998,1.2400000000000002,within_univariate_range
5,9,86472000:dH2,0.08000000000000007,10882,10882,0,-0.5800000000000001,1.1099999999999999,within_univariate_range
5,10,86472000:dH4,0.39749999999999996,10882,10882,0,-0.39250000000000007,0.875,within_univariate_range
5,11,86472000:dH8,0.6437499999999998,10882,10882,0,-0.2975000000000001,0.7512499999999999,within_univariate_range
5,12,86472600:H,16.96,10882,10882,0,1.1,13.36,above_training_max
5,13,86472600:dH0.5,0.2600000000000051,10882,10882,0,-0.4599999999999991,1.1799999999999997,within_univariate_range
5,14,86472600:dH1,0.4400000000000013,10882,10882,0,-0.4499999999999993,1.1199999999999997,within_univariate_range
5,15,86472600:dH2,0.5300000000000002,10882,10882,0,-0.4099999999999997,0.9349999999999998,within_univariate_range
5,16,86472600:dH4,0.6500000000000004,10882,10882,0,-0.3025,0.7350000000000001,within_univariate_range
5,17,86472600:dH8,0.6600000000000001,10882,10882,0,-0.24124999999999996,0.6699999999999999,within_univariate_range
5,18,86500000:H,4.045,10882,10882,0,0.6,7.917999999999999,within_univariate_range
5,19,86500000:dH0.5,-0.16000000000000014,10882,10882,0,-1.42,2.3599999999999994,within_univariate_range
5,20,86500000:dH1,-0.14800000000000058,10882,10882,0,-0.8700000000000001,1.3860000000000001,within_univariate_range
5,21,86500000:dH2,-0.14349999999999996,10882,10882,0,-0.605,1.0565000000000002,within_univariate_range
5,22,86500000:dH4,-0.14949999999999997,10882,10882,0,-0.345,0.6527499999999999,within_univariate_range
5,23,86500000:dH8,-0.18275000000000008,10882,10882,0,-0.190125,0.45875000000000005,within_univariate_range
5,24,julho:Q06,4.27077877534511,10882,10882,0,0.09273681166560854,2.9733108475315086,above_training_max
