at,epoch,scope,classification,level_approved_m,raw_level_cm,raw_level_qc,raw_flow,raw_flow_qc,source_path,record_start_line,approved_q_in_other_preserved_xml
2026-01-01T14:15:00-03:00,1767287700.0,other,no_exact_record,,,,,,,,0
2026-01-01T14:30:00-03:00,1767288600.0,other,no_exact_record,,,,,,,,0
2026-01-01T14:45:00-03:00,1767289500.0,other,no_exact_record,,,,,,,,0
2026-01-01T15:00:00-03:00,1767290400.0,other,no_exact_record,,,,,,,,0
2026-01-01T15:15:00-03:00,1767291300.0,other,no_exact_record,,,,,,,,0
2026-01-01T15:30:00-03:00,1767292200.0,other,no_exact_record,,,,,,,,0
2026-01-01T15:45:00-03:00,1767293100.0,other,no_exact_record,,,,,,,,0
2026-01-01T16:00:00-03:00,1767294000.0,other,no_exact_record,,,,,,,,0
2026-01-01T16:15:00-03:00,1767294900.0,other,no_exact_record,,,,,,,,0
2026-01-01T16:30:00-03:00,1767295800.0,other,no_exact_record,,,,,,,,0
2026-01-01T16:45:00-03:00,1767296700.0,other,no_exact_record,,,,,,,,0
2026-01-01T17:15:00-03:00,1767298500.0,other,no_exact_record,,,,,,,,0
2026-01-01T17:30:00-03:00,1767299400.0,other,no_exact_record,,,,,,,,0
2026-01-01T17:45:00-03:00,1767300300.0,other,no_exact_record,,,,,,,,0
2026-01-01T18:00:00-03:00,1767301200.0,other,no_exact_record,,,,,,,,0
2026-01-01T18:15:00-03:00,1767302100.0,other,no_exact_record,,,,,,,,0
2026-01-01T18:30:00-03:00,1767303000.0,other,no_exact_record,,,,,,,,0
2026-01-01T18:45:00-03:00,1767303900.0,other,no_exact_record,,,,,,,,0
2026-01-01T19:00:00-03:00,1767304800.0,other,no_exact_record,,,,,,,,0
2026-01-01T19:15:00-03:00,1767305700.0,other,no_exact_record,,,,,,,,0
2026-01-01T19:30:00-03:00,1767306600.0,other,no_exact_record,,,,,,,,0
2026-01-01T19:45:00-03:00,1767307500.0,other,no_exact_record,,,,,,,,0
2026-01-01T20:00:00-03:00,1767308400.0,other,no_exact_record,,,,,,,,0
2026-01-01T20:15:00-03:00,1767309300.0,other,no_exact_record,,,,,,,,0
2026-01-01T20:30:00-03:00,1767310200.0,other,no_exact_record,,,,,,,,0
2026-01-01T20:45:00-03:00,1767311100.0,other,no_exact_record,,,,,,,,0
2026-01-01T21:00:00-03:00,1767312000.0,other,no_exact_record,,,,,,,,0
2026-01-01T21:15:00-03:00,1767312900.0,other,no_exact_record,,,,,,,,0
2026-01-01T21:30:00-03:00,1767313800.0,other,no_exact_record,,,,,,,,0
2026-01-01T21:45:00-03:00,1767314700.0,other,no_exact_record,,,,,,,,0
2026-01-01T22:00:00-03:00,1767315600.0,other,no_exact_record,,,,,,,,0
2026-01-01T22:15:00-03:00,1767316500.0,other,no_exact_record,,,,,,,,0
2026-01-01T22:30:00-03:00,1767317400.0,other,no_exact_record,,,,,,,,0
2026-01-01T22:45:00-03:00,1767318300.0,other,no_exact_record,,,,,,,,0
2026-01-01T23:00:00-03:00,1767319200.0,other,no_exact_record,,,,,,,,0
2026-01-01T23:15:00-03:00,1767320100.0,other,no_exact_record,,,,,,,,0
2026-01-01T23:30:00-03:00,1767321000.0,other,no_exact_record,,,,,,,,0
2026-01-01T23:45:00-03:00,1767321900.0,other,no_exact_record,,,,,,,,0
2026-01-02T00:00:00-03:00,1767322800.0,other,no_exact_record,,,,,,,,0
2026-01-02T00:15:00-03:00,1767323700.0,other,no_exact_record,,,,,,,,0
2026-01-02T00:30:00-03:00,1767324600.0,other,no_exact_record,,,,,,,,0
2026-01-02T00:45:00-03:00,1767325500.0,other,no_exact_record,,,,,,,,0
2026-01-02T01:00:00-03:00,1767326400.0,other,no_exact_record,,,,,,,,0
2026-01-02T01:15:00-03:00,1767327300.0,other,no_exact_record,,,,,,,,0
2026-01-02T01:30:00-03:00,1767328200.0,other,no_exact_record,,,,,,,,0
2026-01-02T01:45:00-03:00,1767329100.0,other,no_exact_record,,,,,,,,0
2026-01-02T02:00:00-03:00,1767330000.0,other,no_exact_record,,,,,,,,0
2026-01-02T02:15:00-03:00,1767330900.0,other,no_exact_record,,,,,,,,0
2026-01-02T02:30:00-03:00,1767331800.0,other,no_exact_record,,,,,,,,0
