source_at,affected_target_pairs,affected_origins,reasons,classification,level_approved_m,source_path,record_start_line
2026-07-05T11:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T12:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T12:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T13:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T13:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T14:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T14:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T15:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T15:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T16:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T16:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T17:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T18:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T18:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T19:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T19:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T20:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T20:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T21:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T21:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T22:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T22:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T23:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T23:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T00:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T00:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T01:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T01:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T02:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T02:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T03:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T03:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T04:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T04:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T05:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T05:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T06:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T06:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T07:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T08:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T08:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T09:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T09:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T10:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T10:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T11:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T11:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T12:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T12:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T13:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T13:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T14:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T14:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T15:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T15:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T16:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T16:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T17:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T18:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T18:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T19:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T19:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T20:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T20:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T21:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T21:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T22:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T22:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-06T23:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-06T23:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
