tau_hours,family,horizon_h,group_kind,group,subset,scheduled_rows,observed_n,paired_n,failures,hits,hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
6,reference,12,event,f803fdacd0779dfe9e87b834,level_ge_7m,49,49,49,0,13,0.2653061224489796,0.7371908764567295,0.43888252852263276,1.362640255509025,1.4028212579805697
6,reference,12,event,dcbe85f6ad3172a997c77a58,level_ge_7m,18,18,18,0,10,0.5555555555555556,0.6431755046783558,-0.2356449426472299,1.9025533259556462,1.9097810111933722
6,reference,12,event,unassigned,level_ge_7m,0,0,0,0,0,,,,,
6,reference,12,trend,falling,all,843,834,833,1,348,0.4177671068427371,0.6929524848502441,-0.20525847748395368,2.0387495263077398,6.458105997317192
6,reference,12,trend,falling,level_ge_7m,83,83,82,1,22,0.2682926829268293,1.1888546403543725,0.4351480656576217,5.077102128419609,6.458105997317192
6,reference,12,trend,rising,all,456,451,451,0,262,0.5809312638580931,0.7099026646562955,0.07008164336951224,3.6645975027949618,10.418506922843463
6,reference,12,trend,rising,level_ge_7m,119,119,119,0,26,0.2184873949579832,1.5630364675602062,-0.11088701375929562,7.933500367442904,10.418506922843463
6,reference,12,trend,stable,all,625,621,621,0,341,0.5491143317230274,0.6094446005758202,0.0001652585076322744,2.481734229546294,6.015574924178553
6,reference,12,trend,stable,level_ge_7m,33,33,33,0,9,0.2727272727272727,1.8377000787321893,-0.499972203584942,5.850483051079604,6.015574924178553
6,reference,12,trend,unknown,all,32,27,9,18,4,0.4444444444444444,0.6599211300886648,-0.1792312707798533,1.2436481581863719,1.263539144567884
6,reference,12,trend,unknown,level_ge_7m,2,2,1,1,0,0.0,1.1392204796834324,1.1392204796834324,1.1392204796834324,1.1392204796834324
6,julho_levels,1,event,594b4ac32b57fab12c848086,level_ge_7m,35,35,35,0,35,1.0,0.08231966045375351,0.00412515934859662,0.20236416866662635,0.21741130743566117
6,julho_levels,1,event,a801ac814e2dfee4fc14bea5,level_ge_7m,135,135,133,2,114,0.8571428571428571,0.27640751222065574,0.13269424083701958,0.983545251402182,1.3363363795546643
6,julho_levels,1,event,f803fdacd0779dfe9e87b834,level_ge_7m,49,49,49,0,49,1.0,0.1532500240540722,0.09956574353843106,0.3456941836783126,0.3996595539689354
6,julho_levels,1,event,dcbe85f6ad3172a997c77a58,level_ge_7m,18,18,18,0,18,1.0,0.11421083431874246,-0.06902986767242231,0.33183191857792815,0.37056986709367745
6,julho_levels,1,event,unassigned,level_ge_7m,0,0,0,0,0,,,,,
