id_subsistema,nom_subsistema,tip_reservatorio,nom_bacia,id_reservatorio,nom_reservatorio,cod_usina,din_instante,val_nivelmontante,val_niveljusante,val_volumeutil,val_vazaoafluente,val_vazaodefluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaotransferida,val_vazaovertidanaoturbinavel,source_file,source_sha256
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-02 21:00:00,239.22,147.23,22.0,52.0,81.0,64.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-02 22:00:00,239.21,147.19,21.0,67.0,82.0,64.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-02 23:00:00,239.19,147.18,19.0,52.0,81.0,64.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-02 23:59:00,239.18,147.17,18.0,67.0,81.0,64.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 01:00:00,239.17,147.15,17.0,52.0,67.0,49.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 02:00:00,239.19,147.15,19.0,80.0,50.0,32.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 03:00:00,239.19,147.2,19.0,50.0,50.0,32.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 04:00:00,239.19,147.23,19.0,50.0,50.0,32.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 05:00:00,239.2,147.26,20.0,65.0,50.0,32.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 06:00:00,239.21,147.27,21.0,65.0,50.0,32.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 07:00:00,239.21,147.27,21.0,50.0,50.0,32.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 08:00:00,239.21,147.3,21.0,92.0,92.0,32.0,42.0,18.0,0.0,41.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 09:00:00,239.18,147.3,18.0,47.0,92.0,32.0,42.0,18.0,0.0,41.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 10:00:00,239.15,147.3,15.0,38.0,82.0,32.0,32.0,18.0,0.0,32.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 11:00:00,239.15,147.3,15.0,50.0,50.0,32.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 12:00:00,239.15,147.3,15.0,50.0,50.0,32.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 13:00:00,239.15,147.3,15.0,50.0,50.0,32.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 14:00:00,239.14,147.39,14.0,35.0,50.0,32.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 15:00:00,239.14,147.49,14.0,50.0,50.0,33.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 16:00:00,239.13,147.52,13.0,36.0,50.0,33.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 17:00:00,239.12,147.54,12.0,36.0,50.0,33.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 18:00:00,239.12,147.52,12.0,50.0,50.0,33.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 19:00:00,239.12,147.52,12.0,50.0,50.0,33.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 20:00:00,239.1,147.53,10.0,21.0,50.0,33.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 21:00:00,239.1,147.52,10.0,50.0,50.0,33.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 22:00:00,239.09,147.49,9.0,35.0,50.0,33.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 23:00:00,239.09,147.49,9.0,50.0,50.0,33.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-03 23:59:00,239.09,147.49,9.0,50.0,50.0,33.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-04 01:00:00,239.09,147.49,9.0,50.0,50.0,33.0,0.0,18.0,0.0,0.0,outputs/radar-insumos-2024-hidrologia-20260921/raw/ons-2024_03.parquet,8291a820bec78c1ca7b34e482519bf8fbad3fd45506749dd23f6edb0d32bed90
