tau_hours,origin,target_time,recomputed_m,saved_m,abs_difference_m
2,2026-07-22T09:00:00-03:00,2026-07-22T11:00:00-03:00,18.262919094037954,18.262919094037954,0.0
2,2026-07-22T09:00:00-03:00,2026-07-22T12:00:00-03:00,17.68127634025365,17.68127634025365,0.0
2,2026-07-22T09:00:00-03:00,2026-07-22T13:00:00-03:00,16.977473531210542,16.977473531210542,0.0
2,2026-07-22T09:00:00-03:00,2026-07-22T14:00:00-03:00,16.244925958112585,16.244925958112585,0.0
2,2026-07-22T09:00:00-03:00,2026-07-22T15:00:00-03:00,15.503132982833588,15.503132982833588,0.0
2,2026-07-22T09:00:00-03:00,2026-07-22T16:00:00-03:00,14.723854292034648,14.723854292034648,0.0
2,2026-07-22T09:00:00-03:00,2026-07-22T17:00:00-03:00,13.689354376653517,13.689354376653519,1.7763568394002505e-15
2,2026-07-22T09:00:00-03:00,2026-07-22T18:00:00-03:00,12.279082426186436,12.279082426186433,3.552713678800501e-15
2,2026-07-22T09:00:00-03:00,2026-07-22T19:00:00-03:00,11.12394747458796,11.123947474587958,1.7763568394002505e-15
2,2026-07-22T09:00:00-03:00,2026-07-22T20:00:00-03:00,9.96242926505208,9.962429265052076,3.552713678800501e-15
2,2026-07-22T09:00:00-03:00,2026-07-22T21:00:00-03:00,8.6512498669215,8.6512498669215,0.0
2,2026-07-22T11:00:00-03:00,2026-07-22T12:00:00-03:00,19.20289710736888,19.20289710736888,0.0
2,2026-07-22T11:00:00-03:00,2026-07-22T13:00:00-03:00,19.82623161866076,19.82623161866076,0.0
2,2026-07-22T11:00:00-03:00,2026-07-22T14:00:00-03:00,20.474192334780476,20.474192334780476,0.0
2,2026-07-22T11:00:00-03:00,2026-07-22T15:00:00-03:00,21.295530713806322,21.295530713806322,0.0
2,2026-07-22T11:00:00-03:00,2026-07-22T16:00:00-03:00,21.992151793845444,21.992151793845444,0.0
2,2026-07-22T11:00:00-03:00,2026-07-22T17:00:00-03:00,22.64907432681004,22.64907432681004,0.0
2,2026-07-22T11:00:00-03:00,2026-07-22T18:00:00-03:00,23.08204450350002,23.08204450350002,0.0
2,2026-07-22T11:00:00-03:00,2026-07-22T19:00:00-03:00,23.7519206936645,23.7519206936645,0.0
2,2026-07-22T11:00:00-03:00,2026-07-22T20:00:00-03:00,24.423446741292366,24.423446741292366,0.0
2,2026-07-22T11:00:00-03:00,2026-07-22T21:00:00-03:00,24.93768071912542,24.93768071912542,0.0
2,2026-07-22T11:00:00-03:00,2026-07-22T22:00:00-03:00,25.231712863623887,25.231712863623883,3.552713678800501e-15
2,2026-07-22T11:00:00-03:00,2026-07-22T23:00:00-03:00,25.51043956151703,25.51043956151703,0.0
2,2026-08-13T09:00:00-03:00,2026-08-13T10:00:00-03:00,8.757539043287705,8.757539043287705,0.0
2,2026-08-13T09:00:00-03:00,2026-08-13T11:00:00-03:00,8.956647903287639,8.956647903287639,0.0
2,2026-08-13T09:00:00-03:00,2026-08-13T12:00:00-03:00,9.133234711751356,9.133234711751356,0.0
