tau_hours,horizon_h,subset,family,population,n,hits,hit_fraction,mae_m,rmse_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
6,4,level_ge_7m,reference,common_three,235,134,0.5702127659574469,0.5799805335533165,0.8151917909791027,0.21239769641752104,1.318664578584491,2.3065520961483585,3.329018638853949
2,4,level_ge_7m,reference,individual,235,105,0.44680851063829785,0.8227468292733586,1.0745850712141878,0.4385589470164355,2.0456849538605533,2.2680492986969107,2.886599746376149
2,4,level_ge_7m,reference,common_three,235,105,0.44680851063829785,0.8227468292733586,1.0745850712141878,0.4385589470164355,2.0456849538605533,2.2680492986969107,2.886599746376149
12,4,level_ge_7m,reference,individual,235,161,0.6851063829787234,0.47178007148244994,0.7247312627833009,0.08175547339461518,1.0321778131511443,2.2372622248985596,3.671050545611749
12,4,level_ge_7m,reference,common_three,235,161,0.6851063829787234,0.47178007148244994,0.7247312627833009,0.08175547339461518,1.0321778131511443,2.2372622248985596,3.671050545611749
6,4,level_ge_7m,julho_levels,individual,235,138,0.5872340425531914,0.5635638456977866,0.7756715845531631,0.2319226763354485,1.3094060724539573,1.8804521784626678,3.146640556692857
6,4,level_ge_7m,julho_levels,common_three,235,138,0.5872340425531914,0.5635638456977866,0.7756715845531631,0.2319226763354485,1.3094060724539573,1.8804521784626678,3.146640556692857
2,4,level_ge_7m,julho_levels,individual,235,107,0.4553191489361702,0.8076251890724362,1.0428953660275166,0.4581075112209635,2.0027022626871065,2.1720276653631787,2.5639702064320034
2,4,level_ge_7m,julho_levels,common_three,235,107,0.4553191489361702,0.8076251890724362,1.0428953660275166,0.4581075112209635,2.0027022626871065,2.1720276653631787,2.5639702064320034
12,4,level_ge_7m,julho_levels,individual,235,165,0.7021276595744681,0.45344985859643694,0.6814863136467685,0.10127944977614271,1.0436812438423657,1.9734712200326103,3.4841511059585457
12,4,level_ge_7m,julho_levels,common_three,235,165,0.7021276595744681,0.45344985859643694,0.6814863136467685,0.10127944977614271,1.0436812438423657,1.9734712200326103,3.4841511059585457
6,5,all,reference,individual,1928,1583,0.821058091286307,0.31512053419675123,0.4720502877699441,-0.012628917343673444,0.6759765256848952,1.4164009885108875,4.023604409822896
6,5,all,reference,common_three,1928,1583,0.821058091286307,0.31512053419675123,0.4720502877699441,-0.012628917343673444,0.6759765256848952,1.4164009885108875,4.023604409822896
2,5,all,reference,individual,1928,1566,0.8122406639004149,0.35620520438187686,0.5324196031351913,-0.02743622310244593,0.6597323116258041,1.9282776397898094,4.188705508185578
2,5,all,reference,common_three,1928,1566,0.8122406639004149,0.35620520438187686,0.5324196031351913,-0.02743622310244593,0.6597323116258041,1.9282776397898094,4.188705508185578
12,5,all,reference,individual,1928,1550,0.803941908713693,0.31642837092583603,0.46965759318696215,-0.005488368673718423,0.7148980836315918,1.1384196267153819,3.9145393005861226
12,5,all,reference,common_three,1928,1550,0.803941908713693,0.31642837092583603,0.46965759318696215,-0.005488368673718423,0.7148980836315918,1.1384196267153819,3.9145393005861226
6,5,all,julho_levels,individual,1928,1519,0.7878630705394191,0.33217603391990747,0.4749445899219147,0.02417924037647078,0.6984231882137162,1.4041430489720987,3.210054029360098
6,5,all,julho_levels,common_three,1928,1519,0.7878630705394191,0.33217603391990747,0.4749445899219147,0.02417924037647078,0.6984231882137162,1.4041430489720987,3.210054029360098
2,5,all,julho_levels,individual,1928,1558,0.808091286307054,0.3637167364075054,0.5279315010982816,0.01065451043579471,0.6698009369406577,1.9184902310664909,3.0150740418874165
2,5,all,julho_levels,common_three,1928,1558,0.808091286307054,0.3637167364075054,0.5279315010982816,0.01065451043579471,0.6698009369406577,1.9184902310664909,3.0150740418874165
12,5,all,julho_levels,individual,1928,1460,0.7572614107883817,0.33148019984039495,0.4768586930710357,0.030643489664600364,0.7471025149636147,1.166272623250653,3.5569203045668054
12,5,all,julho_levels,common_three,1928,1460,0.7572614107883817,0.33148019984039495,0.4768586930710357,0.030643489664600364,0.7471025149636147,1.166272623250653,3.5569203045668054
6,5,level_ge_7m,reference,individual,235,127,0.5404255319148936,0.6845449010148217,0.9707101303401617,0.22306409147112788,1.52686403398553,2.882253938572299,4.023604409822896
6,5,level_ge_7m,reference,common_three,235,127,0.5404255319148936,0.6845449010148217,0.9707101303401617,0.22306409147112788,1.52686403398553,2.882253938572299,4.023604409822896
2,5,level_ge_7m,reference,individual,235,98,0.41702127659574467,0.9011606098835752,1.1932352158396504,0.4336368479501482,2.1780372534041845,2.65000799452823,4.188705508185578
2,5,level_ge_7m,reference,common_three,235,98,0.41702127659574467,0.9011606098835752,1.1932352158396504,0.4336368479501482,2.1780372534041845,2.65000799452823,4.188705508185578
12,5,level_ge_7m,reference,individual,235,151,0.6425531914893617,0.565462484396799,0.8774888166745475,0.07906467773746804,1.2929269521293436,2.987763911029813,3.9145393005861226
12,5,level_ge_7m,reference,common_three,235,151,0.6425531914893617,0.565462484396799,0.8774888166745475,0.07906467773746804,1.2929269521293436,2.987763911029813,3.9145393005861226
6,5,level_ge_7m,julho_levels,individual,235,131,0.5574468085106383,0.6633782520447192,0.9160677117747499,0.25341805394247013,1.5035298788605944,2.673171457257972,3.210054029360098
6,5,level_ge_7m,julho_levels,common_three,235,131,0.5574468085106383,0.6633782520447192,0.9160677117747499,0.25341805394247013,1.5035298788605944,2.673171457257972,3.210054029360098
2,5,level_ge_7m,julho_levels,individual,235,102,0.4340425531914894,0.8835097068727146,1.1475313235920348,0.46397092505852694,2.1296271542114913,2.495820195746206,3.0150740418874165
2,5,level_ge_7m,julho_levels,common_three,235,102,0.4340425531914894,0.8835097068727146,1.1475313235920348,0.46397092505852694,2.1296271542114913,2.495820195746206,3.0150740418874165
12,5,level_ge_7m,julho_levels,individual,235,153,0.6510638297872341,0.5427414704015473,0.8179150343264494,0.10945084458116879,1.305481058863688,2.7252800452122528,3.5569203045668054
12,5,level_ge_7m,julho_levels,common_three,235,153,0.6510638297872341,0.5427414704015473,0.8179150343264494,0.10945084458116879,1.305481058863688,2.7252800452122528,3.5569203045668054
6,6,all,reference,individual,1926,1514,0.7860851505711319,0.3496823823799257,0.5277203347873736,-0.015171731624747135,0.7197768561492572,1.586166356496661,4.815243764623784
6,6,all,reference,common_three,1926,1514,0.7860851505711319,0.3496823823799257,0.5277203347873736,-0.015171731624747135,0.7197768561492572,1.586166356496661,4.815243764623784
2,6,all,reference,individual,1926,1525,0.7917964693665628,0.3775536814722513,0.5748456971470703,-0.029202111632670363,0.7224424582929527,2.200901678648459,4.985746705344257
