phase,horizon_h,subset,population,scheduled_rows,observed_targets,n,failures,control_hits,candidate_hits,change_hits,control_mae_m,candidate_mae_m,change_mae_m,control_bias_m,candidate_bias_m,change_bias_m,control_p98_abs_m,candidate_p98_abs_m,change_p98_abs_m,control_max_abs_m,candidate_max_abs_m,change_max_abs_m
validation,10,all,complete24,5912,5881,5881,0,5175.0,5081.0,-94.0,0.25411992278393764,0.3321599660368634,0.07804004325292574,0.10137152735858379,0.1642585189530637,0.06288699159447991,0.9922304166187986,3.5202170913026603,2.5279866746838615,3.441071344514551,4.525846771998609,1.0847754274840575
validation,10,all,missing24,630,627,587,40,429.0,439.0,10.0,0.3714506916494385,0.38868179376517475,0.017231102115736252,0.1840805723454625,0.14803482855607702,-0.036045743789385465,1.3276339108147426,1.533973294623786,0.2063393838090435,2.5248999812959902,4.346717890709696,1.821817909413706
validation,10,level_ge_7m,full_schedule,6542,28,28,0,11.0,9.0,-2.0,0.7637956998438623,0.92121779864775,0.1574220988038877,0.659964362486402,0.815957158402301,0.15599279591589899,1.639679570538911,2.2856291010356595,0.6459495304967486,1.6643311821088886,2.376644669756846,0.7123134876479575
validation,10,level_ge_7m,complete24,5912,28,28,0,11.0,9.0,-2.0,0.7637956998438623,0.92121779864775,0.1574220988038877,0.659964362486402,0.815957158402301,0.15599279591589899,1.639679570538911,2.2856291010356595,0.6459495304967486,1.6643311821088886,2.376644669756846,0.7123134876479575
validation,10,level_ge_7m,missing24,630,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,
validation,11,all,full_schedule,6541,6507,6468,39,5352.0,5436.0,84.0,0.3066261661079817,0.3528640391096417,0.04623787300165999,0.11491541569817183,0.16115770730066972,0.04624229160249789,1.241458802231562,3.2381675719425767,1.9967087697110146,3.9782715851312767,4.592638693581186,0.6143671084499096
validation,11,all,complete24,5912,5882,5882,0,4941.0,5027.0,86.0,0.2954192516113556,0.3469757916336411,0.05155654002228549,0.10516865267842282,0.16367889542945324,0.05851024275103042,1.1899902207773405,3.554432496043771,2.3644422752664305,3.2312729809688054,4.592638693581186,1.3613657126123808
validation,11,all,missing24,629,625,586,39,411.0,409.0,-2.0,0.41911604847855294,0.4119675743550943,-0.007148474123458648,0.21274896532643794,0.13585117389878468,-0.07689779142765327,1.5642171053056644,1.6798155288536873,0.11559842354802297,3.9782715851312767,4.077887550481652,0.0996159653503752
validation,11,level_ge_7m,full_schedule,6541,28,28,0,9.0,8.0,-1.0,0.913230549267538,0.9076195437388803,-0.0056110055286576754,0.6934932305653457,0.8449124808956319,0.15141925033028614,2.2734377675153006,2.174546791831476,-0.09889097568382477,2.3488613754696814,2.21866166889059,-0.1301997065790914
validation,11,level_ge_7m,complete24,5912,28,28,0,9.0,8.0,-1.0,0.913230549267538,0.9076195437388803,-0.0056110055286576754,0.6934932305653457,0.8449124808956319,0.15141925033028614,2.2734377675153006,2.174546791831476,-0.09889097568382477,2.3488613754696814,2.21866166889059,-0.1301997065790914
