window,origin_literal,anchor_literal,lag_h,past_literal,anchor_m,past_m,value_m_per_h
2018-08-30,2018-08-31T06:00:00,2018-08-31T05:00:00,2,2018-08-31T03:00:00,2.89,2.98,-0.04499999999999993
2018-08-30,2018-08-31T06:00:00,2018-08-31T05:00:00,4,2018-08-31T01:00:00,2.89,3.01,-0.029999999999999916
2018-08-30,2018-08-31T06:00:00,2018-08-31T05:00:00,8,2018-08-30T21:00:00,2.89,2.87,0.0025000000000000022
2018-08-30,2018-08-31T07:00:00,2018-08-31T06:00:00,0.5,2018-08-31T05:30:00,2.77,,
2018-08-30,2018-08-31T07:00:00,2018-08-31T06:00:00,1,2018-08-31T05:00:00,2.77,2.89,-0.1200000000000001
2018-08-30,2018-08-31T07:00:00,2018-08-31T06:00:00,2,2018-08-31T04:00:00,2.77,2.94,-0.08499999999999996
2018-08-30,2018-08-31T07:00:00,2018-08-31T06:00:00,4,2018-08-31T02:00:00,2.77,3.0,-0.057499999999999996
2018-08-30,2018-08-31T07:00:00,2018-08-31T06:00:00,8,2018-08-30T22:00:00,2.77,2.96,-0.023749999999999993
2018-08-30,2018-08-31T08:00:00,2018-08-31T07:00:00,0.5,2018-08-31T06:30:00,2.61,,
2018-08-30,2018-08-31T08:00:00,2018-08-31T07:00:00,1,2018-08-31T06:00:00,2.61,2.77,-0.16000000000000014
2018-08-30,2018-08-31T08:00:00,2018-08-31T07:00:00,2,2018-08-31T05:00:00,2.61,2.89,-0.14000000000000012
2018-08-30,2018-08-31T08:00:00,2018-08-31T07:00:00,4,2018-08-31T03:00:00,2.61,2.98,-0.09250000000000003
2018-08-30,2018-08-31T08:00:00,2018-08-31T07:00:00,8,2018-08-30T23:00:00,2.61,3.0,-0.048750000000000016
2018-08-30,2018-08-31T09:00:00,2018-08-31T08:00:00,0.5,2018-08-31T07:30:00,2.45,,
2018-08-30,2018-08-31T09:00:00,2018-08-31T08:00:00,1,2018-08-31T07:00:00,2.45,2.61,-0.1599999999999997
2018-08-30,2018-08-31T09:00:00,2018-08-31T08:00:00,2,2018-08-31T06:00:00,2.45,2.77,-0.15999999999999992
2018-08-30,2018-08-31T09:00:00,2018-08-31T08:00:00,4,2018-08-31T04:00:00,2.45,2.94,-0.12249999999999994
2018-08-30,2018-08-31T09:00:00,2018-08-31T08:00:00,8,2018-08-31T00:00:00,2.45,3.01,-0.06999999999999995
2018-08-30,2018-08-31T10:00:00,2018-08-31T09:00:00,0.5,2018-08-31T08:30:00,2.34,,
2018-08-30,2018-08-31T10:00:00,2018-08-31T09:00:00,1,2018-08-31T08:00:00,2.34,2.45,-0.11000000000000032
2018-08-30,2018-08-31T10:00:00,2018-08-31T09:00:00,2,2018-08-31T07:00:00,2.34,2.61,-0.135
2018-08-30,2018-08-31T10:00:00,2018-08-31T09:00:00,4,2018-08-31T05:00:00,2.34,2.89,-0.13750000000000007
2018-08-30,2018-08-31T10:00:00,2018-08-31T09:00:00,8,2018-08-31T01:00:00,2.34,3.01,-0.08374999999999999
2018-08-30,2018-08-31T11:00:00,2018-08-31T10:00:00,0.5,2018-08-31T09:30:00,2.27,,
2018-08-30,2018-08-31T11:00:00,2018-08-31T10:00:00,1,2018-08-31T09:00:00,2.27,2.34,-0.06999999999999984
2018-08-30,2018-08-31T11:00:00,2018-08-31T10:00:00,2,2018-08-31T08:00:00,2.27,2.45,-0.09000000000000008
2018-08-30,2018-08-31T11:00:00,2018-08-31T10:00:00,4,2018-08-31T06:00:00,2.27,2.77,-0.125
2018-08-30,2018-08-31T11:00:00,2018-08-31T10:00:00,8,2018-08-31T02:00:00,2.27,3.0,-0.09125
2018-08-30,2018-08-31T12:00:00,2018-08-31T11:00:00,0.5,2018-08-31T10:30:00,2.23,,
2018-08-30,2018-08-31T12:00:00,2018-08-31T11:00:00,1,2018-08-31T10:00:00,2.23,2.27,-0.040000000000000036
2018-08-30,2018-08-31T12:00:00,2018-08-31T11:00:00,2,2018-08-31T09:00:00,2.23,2.34,-0.05499999999999994
2018-08-30,2018-08-31T12:00:00,2018-08-31T11:00:00,4,2018-08-31T07:00:00,2.23,2.61,-0.09499999999999997
2018-08-30,2018-08-31T12:00:00,2018-08-31T11:00:00,8,2018-08-31T03:00:00,2.23,2.98,-0.09375
2018-08-30,2018-08-31T13:00:00,2018-08-31T12:00:00,0.5,2018-08-31T11:30:00,2.22,,
2018-08-30,2018-08-31T13:00:00,2018-08-31T12:00:00,1,2018-08-31T11:00:00,2.22,2.23,-0.009999999999999787
2018-08-30,2018-08-31T13:00:00,2018-08-31T12:00:00,2,2018-08-31T10:00:00,2.22,2.27,-0.02499999999999991
2018-08-30,2018-08-31T13:00:00,2018-08-31T12:00:00,4,2018-08-31T08:00:00,2.22,2.45,-0.057499999999999996
2018-08-30,2018-08-31T13:00:00,2018-08-31T12:00:00,8,2018-08-31T04:00:00,2.22,2.94,-0.08999999999999997
2018-08-30,2018-08-31T14:00:00,2018-08-31T13:00:00,0.5,2018-08-31T12:30:00,2.22,,
2018-08-30,2018-08-31T14:00:00,2018-08-31T13:00:00,1,2018-08-31T12:00:00,2.22,2.22,0.0
2018-08-30,2018-08-31T14:00:00,2018-08-31T13:00:00,2,2018-08-31T11:00:00,2.22,2.23,-0.004999999999999893
2018-08-30,2018-08-31T14:00:00,2018-08-31T13:00:00,4,2018-08-31T09:00:00,2.22,2.34,-0.029999999999999916
2018-08-30,2018-08-31T14:00:00,2018-08-31T13:00:00,8,2018-08-31T05:00:00,2.22,2.89,-0.08374999999999999
2018-08-30,2018-08-31T15:00:00,2018-08-31T14:00:00,0.5,2018-08-31T13:30:00,2.24,,
2018-08-30,2018-08-31T15:00:00,2018-08-31T14:00:00,1,2018-08-31T13:00:00,2.24,2.22,0.020000000000000018
2018-08-30,2018-08-31T15:00:00,2018-08-31T14:00:00,2,2018-08-31T12:00:00,2.24,2.22,0.010000000000000009
2018-08-30,2018-08-31T15:00:00,2018-08-31T14:00:00,4,2018-08-31T10:00:00,2.24,2.27,-0.007499999999999951
2018-08-30,2018-08-31T15:00:00,2018-08-31T14:00:00,8,2018-08-31T06:00:00,2.24,2.77,-0.06624999999999998
2018-08-30,2018-08-31T16:00:00,2018-08-31T15:00:00,0.5,2018-08-31T14:30:00,2.3,,
2018-08-30,2018-08-31T16:00:00,2018-08-31T15:00:00,1,2018-08-31T14:00:00,2.3,2.24,0.05999999999999961
2018-08-30,2018-08-31T16:00:00,2018-08-31T15:00:00,2,2018-08-31T13:00:00,2.3,2.22,0.039999999999999813
2018-08-30,2018-08-31T16:00:00,2018-08-31T15:00:00,4,2018-08-31T11:00:00,2.3,2.23,0.01749999999999996
2018-08-30,2018-08-31T16:00:00,2018-08-31T15:00:00,8,2018-08-31T07:00:00,2.3,2.61,-0.03875000000000001
2018-08-30,2018-08-31T17:00:00,2018-08-31T16:00:00,0.5,2018-08-31T15:30:00,2.39,,
2018-08-30,2018-08-31T17:00:00,2018-08-31T16:00:00,1,2018-08-31T15:00:00,2.39,2.3,0.0900000000000003
2018-08-30,2018-08-31T17:00:00,2018-08-31T16:00:00,2,2018-08-31T14:00:00,2.39,2.24,0.07499999999999996
2018-08-30,2018-08-31T17:00:00,2018-08-31T16:00:00,4,2018-08-31T12:00:00,2.39,2.22,0.04249999999999998
2018-08-30,2018-08-31T17:00:00,2018-08-31T16:00:00,8,2018-08-31T08:00:00,2.39,2.45,-0.007500000000000007
2018-08-30,2018-08-31T18:00:00,2018-08-31T17:00:00,0.5,2018-08-31T16:30:00,2.47,,
2018-08-30,2018-08-31T18:00:00,2018-08-31T17:00:00,1,2018-08-31T16:00:00,2.47,2.39,0.08000000000000007
2018-08-30,2018-08-31T18:00:00,2018-08-31T17:00:00,2,2018-08-31T15:00:00,2.47,2.3,0.08500000000000019
2018-08-30,2018-08-31T18:00:00,2018-08-31T17:00:00,4,2018-08-31T13:00:00,2.47,2.22,0.0625
2018-08-30,2018-08-31T18:00:00,2018-08-31T17:00:00,8,2018-08-31T09:00:00,2.47,2.34,0.016250000000000042
2018-08-30,2018-08-31T19:00:00,2018-08-31T18:00:00,0.5,2018-08-31T17:30:00,2.54,,
2018-08-30,2018-08-31T19:00:00,2018-08-31T18:00:00,1,2018-08-31T17:00:00,2.54,2.47,0.06999999999999984
2018-08-30,2018-08-31T19:00:00,2018-08-31T18:00:00,2,2018-08-31T16:00:00,2.54,2.39,0.07499999999999996
2018-08-30,2018-08-31T19:00:00,2018-08-31T18:00:00,4,2018-08-31T14:00:00,2.54,2.24,0.07499999999999996
2018-08-30,2018-08-31T19:00:00,2018-08-31T18:00:00,8,2018-08-31T10:00:00,2.54,2.27,0.03375
2018-08-30,2018-08-31T20:00:00,2018-08-31T19:00:00,0.5,2018-08-31T18:30:00,2.68,,
2018-08-30,2018-08-31T20:00:00,2018-08-31T19:00:00,1,2018-08-31T18:00:00,2.68,2.54,0.14000000000000012
