period,horizon_h,population,subset,family,scheduled_population_rows,missing_truth_in_population,observed_targets,paired_predictions,missing_forecasts,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
2022,3,missing24,all,control120,1461,1,1460,1455,5,1410,0.9690721649484536,0.9657534246575342,0.11212745407617408,-0.02250751149147289,0.770029139743159,2.702134633656705
2022,3,missing24,all,candidate120_plus2020,1461,1,1460,1455,5,1411,0.9697594501718213,0.9664383561643836,0.10494824269269676,-0.0143367613816236,0.6406557541684411,1.9927776152259398
2022,3,missing24,level_ge_7m,control120,1461,1,312,311,1,279,0.8971061093247589,0.8942307692307693,0.26488767288922893,-0.10419542046977451,1.822409642986264,2.702134633656705
2022,3,missing24,level_ge_7m,candidate120_plus2020,1461,1,312,311,1,282,0.9067524115755627,0.9038461538461539,0.22059570678301965,0.02105936878533629,1.1037024166539808,1.9927776152259398
2022,4,full_schedule,all,control120,1460,1,1459,1454,5,1367,0.9401650618982118,0.9369431117203564,0.16801566691623285,-0.03712610920704541,1.2021928011068013,3.326192234671896
2022,4,full_schedule,all,candidate120_plus2020,1460,1,1459,1454,5,1387,0.953920220082531,0.9506511309115833,0.13672158135152954,-0.053997428575073614,0.8347826261530751,1.8879659130243205
2022,4,full_schedule,level_ge_7m,control120,1460,1,312,311,1,256,0.8231511254019293,0.8205128205128205,0.3881649904969358,-0.18714696515412818,2.5364377056133693,3.326192234671896
2022,4,full_schedule,level_ge_7m,candidate120_plus2020,1460,1,312,311,1,272,0.8745980707395499,0.8717948717948718,0.2648526972535258,-0.07935223235046683,1.2955146302588667,1.8879659130243205
2022,4,complete24,all,control120,0,0,0,0,0,0,,,,,,
2022,4,complete24,all,candidate120_plus2020,0,0,0,0,0,0,,,,,,
2022,4,complete24,level_ge_7m,control120,0,0,0,0,0,0,,,,,,
