month,id,variable,from_time_original,to_time_original,from_value,to_value,difference,source_file,from_line,to_line
2,JIUHMC,val_niveljusante,2023-02-24 22:00:00,2023-02-24 23:00:00,106.22,107.11,0.8900000000000006,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41475,41476
2,JIUHMC,val_niveljusante,2023-02-06 17:00:00,2023-02-06 18:00:00,104.56,105.34,0.7800000000000011,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41042,41043
2,JIUHMC,val_niveljusante,2023-02-09 19:00:00,2023-02-09 20:00:00,104.57,105.32,0.75,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41116,41117
2,JIUHMC,val_volumeutil,2023-02-02 23:59:00,2023-02-03 01:00:00,19.07,56.6,37.53,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40953,40954
2,JIUHMC,val_volumeutil,2023-02-19 15:00:00,2023-02-19 16:00:00,38.61,65.73,27.120000000000005,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41348,41349
2,JIUHMC,val_volumeutil,2023-02-15 01:00:00,2023-02-15 02:00:00,39.6,64.71,25.109999999999992,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41242,41243
2,JIUHMC,val_volumeutil,2023-02-15 02:00:00,2023-02-15 03:00:00,64.71,89.48,24.77000000000001,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41243,41244
2,JIUHMC,val_volumeutil,2023-02-04 16:00:00,2023-02-04 17:00:00,35.65,57.61,21.96,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40993,40994
2,JIUHMC,val_vazaoafluente,2023-02-02 23:59:00,2023-02-03 01:00:00,42.0,249.0,207.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40953,40954
2,JIUHMC,val_vazaoafluente,2023-02-03 01:00:00,2023-02-03 02:00:00,249.0,114.0,-135.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40954,40955
2,JIUHMC,val_vazaoafluente,2023-02-18 02:00:00,2023-02-18 03:00:00,127.0,33.0,-94.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41311,41312
2,JIUHMC,val_vazaoafluente,2023-02-02 23:00:00,2023-02-02 23:59:00,128.0,42.0,-86.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40952,40953
