month,id,name,code,rows
8,SFMOXO,APOLONIO SALES,173.0,744
8,SFLGON,LUIZ GONZAGA,172.0,744
8,SFP123,"P. AFONSO 1,2,3",174.0,744
8,SFPAF4,P. AFONSO 4,175.0,744
8,SFQMDO,QUEIMADO,162.0,744
8,SFUHRB,RETIRO BAIXO,155.0,724
8,SFSOBR,SOBRADINHO,169.0,744
8,SFTMAR,TRÊS MARIAS,156.0,744
8,SFXING,XINGO,178.0,744
8,TIBONI,B. BONITA,37.0,744
8,TIBARI,BARIRI,38.0,640
8,TIIBIT,IBITINGA,39.0,744
8,TINAVA,N. AVANHANDAVA,42.0,744
8,TIPROM,PROMISSÃO,40.0,744
8,TITIRM,TRÊS IRMÃOS,43.0,744
8,TOUHCB,CANA BRAVA,252.0,744
8,TOUHET,ESTREITO,267.0,744
8,TOLAJ,LAJEADO,261.0,743
8,TOUHPA,PEIXE ANGICAL,257.0,743
8,TOUHSA,SAO SALVADOR,253.0,744
8,TOSMES,SERRA DA MESA,251.0,744
8,TOTUCU,TUCURUI,275.0,744
8,RIUHBG,BARRA GRANDE,86.0,739
8,RIUHCN,CAMPOS NOVOS,90.0,744
8,RIUHFC,FOZ CHAPECO,103.0,744
8,RIGAR,GARIBALDI,89.0,744
8,RIITÁ,ITÁ,92.0,744
8,RIUHMA,MACHADINHO,91.0,744
8,RIUHMO,MONJOLINHO,94.0,744
8,PFPFUN,PASSO FUNDO,93.0,744
8,RIUHPJ,PASSO SAO JOAO,102.0,744
8,RIUQQX,QUEBRA QUEIXO,95.0,741
8,RIUSJO,SAO JOSE,101.0,744
8,RIUHSR,SAO ROQUE,88.0,744
