phase,horizon_h,population,region,rows,amount_cells,amount_missing,amount_finite_zero,rows_amount_all_missing,coverage_cells,coverage_missing,coverage_below_half,coverage_min,coverage_median,coverage_max
validation,4,evaluation_high_full_schedule,Alto Antas,28,252,0,7,0,168,0,0,0.8370036800309897,0.9793627735812511,0.9965604622635418
validation,4,evaluation_high_full_schedule,Tainhas,28,252,0,7,0,168,0,0,1.0,1.0,1.0
validation,5,original_training,Baixo Antas,4355,39195,157,24069,0,26130,0,149,0.1512373554913295,0.9053468208092484,0.994084176300578
validation,5,original_training,Carreiro,4355,39195,388,19613,0,26130,0,227,0.07683307332293292,0.9695787831513261,0.999561232449298
validation,5,original_training,Prata-Turvo,4355,39195,34,21102,0,26130,0,26,0.13350657427149967,0.998376791637053,1.0
validation,5,original_training,Alto Antas,4355,39195,41,19955,0,26130,0,31,0.0992246513654852,0.9561164374717541,0.9991401155658854
validation,5,original_training,Tainhas,4355,39195,38,24772,0,26130,0,30,0.11402834699453551,1.0,1.0
validation,5,added2023_training,Baixo Antas,495,4455,3719,177,411,2970,0,2484,0.28901734104046245,0.32947976878612717,0.7802113439306358
validation,5,added2023_training,Carreiro,495,4455,3700,193,411,2970,0,2467,0.046801872074883,0.0514820592823713,0.781371879875195
validation,5,added2023_training,Prata-Turvo,495,4455,0,1579,0,2970,0,0,0.7356076759061834,0.7356076759061834,0.8027718550106611
validation,5,added2023_training,Alto Antas,495,4455,2,1286,0,2970,0,2,0.49506101104009304,0.7425915165601394,0.7956402527600233
validation,5,added2023_training,Tainhas,495,4455,1,2153,0,2970,0,1,0.3907103825136612,1.0,1.0
validation,5,combined_training,Baixo Antas,4850,43650,3876,24246,411,29100,0,2633,0.1512373554913295,0.9030437138728323,0.994084176300578
validation,5,combined_training,Carreiro,4850,43650,4088,19806,411,29100,0,2694,0.046801872074883,0.9637285491419656,0.999561232449298
validation,5,combined_training,Prata-Turvo,4850,43650,34,22681,0,29100,0,26,0.13350657427149967,0.9967128642501777,1.0
validation,5,combined_training,Alto Antas,4850,43650,43,21241,0,29100,0,33,0.0992246513654852,0.9494734166182452,0.9991401155658854
validation,5,combined_training,Tainhas,4850,43650,39,26925,0,29100,0,31,0.11402834699453551,1.0,1.0
validation,5,evaluation_high_full_schedule,Baixo Antas,28,252,0,23,0,168,0,0,0.7160404624277458,0.9645050578034682,0.994084176300578
validation,5,evaluation_high_full_schedule,Carreiro,28,252,0,18,0,168,0,0,0.891185647425897,0.9394013260530423,0.9964898595943839
validation,5,evaluation_high_full_schedule,Prata-Turvo,28,252,0,23,0,168,0,0,0.9834273572613126,0.9989042880833927,0.9998630360104241
validation,5,evaluation_high_full_schedule,Alto Antas,28,252,0,7,0,168,0,0,0.8370036800309897,0.9793627735812511,0.9982802311317709
validation,5,evaluation_high_full_schedule,Tainhas,28,252,0,7,0,168,0,0,1.0,1.0,1.0
validation,6,original_training,Baixo Antas,4354,39186,157,24071,0,26124,0,149,0.1512373554913295,0.9053468208092484,0.994084176300578
validation,6,original_training,Carreiro,4354,39186,388,19614,0,26124,0,227,0.07683307332293292,0.9695787831513261,0.999561232449298
validation,6,original_training,Prata-Turvo,4354,39186,34,21100,0,26124,0,26,0.13350657427149967,0.998376791637053,1.0
