horizon_h,subset,population,family,observed_targets,n,excluded_n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
9,high,individual,reference,237,235,2,92,0.39148936170212767,1.032789204510671,0.27204567129823093,2.136672778659753,4.722998485744052,6.286673602768847
9,high,individual,observed_julho,237,144,93,72,0.5,0.7080866993845267,0.5108484225138307,1.7850761299004112,1.9578371352118358,2.0284383037784277
9,high,individual,observed_carreiro,237,178,59,45,0.25280898876404495,1.2827405588115026,0.3377562623181741,2.5744087394744444,5.030694805729061,6.244065438000572
9,high,individual,observed_both,237,107,130,40,0.37383177570093457,0.8457894041520629,0.6210924603748694,1.8757400532125572,2.0492505573761526,2.0828347827103553
9,high,common_four,reference,237,107,130,37,0.34579439252336447,1.284757766600347,0.4860311611236865,2.4357292295034774,5.791511211415668,6.286673602768847
9,high,common_four,observed_julho,237,107,130,41,0.38317757009345793,0.8367156588212287,0.6012564743151635,1.884307543491833,1.9609014245449568,2.0284383037784277
9,high,common_four,observed_carreiro,237,107,130,35,0.32710280373831774,1.27690329822332,0.5070603408393054,2.495128486269162,5.7192077154250365,6.244065438000572
9,high,common_four,observed_both,237,107,130,40,0.37383177570093457,0.8457894041520629,0.6210924603748694,1.8757400532125572,2.0492505573761526,2.0828347827103553
10,all,individual,reference,1935,1918,17,1241,0.6470281543274244,0.5007753468087669,0.057222413795949466,0.9745580050832435,2.0298554040399996,7.189303791286582
10,all,individual,observed_julho,1935,1101,834,757,0.6875567665758402,0.4103025475541998,0.03565894160602981,0.81099488355057,1.5126826447749728,2.0974136232173617
10,all,individual,observed_carreiro,1935,1665,270,1067,0.6408408408408408,0.516582358473925,0.07909809105675597,1.001211523889873,2.036103756498628,7.158107039844813
10,all,individual,observed_both,1935,943,992,635,0.6733828207847296,0.4241916109388409,0.047930933446384535,0.8378901271756355,1.6875609703910368,2.1329018847029335
10,all,common_four,reference,1935,943,992,570,0.6044538706256628,0.553770442734225,0.23843259159103752,1.0762455675101066,2.1461006380781105,7.189303791286582
