regiao,periodo,atraso_h,correlacao,n_horas
Prata-Turvo,abril_set2025,4,0.15102968860315102,3918
Prata-Turvo,abril_set2025,5,0.17584513601894916,3918
Prata-Turvo,abril_set2025,6,0.19760189411320858,3918
Prata-Turvo,abril_set2025,7,0.2154191434950112,3919
Prata-Turvo,abril_set2025,8,0.23263052995706993,3918
Prata-Turvo,abril_set2025,9,0.2552520786070042,3917
Prata-Turvo,abril_set2025,10,0.2795669169445451,3916
Prata-Turvo,abril_set2025,11,0.29230979516117833,3915
Prata-Turvo,abril_set2025,12,0.28568088950387166,3914
Prata-Turvo,abril_set2025,13,0.26636437526094625,3913
Prata-Turvo,abril_set2025,14,0.24421021349502742,3912
Prata-Turvo,abril_set2025,15,0.22157846619601432,3911
Prata-Turvo,abril_set2025,16,0.19685239304238197,3910
Prata-Turvo,abril_set2025,17,0.17095750803923232,3909
Prata-Turvo,abril_set2025,18,0.14360438160778674,3908
Prata-Turvo,abril_set2025,19,0.11663156389144111,3907
Prata-Turvo,abril_set2025,20,0.09396411591394349,3905
Prata-Turvo,abril_set2025,21,0.08188609126357908,3904
Prata-Turvo,abril_set2025,22,0.08108756623701849,3903
Prata-Turvo,abril_set2025,23,0.08451696903960332,3902
Prata-Turvo,abril_set2025,24,0.08363040905315001,3901
Prata-Turvo,abril_set2025,25,0.07431559427220491,3900
Prata-Turvo,abril_set2025,26,0.05941773917125023,3900
Prata-Turvo,abril_set2025,27,0.04627412869704492,3897
Prata-Turvo,abril_set2025,28,0.03975792969466749,3897
Prata-Turvo,abril_set2025,29,0.0412698354993071,3896
Prata-Turvo,abril_set2025,30,0.049808618679058246,3893
Prata-Turvo,abril_set2025,31,0.05825392622453422,3893
Prata-Turvo,abril_set2025,32,0.06484801845246288,3892
Prata-Turvo,abril_set2025,33,0.06790452816171656,3891
Prata-Turvo,abril_set2025,34,0.06551264936041847,3890
Prata-Turvo,abril_set2025,35,0.0557308155730943,3889
Prata-Turvo,abril_set2025,36,0.0389843368289605,3889
Prata-Turvo,abril_set2025,37,0.018892736599264062,3887
Prata-Turvo,abril_set2025,38,0.0016906454056894759,3886
Prata-Turvo,abril_set2025,39,-0.009618342678207053,3887
Prata-Turvo,abril_set2025,40,-0.016581339075317454,3885
Prata-Turvo,abril_set2025,41,-0.023823292471401424,3884
Prata-Turvo,abril_set2025,42,-0.03375200560608481,3884
Prata-Turvo,abril_set2025,43,-0.04478694158883382,3883
Prata-Turvo,abril_set2025,44,-0.05441299406652586,3882
Prata-Turvo,abril_set2025,45,-0.060076284112628,3881
Prata-Turvo,abril_set2025,46,-0.06254434101766039,3880
Prata-Turvo,abril_set2025,47,-0.06364522165520395,3879
Prata-Turvo,abril_set2025,48,-0.0676996148119978,3878
Prata-Turvo,out2025_set2026,0,0.0683695627607714,5206
Prata-Turvo,out2025_set2026,1,0.08767968210685986,5206
Prata-Turvo,out2025_set2026,2,0.11099159373656274,5206
Prata-Turvo,out2025_set2026,3,0.14075228958439476,5205
Prata-Turvo,out2025_set2026,4,0.17404211592845983,5205
Prata-Turvo,out2025_set2026,5,0.2073061246585127,5205
Prata-Turvo,out2025_set2026,6,0.23439069717273076,5206
Prata-Turvo,out2025_set2026,7,0.2537734539552965,5206
Prata-Turvo,out2025_set2026,8,0.2659434189991939,5206
Prata-Turvo,out2025_set2026,9,0.2676287121714927,5207
Prata-Turvo,out2025_set2026,10,0.2602079908971846,5207
Prata-Turvo,out2025_set2026,11,0.24400690307588163,5207
Prata-Turvo,out2025_set2026,12,0.22519059436268227,5205
Prata-Turvo,out2025_set2026,13,0.20402459572769938,5204
Prata-Turvo,out2025_set2026,14,0.18481379826567135,5203
Prata-Turvo,out2025_set2026,15,0.16934930498059556,5201
Prata-Turvo,out2025_set2026,16,0.1564956194653277,5200
Prata-Turvo,out2025_set2026,17,0.14440088243982221,5199
Prata-Turvo,out2025_set2026,18,0.13073768270196615,5198
Prata-Turvo,out2025_set2026,19,0.11602069467628022,5197
Prata-Turvo,out2025_set2026,20,0.10232474532377715,5197
Prata-Turvo,out2025_set2026,21,0.08926662301551021,5196
Prata-Turvo,out2025_set2026,22,0.07541690023485248,5195
Prata-Turvo,out2025_set2026,23,0.06069408125351647,5195
Prata-Turvo,out2025_set2026,24,0.04839922105202927,5194
Prata-Turvo,out2025_set2026,25,0.04218350251456617,5194
Prata-Turvo,out2025_set2026,26,0.044526909361755684,5194
Prata-Turvo,out2025_set2026,27,0.053773388326083166,5194
Prata-Turvo,out2025_set2026,28,0.0663580503409692,5194
Prata-Turvo,out2025_set2026,29,0.07731595168455913,5194
Prata-Turvo,out2025_set2026,30,0.08562609486996257,5194
Prata-Turvo,out2025_set2026,31,0.09186064633058742,5194
Prata-Turvo,out2025_set2026,32,0.09676260818783303,5195
Prata-Turvo,out2025_set2026,33,0.09602938883872653,5196
Prata-Turvo,out2025_set2026,34,0.08638796426831027,5196
Prata-Turvo,out2025_set2026,35,0.06572848899161607,5198
Prata-Turvo,out2025_set2026,36,0.03913962717533774,5200
Prata-Turvo,out2025_set2026,37,0.012052585668474485,5201
Prata-Turvo,out2025_set2026,38,-0.013284053442047134,5201
Prata-Turvo,out2025_set2026,39,-0.03644253085994794,5201
Prata-Turvo,out2025_set2026,40,-0.05709810330902585,5202
Prata-Turvo,out2025_set2026,41,-0.07391699017068339,5202
Prata-Turvo,out2025_set2026,42,-0.08569125193323607,5202
Prata-Turvo,out2025_set2026,43,-0.09228545709883307,5203
Prata-Turvo,out2025_set2026,44,-0.09507040683370413,5203
Prata-Turvo,out2025_set2026,45,-0.09595791012122055,5204
Prata-Turvo,out2025_set2026,46,-0.09681587556028777,5205
Prata-Turvo,out2025_set2026,47,-0.0975143447203725,5205
Prata-Turvo,out2025_set2026,48,-0.09590176830969582,5206
Alto Antas,historico,0,0.053711105621868524,10089
Alto Antas,historico,1,0.061512719600060536,10092
Alto Antas,historico,2,0.06801083615263614,10089
Alto Antas,historico,3,0.07498405403107651,10089
Alto Antas,historico,4,0.08331106469213613,10088
Alto Antas,historico,5,0.09302175651899693,10088
Alto Antas,historico,6,0.10344429734153658,10086
Alto Antas,historico,7,0.11327605193404669,10082
Alto Antas,historico,8,0.12208827302508087,10081
Alto Antas,historico,9,0.12880659468280517,10081
Alto Antas,historico,10,0.13304867988504898,10080
Alto Antas,historico,11,0.134171990207516,10077
Alto Antas,historico,12,0.13135295253913723,10079
Alto Antas,historico,13,0.12433905522448545,10076
Alto Antas,historico,14,0.11391484497458661,10074
Alto Antas,historico,15,0.10141786751540088,10075
Alto Antas,historico,16,0.08887833894488158,10072
Alto Antas,historico,17,0.07757235206021075,10071
Alto Antas,historico,18,0.06824554615835765,10071
Alto Antas,historico,19,0.061198197020702956,10067
Alto Antas,historico,20,0.056676961467606736,10063
Alto Antas,historico,21,0.0532680718472713,10063
Alto Antas,historico,22,0.04909048733932618,10061
Alto Antas,historico,23,0.04297129866133617,10058
Alto Antas,historico,24,0.03476210474888578,10060
Alto Antas,historico,25,0.024841965927514205,10061
Alto Antas,historico,26,0.014906650095030486,10058
Alto Antas,historico,27,0.00652923957844319,10059
Alto Antas,historico,28,0.0011560756854825723,10063
Alto Antas,historico,29,-0.001746115102686865,10062
Alto Antas,historico,30,-0.0032055927369241486,10062
Alto Antas,historico,31,-0.004072031839908019,10066
Alto Antas,historico,32,-0.004412980891119537,10067
Alto Antas,historico,33,-0.003819851011104033,10065
Alto Antas,historico,34,-0.0029757685376436533,10064
Alto Antas,historico,35,-0.002871392697660473,10061
Alto Antas,historico,36,-0.004326965465968127,10059
Alto Antas,historico,37,-0.006926506548835658,10057
Alto Antas,historico,38,-0.010033753419258815,10053
Alto Antas,historico,39,-0.013752169778747441,10052
Alto Antas,historico,40,-0.018439433283174732,10051
Alto Antas,historico,41,-0.023601577494211576,10050
Alto Antas,historico,42,-0.02786758692049008,10050
Alto Antas,historico,43,-0.030490804396817985,10051
Alto Antas,historico,44,-0.031192900062745565,10052
Alto Antas,historico,45,-0.030672995217948747,10053
Alto Antas,historico,46,-0.02944194561923857,10054
Alto Antas,historico,47,-0.028659628217914318,10057
Alto Antas,historico,48,-0.029153585216499446,10060
Alto Antas,abril_set2025,0,0.10368366007347672,3748
Alto Antas,abril_set2025,1,0.12431150703816335,3748
Alto Antas,abril_set2025,2,0.14736774597650407,3748
Alto Antas,abril_set2025,3,0.17179232920105117,3749
Alto Antas,abril_set2025,4,0.19591307603514801,3748
Alto Antas,abril_set2025,5,0.217379307833663,3748
Alto Antas,abril_set2025,6,0.2376736047720044,3748
Alto Antas,abril_set2025,7,0.26048070220784136,3746
Alto Antas,abril_set2025,8,0.2906922390609363,3746
Alto Antas,abril_set2025,9,0.32717372041386095,3746
Alto Antas,abril_set2025,10,0.35979681312540734,3745
Alto Antas,abril_set2025,11,0.3789968155502466,3745
Alto Antas,abril_set2025,12,0.3792100088676121,3745
