mae_m,rmse_m,bias_m,p90_abs_m,max_abs_m,n,h,model,phase,validation_score,param,gain,rise_mae_m,high_mae_m
0.8965580466305308,1.3117400821344374,-0.336024701337933,2.1035626795367484,2.7517722428218088,10,4,linear_corrigido,today,0.2633516432210869,"(100.0, False)",0.0,1.7996285881309309,
0.10485889510709591,0.14352801371478044,-0.010619087954763799,0.24124921671394356,0.9554705056726629,6048,4,log_chuva,validation,0.24941954417536497,"(100.0, False)",0.0,0.2166444232495018,0.07247687488703629
0.10388479096645264,0.1597632571472306,-0.021943477829194414,0.22880617398806224,1.1290806779737288,1359,4,log_chuva,test,0.24941954417536497,"(100.0, False)",0.0,0.2457021879975994,0.26249660063578617
0.8431250208900402,1.2337218077141852,-0.7826312363115903,2.1008164774741744,2.294920533438095,10,4,log_chuva,today,0.24941954417536497,"(100.0, False)",0.0,1.6554422570603569,
0.14584863707837056,0.20455890533955035,0.05981022739193481,0.28640062606774136,1.759488333750488,6048,4,linear_sem_interacao,validation,0.26811366371600504,"(10.0, True)",0.0,0.17028542852880502,0.07424462474646394
0.11023286730815407,0.16693024455466438,0.03212416367462961,0.24495696784383264,0.9980098710426581,1359,4,linear_sem_interacao,test,0.26811366371600504,"(10.0, True)",0.0,0.22339239715268885,0.2757642797435513
0.8511549493895949,1.183493580812617,-0.6139699967274208,2.016492224392351,2.1705548681913953,10,4,linear_sem_interacao,today,0.26811366371600504,"(10.0, True)",0.0,1.7060770726632615,
0.0518327223894882,0.07933393193971848,0.026773308913383503,0.1153747588394644,1.0771902430378297,6048,4,arvores_corrigidas,validation,0.17605044869560488,"(15, 'absolute_error', True)",0.0,0.13336121561743872,0.11507423699479465
0.083228760536784,0.142418554091922,0.02459201902213943,0.18763126998121005,1.0704069834534415,1359,4,arvores_corrigidas,test,0.17605044869560488,"(15, 'absolute_error', True)",0.0,0.1967384068113716,0.23931494651197024
0.9677021886856825,1.3517619898241278,-0.9565178967315191,2.3477490653777813,2.355699704147341,10,4,arvores_corrigidas,today,0.17605044869560488,"(15, 'absolute_error', True)",0.0,1.9838058569516421,
0.13672437090802236,0.18786379267183942,0.03595144690346237,0.2782117923844961,1.2812965378065773,6048,5,linear_corrigido,validation,0.28812683604398975,"(10.0, True)",0.5,0.2009263580034884,0.10187857226844639
0.14188078785451586,0.24230766089220088,0.038558650927289016,0.3076737506488069,2.5871218762055683,1358,5,linear_corrigido,test,0.28812683604398975,"(10.0, True)",0.5,0.3012945954823701,0.4384696335296582
1.0464153949916433,1.4440074410751695,-0.9477587179139016,2.4044788794603664,2.71430382369655,9,5,linear_corrigido,today,0.28812683604398975,"(10.0, True)",0.5,1.9289864991718801,
0.13473304990206236,0.17570112168349858,0.06787470675932385,0.2803888435355963,1.1021073010474485,6048,5,log_chuva,validation,0.2722399801580233,"(10.0, True)",0.5,0.20986172701136135,0.06515213350056055
0.1440261974704195,0.2268198940070241,0.026053512705971796,0.31977734316766676,1.4802679420652733,1358,5,log_chuva,test,0.2722399801580233,"(10.0, True)",0.5,0.2972477024604274,0.3684522890862829
1.2479450199779218,1.6467459865777372,-1.1723475524589604,2.6254455893927724,2.6698640049753077,9,5,log_chuva,today,0.2722399801580233,"(10.0, True)",0.5,2.3934945587297873,
0.1615196148037648,0.2143165969942717,0.1053948557535002,0.3336764340027148,1.8364738138774972,6048,5,linear_sem_interacao,validation,0.32247254417444116,"(100.0, True)",0.0,0.20894652346921194,0.11295933527214075
0.15360285236835222,0.22798662480957535,0.0783164721042594,0.34352798856925365,1.4299329362564368,1358,5,linear_sem_interacao,test,0.32247254417444116,"(100.0, True)",0.0,0.28510494108843,0.3591090929222673
1.2107947815480127,1.623050121691687,-1.163376932213204,2.67978946335579,2.7498380703369416,9,5,linear_sem_interacao,today,0.32247254417444116,"(100.0, True)",0.0,2.3365043083689683,
0.0708951779669416,0.10424855814061874,0.043625609349883236,0.1500723671008722,1.1854810204071384,6048,5,arvores_corrigidas,validation,0.16429021802567492,"(15, 'absolute_error', True)",0.0,0.14766463095419327,0.039125449163273394
0.10536884902813295,0.17561975505331856,0.032277448468359435,0.2322908172633421,1.3009867529018972,1358,5,arvores_corrigidas,test,0.16429021802567492,"(15, 'absolute_error', True)",0.0,0.22089266643073074,0.3272490774818172
1.3404581159644502,1.7932173461635132,-1.3404581159644502,2.8124457424812936,2.9443543353342303,9,5,arvores_corrigidas,today,0.16429021802567492,"(15, 'absolute_error', True)",0.0,2.6001336777707555,
0.1543192513320482,0.21748338510520804,0.0380013996610755,0.3065403569227926,1.4824453100867674,6048,6,linear_corrigido,validation,0.31224377709151835,"(100.0, False)",0.0,0.1946198860091291,0.12122916550981107
