origin,plant,variable,back_hours,source_time,value,contradictory_components
2020-07-08T19:00:00-03:00,JIUHMC,Q,4,2020-07-08 14:00:00,0,False
2020-07-08T19:00:00-03:00,JIUHMC,Q,8,2020-07-08 10:00:00,0,False
2020-07-08T19:00:00-03:00,JIUHMC,I,0,2020-07-08 18:00:00,0,False
2020-07-08T20:00:00-03:00,JIUHQJ,Q,2,2020-07-08 17:00:00,0,True
2020-07-08T20:00:00-03:00,JIUHQJ,Q,4,2020-07-08 15:00:00,0,True
2020-07-08T20:00:00-03:00,JIUHQJ,Q,8,2020-07-08 11:00:00,0,True
2020-07-08T20:00:00-03:00,JIUHMC,Q,1,2020-07-08 18:00:00,0,False
2020-07-08T20:00:00-03:00,JIUHMC,Q,2,2020-07-08 17:00:00,0,False
2020-07-08T20:00:00-03:00,JIUHMC,Q,4,2020-07-08 15:00:00,0,False
2020-07-08T20:00:00-03:00,JIUHMC,Q,8,2020-07-08 11:00:00,0,False
2020-07-08T21:00:00-03:00,JIUHQJ,Q,4,2020-07-08 16:00:00,0,True
2020-07-08T21:00:00-03:00,JIUHQJ,Q,8,2020-07-08 12:00:00,0,True
2020-07-08T21:00:00-03:00,JIUHMC,Q,2,2020-07-08 18:00:00,0,False
2020-07-08T21:00:00-03:00,JIUHMC,Q,4,2020-07-08 16:00:00,0,False
2020-07-08T21:00:00-03:00,JIUHMC,Q,8,2020-07-08 12:00:00,0,False
2020-07-08T22:00:00-03:00,JIUHQJ,Q,4,2020-07-08 17:00:00,0,True
2020-07-08T22:00:00-03:00,JIUHQJ,Q,8,2020-07-08 13:00:00,0,True
2020-07-08T22:00:00-03:00,JIUHMC,Q,4,2020-07-08 17:00:00,0,False
2020-07-08T22:00:00-03:00,JIUHMC,Q,8,2020-07-08 13:00:00,0,False
2020-07-08T23:00:00-03:00,JIUHQJ,Q,8,2020-07-08 14:00:00,0,True
2020-07-08T23:00:00-03:00,JIUHMC,Q,4,2020-07-08 18:00:00,0,False
2020-07-08T23:00:00-03:00,JIUHMC,Q,8,2020-07-08 14:00:00,0,False
2020-07-09T00:00:00-03:00,JIUHQJ,Q,8,2020-07-08 15:00:00,0,True
2020-07-09T00:00:00-03:00,JIUHMC,Q,8,2020-07-08 15:00:00,0,False
2020-07-09T01:00:00-03:00,JIUHQJ,Q,8,2020-07-08 16:00:00,0,True
2020-07-09T01:00:00-03:00,JIUHMC,Q,8,2020-07-08 16:00:00,0,False
2020-07-09T02:00:00-03:00,JIUHQJ,Q,8,2020-07-08 17:00:00,0,True
2020-07-09T02:00:00-03:00,JIUHMC,Q,8,2020-07-08 17:00:00,0,False
2020-07-09T03:00:00-03:00,JIUHMC,Q,8,2020-07-08 18:00:00,0,False
