phase,horizon_h,input_column,median,mean,scale,standardized_coefficient,original_unit_coefficient
validation,5,1,0.0,0.011610738255033564,0.16042666613091086,0.06008113244605853,0.3745083900018923
validation,5,2,-0.010000000000000009,0.010028763183125601,0.15465794111787234,0.04065966782112692,0.26290061491338623
validation,5,3,-0.010000000000000009,0.008368887823585809,0.14845527335973094,0.0009794338305119277,0.0065975011082199985
validation,5,4,-0.007500000000000007,0.006377636625119845,0.13813683976882352,-0.02874193370696024,-0.20806856270246807
validation,5,5,-0.006249999999999978,0.005372423298178331,0.12188622766809343,-0.05772981844820797,-0.47363692808190916
validation,5,7,0.0,0.0102540747842761,0.18495842519601435,0.047628763352267706,0.257510644901912
validation,5,8,0.0,0.010858101629913706,0.17893027185214544,0.048801086734178274,0.2727380125734333
validation,5,9,0.0,0.0124928092042186,0.1716052913721247,0.0804535814583299,0.46882925820665367
validation,5,10,-0.0024999999999999467,0.016395613614573347,0.1594563437835002,0.09364388589884048,0.5872697421557856
validation,5,11,-0.0012500000000000289,0.016565496164908915,0.12908508384939302,0.0732103220340394,0.5671478055470439
validation,5,13,0.0,0.020349952061361438,0.16507406242595435,0.11805216370890069,0.7151466558342816
validation,5,14,-0.009999999999999787,0.020848513902205178,0.1639556246385585,0.09137949386751093,0.5573428424243313
validation,5,15,-0.0050000000000000044,0.02071548418024928,0.15727270902711385,0.08850830342668749,0.5627696246487917
validation,5,16,-0.0050000000000000044,0.016662272291466926,0.13728924372779752,0.07823953782920323,0.5698883299577951
validation,5,17,-0.0050000000000000044,0.01028703259827421,0.1095437388603528,0.021423176258396005,0.19556732754672937
validation,5,19,0.0,0.00282837967401726,0.14850890802301253,0.004116265624092027,0.027717297762732063
validation,5,20,0.0,0.00341562799616491,0.1258863372997924,0.020350436235509663,0.16165722724179396
validation,5,21,0.0,0.004176653883029723,0.1068895259550242,0.023070853331632026,0.21583829777053673
validation,5,22,0.0,0.004527804410354747,0.08720973945864628,0.03074979706346996,0.35259590562188425
validation,5,23,0.0,0.004228787152444871,0.06969014723877938,0.012009412055053632,0.17232582410689676
test,5,1,-0.019999999999999574,0.004611304012345682,0.13074986779257108,0.06198012365681433,0.4740358418957874
test,5,2,-0.010000000000000009,0.0035361207561728416,0.12545784716084468,0.03194304128520273,0.25461174416814103
