id,network,name,lat,lon,ottobacia,subbacia,observado_em,acumulado_hoje_mm,qualidade,usada_chuva_modelo,proxima_limite_1km,fonte
16920,cemaden,CEMADEN - Flores da Cunha - G2-430820101A (721 m),-28.99748,-51.21766,7869136,Alto Antas,2026-09-21T12:50:00-03:00,105.2,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16920.txt
16921,cemaden,CEMADEN - Antônio Prado - G2-430080202A (683 m),-28.8493,-51.2744,7869134,Alto Antas,2026-09-21T12:20:00-03:00,0.2,possivel sensor travado: divergencia dos vizinhos,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16921.txt
16922,cemaden,CEMADEN - Antônio Prado - G2-430080203A (685 m),-28.86879,-51.24667,7869134,Alto Antas,2026-09-21T12:10:00-03:00,0.2,possivel sensor travado: divergencia dos vizinhos,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16922.txt
16926,cemaden,CEMADEN - Bento Gonçalves - G2-Vale dos Vinhedos (539 m),-29.17524,-51.56168,786725,Baixo Antas,2026-09-21T12:10:00-03:00,0.2,reinicio ou queda do acumulado diario; possivel sensor travado: divergencia dos vizinhos,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16926.txt
16927,cemaden,CEMADEN - Santa Tereza - G2-431725101A (244 m),-29.16629,-51.68494,7865621,Baixo Antas,2026-09-21T12:40:00-03:00,164.8,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16927.txt
16929,cemaden,CEMADEN - Antônio Prado - G2-430080201A (688 m),-28.88297,-51.41755,786813,Prata-Turvo,2026-09-21T12:10:00-03:00,0.0,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16929.txt
16930,cemaden,CEMADEN - Veranópolis - G2-432280602A (664 m),-28.9594,-51.48939,786811,Prata-Turvo,2026-09-21T12:40:00-03:00,108.6,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16930.txt
16931,cemaden,CEMADEN - Veranópolis - G2-432280603A (663 m),-28.93585,-51.56352,78674,Baixo Antas,2026-09-21T12:50:00-03:00,130.6,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16931.txt
16935,cemaden,CEMADEN - Santa Tereza - G2-431725102A (81 m),-29.16962,-51.73682,786561,Baixo Antas,2026-09-21T12:40:00-03:00,157.0,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16935.txt
16936,cemaden,CEMADEN - Santa Tereza - G2-431725103A (479 m),-29.14392,-51.70408,78657,Baixo Antas,2026-09-21T12:50:00-03:00,61.8,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16936.txt
16938,cemaden,CEMADEN - Cotiporã - G2-430595901A (601 m),-28.99433,-51.69655,786613,Carreiro,2026-09-21T12:10:00-03:00,0.2,possivel sensor travado: divergencia dos vizinhos,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16938.txt
16939,cemaden,CEMADEN - Cotiporã - G2-430595902A (590 m),-28.99784,-51.69787,786611,Carreiro,2026-09-21T12:50:00-03:00,64.8,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16939.txt
16940,cemaden,CEMADEN - Veranópolis - G2-432280601A (605 m),-28.997,-51.5618,78674,Baixo Antas,2026-09-21T12:40:00-03:00,100.2,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16940.txt
16952,cemaden,CEMADEN - Guaporé - G2-430940701A (473 m),-28.8406,-51.9024,7866512,Carreiro,2026-09-21T12:40:00-03:00,125.4,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16952.txt
17558,cemaden,CEMADEN - Bento Gonçalves - Tuiuty (315 m),-29.049266,-51.562369,78675,Baixo Antas,2026-09-21T12:40:00-03:00,120.6,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17558.txt
17559,cemaden,CEMADEN - Bento Gonçalves - FUNDAPARQUE (617 m),-29.169989,-51.489363,7867841,Baixo Antas,2026-09-21T12:40:00-03:00,140.4,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17559.txt
17560,cemaden,CEMADEN - Bento Gonçalves - EMBRAPA UVA (626 m),-29.16463,-51.534268,786724,Baixo Antas,2026-09-21T12:40:00-03:00,135.6,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17560.txt
17561,cemaden,CEMADEN - Bento Gonçalves - Faria Lemos (349 m),-29.103374,-51.607984,786723,Baixo Antas,2026-09-21T12:40:00-03:00,131.8,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17561.txt
17717,cemaden,CEMADEN - Muçum - G2-431260903A (60 m),-29.16674,-51.87146,78651,Baixo Antas,2026-09-21T12:40:00-03:00,124.6,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17717.txt
17718,cemaden,CEMADEN - Muçum - G2-431260902A (136 m),-29.15467,-51.86221,78651,Baixo Antas,2026-09-21T12:40:00-03:00,140.6,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17718.txt
17719,cemaden,CEMADEN - Muçum - G2-431260901A (517 m),-29.12422,-51.76907,78657,Baixo Antas,2026-09-21T12:10:00-03:00,,acumulado ausente ou negativo,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17719.txt
17786,cemaden,CEMADEN - Caxias do Sul - G2-430510807A (859 m),-29.1046,-51.1283,7869144,Alto Antas,2026-09-21T12:40:00-03:00,160.6,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17786.txt
17789,cemaden,CEMADEN - Jaquirana - G2-431112201A (928 m),-28.8857,-50.3599,7869631,Tainhas,2026-09-21T12:40:00-03:00,152.0,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17789.txt
17793,cemaden,CEMADEN - Monte Alegre dos Campos - G2-431237701A (964 m),-28.6851,-50.7831,786924,Alto Antas,2026-09-21T12:40:00-03:00,45.0,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17793.txt
17794,cemaden,CEMADEN - Muitos Capões - G2-431261701A (928 m),-28.31624,-51.18542,786849,Prata-Turvo,2026-09-21T12:10:00-03:00,0.0,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17794.txt
17795,cemaden,CEMADEN - Nova Bassano - G2-431290601A (545 m),-28.74098,-51.70108,786649,Carreiro,2026-09-21T12:50:00-03:00,93.2,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17795.txt
17796,cemaden,CEMADEN - Paraí - G2-431400101A (641 m),-28.59748,-51.78679,786659,Carreiro,2026-09-21T12:00:00-03:00,41.6,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17796.txt
17804,cemaden,CEMADEN - Vanini - G2-432255801A (734 m),-28.47218,-51.84174,786691,Carreiro,2026-09-21T12:10:00-03:00,11.6,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17804.txt
17805,cemaden,CEMADEN - Vanini - G2-432255802A (721 m),-28.47552,-51.84657,786691,Carreiro,2026-09-21T12:10:00-03:00,11.4,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17805.txt
17819,cemaden,CEMADEN - André da Rocha - G2-430066101A (707 m),-28.62942,-51.57527,786823,Prata-Turvo,2026-09-21T12:00:00-03:00,23.4,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17819.txt
17822,cemaden,CEMADEN - Campestre da Serra - G2-430367301A (761 m),-28.7994,-51.0922,7869173,Alto Antas,2026-09-21T12:10:00-03:00,0.0,possivel sensor travado: divergencia dos vizinhos,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17822.txt
17824,cemaden,CEMADEN - Ipê - G2-431043901A (767 m),-28.8249,-51.2802,7869134,Alto Antas,2026-09-21T12:40:00-03:00,90.8,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17824.txt
17825,cemaden,CEMADEN - Nova Bassano - G2-431290602A (621 m),-28.71898,-51.70358,786649,Carreiro,2026-09-21T12:50:00-03:00,79.2,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17825.txt
17826,cemaden,CEMADEN - Paraí - G2-431400102A (720 m),-28.59865,-51.78069,786659,Carreiro,2026-09-21T12:10:00-03:00,33.8,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17826.txt
17895,cemaden,CEMADEN - Cambará do Sul - G2-430360801A (1025 m),-29.04894,-50.14622,7869922,Alto Antas,2026-09-21T12:40:00-03:00,83.0,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17895.txt
17896,cemaden,CEMADEN - Cambará do Sul - G2-430360802A (1045 m),-28.98363,-50.0686,786997,Alto Antas,2026-09-21T12:40:00-03:00,96.6,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17896.txt
