id,rede,nome,lat,lon,subbacia,origem,ultimo_dado,qualidade
16931,cemaden,CEMADEN - Veranópolis - G2-432280603A (663 m),-28.93585,-51.56352,Baixo Antas,SIGMA,2026-09-21T12:50:00-03:00,checagens basicas aprovadas; nao homologado
16935,cemaden,CEMADEN - Santa Tereza - G2-431725102A (81 m),-29.16962,-51.73682,Baixo Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
16936,cemaden,CEMADEN - Santa Tereza - G2-431725103A (479 m),-29.14392,-51.70408,Baixo Antas,SIGMA,2026-09-21T12:50:00-03:00,checagens basicas aprovadas; nao homologado
16938,cemaden,CEMADEN - Cotiporã - G2-430595901A (601 m),-28.99433,-51.69655,Carreiro,SIGMA,2026-09-21T12:10:00-03:00,possivel sensor travado: divergencia dos vizinhos
16939,cemaden,CEMADEN - Cotiporã - G2-430595902A (590 m),-28.99784,-51.69787,Carreiro,SIGMA,2026-09-21T12:50:00-03:00,checagens basicas aprovadas; nao homologado
16940,cemaden,CEMADEN - Veranópolis - G2-432280601A (605 m),-28.997,-51.5618,Baixo Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
16952,cemaden,CEMADEN - Guaporé - G2-430940701A (473 m),-28.8406,-51.9024,Carreiro,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
17558,cemaden,CEMADEN - Bento Gonçalves - Tuiuty (315 m),-29.049266,-51.562369,Baixo Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
17559,cemaden,CEMADEN - Bento Gonçalves - FUNDAPARQUE (617 m),-29.169989,-51.489363,Baixo Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
17560,cemaden,CEMADEN - Bento Gonçalves - EMBRAPA UVA (626 m),-29.16463,-51.534268,Baixo Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
17561,cemaden,CEMADEN - Bento Gonçalves - Faria Lemos (349 m),-29.103374,-51.607984,Baixo Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
17717,cemaden,CEMADEN - Muçum - G2-431260903A (60 m),-29.16674,-51.87146,Baixo Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
17718,cemaden,CEMADEN - Muçum - G2-431260902A (136 m),-29.15467,-51.86221,Baixo Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
17719,cemaden,CEMADEN - Muçum - G2-431260901A (517 m),-29.12422,-51.76907,Baixo Antas,SIGMA,2026-09-21T12:10:00-03:00,acumulado ausente ou negativo
17786,cemaden,CEMADEN - Caxias do Sul - G2-430510807A (859 m),-29.1046,-51.1283,Alto Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
17789,cemaden,CEMADEN - Jaquirana - G2-431112201A (928 m),-28.8857,-50.3599,Tainhas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
17793,cemaden,CEMADEN - Monte Alegre dos Campos - G2-431237701A (964 m),-28.6851,-50.7831,Alto Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
17794,cemaden,CEMADEN - Muitos Capões - G2-431261701A (928 m),-28.31624,-51.18542,Prata-Turvo,SIGMA,2026-09-21T12:10:00-03:00,checagens basicas aprovadas; nao homologado
17795,cemaden,CEMADEN - Nova Bassano - G2-431290601A (545 m),-28.74098,-51.70108,Carreiro,SIGMA,2026-09-21T12:50:00-03:00,checagens basicas aprovadas; nao homologado
17796,cemaden,CEMADEN - Paraí - G2-431400101A (641 m),-28.59748,-51.78679,Carreiro,SIGMA,2026-09-21T12:00:00-03:00,checagens basicas aprovadas; nao homologado
17804,cemaden,CEMADEN - Vanini - G2-432255801A (734 m),-28.47218,-51.84174,Carreiro,SIGMA,2026-09-21T12:10:00-03:00,checagens basicas aprovadas; nao homologado
17805,cemaden,CEMADEN - Vanini - G2-432255802A (721 m),-28.47552,-51.84657,Carreiro,SIGMA,2026-09-21T12:10:00-03:00,checagens basicas aprovadas; nao homologado
17819,cemaden,CEMADEN - André da Rocha - G2-430066101A (707 m),-28.62942,-51.57527,Prata-Turvo,SIGMA,2026-09-21T12:00:00-03:00,checagens basicas aprovadas; nao homologado
17822,cemaden,CEMADEN - Campestre da Serra - G2-430367301A (761 m),-28.7994,-51.0922,Alto Antas,SIGMA,2026-09-21T12:10:00-03:00,possivel sensor travado: divergencia dos vizinhos
17824,cemaden,CEMADEN - Ipê - G2-431043901A (767 m),-28.8249,-51.2802,Alto Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
17825,cemaden,CEMADEN - Nova Bassano - G2-431290602A (621 m),-28.71898,-51.70358,Carreiro,SIGMA,2026-09-21T12:50:00-03:00,checagens basicas aprovadas; nao homologado
17826,cemaden,CEMADEN - Paraí - G2-431400102A (720 m),-28.59865,-51.78069,Carreiro,SIGMA,2026-09-21T12:10:00-03:00,checagens basicas aprovadas; nao homologado
17895,cemaden,CEMADEN - Cambará do Sul - G2-430360801A (1025 m),-29.04894,-50.14622,Alto Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
