phase,horizon_h,family,subset,regime,n,hits,mae_m,bias_m,max_error_m
test,3,combined,all,above_train_max,7,0,2.122521569847057,-2.122521569847057,3.4214999356393374
test,3,combined,all,below_train_min,18,11,0.5057909974705195,0.5057909974705195,0.887304795447255
test,3,combined,all,within_train_range,1908,1881,0.07609422147206915,0.004312601238111055,0.950546713837304
test,3,combined,level_ge_7m,above_train_max,7,0,2.122521569847057,-2.122521569847057,3.4214999356393374
test,3,combined,level_ge_7m,below_train_min,18,11,0.5057909974705195,0.5057909974705195,0.887304795447255
test,3,combined,level_ge_7m,within_train_range,211,197,0.15014923536224414,-0.01573003920608988,0.8257815411610974
validation,4,baseline,all,above_train_max,0,0,,,
validation,4,baseline,all,below_train_min,3,3,0.3260332308437688,0.3260332308437688,0.39869021999107623
validation,4,baseline,all,within_train_range,6471,6435,0.052605318498782236,-0.0017104180302917437,1.1266484664503391
validation,4,baseline,level_ge_7m,above_train_max,0,0,,,
validation,4,baseline,level_ge_7m,below_train_min,1,1,0.296654900666252,0.296654900666252,0.296654900666252
validation,4,baseline,level_ge_7m,within_train_range,27,24,0.2044001393601382,-0.04660790825406722,0.7538985233867415
validation,4,native_only,all,above_train_max,0,0,,,
validation,4,native_only,all,below_train_min,3,3,0.3152863054515329,0.3152863054515329,0.3774622218251329
validation,4,native_only,all,within_train_range,6471,6423,0.06255633909064691,0.014622914677447753,1.8724524924766541
validation,4,native_only,level_ge_7m,above_train_max,0,0,,,
validation,4,native_only,level_ge_7m,below_train_min,1,1,0.3185260827840892,0.3185260827840892,0.3185260827840892
validation,4,native_only,level_ge_7m,within_train_range,27,25,0.17942192713140542,0.03782744968606756,0.6155785945577197
validation,4,reservoir_only,all,above_train_max,0,0,,,
validation,4,reservoir_only,all,below_train_min,3,3,0.34876344175765733,0.34876344175765733,0.4126982684784988
validation,4,reservoir_only,all,within_train_range,6471,6435,0.054127865246062695,0.001762110644714148,1.1633163430952838
validation,4,reservoir_only,level_ge_7m,above_train_max,0,0,,,
validation,4,reservoir_only,level_ge_7m,below_train_min,1,1,0.3505501253176071,0.3505501253176071,0.3505501253176071
validation,4,reservoir_only,level_ge_7m,within_train_range,27,23,0.21412394799781295,-0.07972048056376844,0.7148333845413584
validation,4,combined,all,above_train_max,0,0,,,
validation,4,combined,all,below_train_min,3,3,0.407438989530724,0.407438989530724,0.4609606499949592
validation,4,combined,all,within_train_range,6471,6425,0.06350769584601265,0.01809476650084459,1.8372761534119189
validation,4,combined,level_ge_7m,above_train_max,0,0,,,
validation,4,combined,level_ge_7m,below_train_min,1,1,0.4473484028646926,0.4473484028646926,0.4473484028646926
validation,4,combined,level_ge_7m,within_train_range,27,25,0.17151133410782934,0.09185145546849015,0.6010827103513368
test,4,baseline,all,above_train_max,7,0,3.0572463352741215,-3.0572463352741215,4.36887111857405
test,4,baseline,all,below_train_min,21,10,0.6196349817029122,0.6196349817029122,1.1101658906318939
test,4,baseline,all,within_train_range,1903,1859,0.10222713143764928,-0.0006790414034041058,1.440998382535767
test,4,baseline,level_ge_7m,above_train_max,7,0,3.0572463352741215,-3.0572463352741215,4.36887111857405
test,4,baseline,level_ge_7m,below_train_min,21,10,0.6196349817029122,0.6196349817029122,1.1101658906318939
test,4,baseline,level_ge_7m,within_train_range,208,180,0.23658227078104793,-0.05586336344810967,1.440998382535767
test,4,native_only,all,above_train_max,7,0,2.899956721740444,-2.899956721740444,4.128444821919075
test,4,native_only,all,below_train_min,21,9,0.6238743429722428,0.6238743429722428,1.1030731272830412
test,4,native_only,all,within_train_range,1903,1865,0.09716375484114405,0.0009287909258450515,1.0783740796096701
test,4,native_only,level_ge_7m,above_train_max,7,0,2.899956721740444,-2.899956721740444,4.128444821919075
test,4,native_only,level_ge_7m,below_train_min,21,9,0.6238743429722428,0.6238743429722428,1.1030731272830412
test,4,native_only,level_ge_7m,within_train_range,208,183,0.23522856106708764,-0.052504386386018585,1.0783740796096701
test,4,reservoir_only,all,above_train_max,7,0,3.102566811078066,-3.102566811078066,4.409130923412608
test,4,reservoir_only,all,below_train_min,21,10,0.6242857044429349,0.6242857044429349,1.120914920964987
test,4,reservoir_only,all,within_train_range,1903,1863,0.09982560016771963,-0.0024043652611624175,1.3915345102213834
test,4,reservoir_only,level_ge_7m,above_train_max,7,0,3.102566811078066,-3.102566811078066,4.409130923412608
test,4,reservoir_only,level_ge_7m,below_train_min,21,10,0.6242857044429349,0.6242857044429349,1.120914920964987
test,4,reservoir_only,level_ge_7m,within_train_range,208,181,0.23433191302591327,-0.061398803906727244,1.3915345102213834
test,4,combined,all,above_train_max,7,0,2.848706584292326,-2.848706584292326,4.125893791320758
test,4,combined,all,below_train_min,21,11,0.6055586742486753,0.6055586742486753,1.0911371324841692
test,4,combined,all,within_train_range,1903,1863,0.0974218961038473,0.002568428087508952,1.0905596924034295
test,4,combined,level_ge_7m,above_train_max,7,0,2.848706584292326,-2.848706584292326,4.125893791320758
test,4,combined,level_ge_7m,below_train_min,21,11,0.6055586742486753,0.6055586742486753,1.0911371324841692
test,4,combined,level_ge_7m,within_train_range,208,185,0.21774523670800816,-0.043062611674298104,1.0905596924034295
validation,5,baseline,all,above_train_max,0,0,,,
