month,id,name,code,rows
1,IGGBMU,G. B. MUNHOZ,74.0,744
1,JDJORD,JORDÃO,73.0,744
1,IGSCAX,SALTO CAXIAS,82.0,744
1,IGSOSO,SALTO OSORIO,78.0,744
1,IGSSAN,SALTO SANTIAGO,77.0,744
1,IGSCL,SANTA CLARA-PR,71.0,744
1,IGSEGR,SEGREDO,76.0,744
1,ITRSL,ROSAL,217.0,744
1,IAUHSP,SALTO PILAO,215.0,744
1,JIUHQJ,14 DE JULHO,99.0,739
1,OSCNST,CANASTRA,,743
1,JIUHCA,CASTRO ALVES,97.0,739
1,JIUDFR,D. FRANCISCA,114.0,744
1,JIERNE,ERNESTINA,110.0,741
1,JIITAU,ITAUBA,113.0,743
1,JIJACU,JACUI,112.0,743
1,JIUHMC,MONTE CLARO,98.0,739
1,JIPREA,PASSO REAL,111.0,743
1,JEIRAP,IRAPE,148.0,744
1,JEUITP,ITAPEBI,154.0,692
1,MUSCLA,STA.CLARA-MG,283.0,556
1,PGUCV,PEDRA DO CAVALO,189.0,4
1,PYUIQ,ITIQUIRA I,304.0,732
1,PYUIQ2,ITIQUIRA II,305.0,732
1,PYUJAU,JAURU,195.0,577
1,PYUSMS,MANSO,278.0,744
1,PYPP,PONTE DE PEDRA,281.0,744
1,PBANTA,ANTA,128.0,744
1,PBBBRA,BARRA BRAUNA,185.0,744
1,RLFONT,FONTES,132.0,394
1,PBFUNI,FUNIL,123.0,744
1,PBILHP,ILHA POMBOS,130.0,394
1,PBJAGU,JAGUARI,120.0,744
1,RLLAJE,LAJES,124.0,394
1,RLNPEC,NILO PEÇANHA,131.0,394
1,PBPARA,PARAIBUNA,121.0,675
1,RLPPAS,PEREIRA PASSOS,133.0,380
1,PBPCDA,PICADA,126.0,727
1,PBSTAB,SANTA BRANCA,122.0,394
1,PBSTAC,SANTA CECILIA,125.0,394
1,RPSANT,SANTANA,181.0,394
1,PBUSSI,SIMPLICIO,129.0,744
1,PUSOBR,SOBRAGI,127.0,742
1,RPTOCO,TOCOS,180.0,392
1,PBVIG,VIGARIO,182.0,394
1,PNISOL,I. SOLTEIRA,34.0,744
1,PNITAI,ITAIPU,66.0,744
1,PNJUPI,JUPIA,45.0,744
1,PNPPRI,PORTO PRIMAVERA,46.0,600
1,PNUHSD,SAO DOMINGOS,153.0,743
1,PNUHBC,B.COQUEIROS,312.0,743
1,PNUSBL,BATALHA,20.0,744
1,PRCDOU,C. DOURADA,32.0,744
1,PNCPB1,C.BRANCO-1,27.0,744
1,PNCPB2,C.BRANCO-2,28.0,744
1,PNCACU,CACU,311.0,742
1,COCORU,CORUMBA,30.0,744
1,PNUCB3,CORUMBA-3,203.0,559
1,PNUCB4,CORUMBA-4,29.0,744
1,PREMBO,EMBORCAÇÃO,24.0,744
1,PNUHES,ESPORA,290.0,744
1,PNUFRC,FOZ DO RIO CLARO,315.0,744
1,PRITUM,ITUMBIARA,31.0,744
1,ARMIRA,MIRANDA,26.0,744
1,PRNPON,NOVA PONTE,25.0,744
1,PNUHSF,S.DO FACÃO,21.0,742
1,PNSV,S.R.VERDINHO,241.0,685
1,PNST,SALTO,262.0,744
1,PRSSIM,SÃO SIMÃO,33.0,744
1,PPCNO1,CANOAS I,52.0,744
1,PPCNO2,CANOAS II,51.0,744
1,PPCAPI,CAPIVARA,61.0,744
1,PPCHAV,CHAVANTES,49.0,744
