origin,plant,variable,back_hours,query_naive,source_time_naive,age_seconds,value_m3s,usable,zero,Q_zero_positive_components,balance_residual_gt1,source_file,source_record_index
2020-07-01T04:00:00-03:00,JIUHMC,Q,8,2020-06-30T19:00:00,2020-06-30 19:00:00,0.0,2080.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43902
2020-07-01T04:00:00-03:00,JIUHMC,I,0,2020-07-01T03:00:00,2020-07-01 03:00:00,0.0,1952.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,746
2020-07-01T04:00:00-03:00,JIUHCA,Q,0,2020-07-01T03:00:00,2020-07-01 03:00:00,0.0,1170.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,2
2020-07-01T04:00:00-03:00,JIUHCA,Q,1,2020-07-01T02:00:00,2020-07-01 02:00:00,0.0,1142.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1
2020-07-01T04:00:00-03:00,JIUHCA,Q,2,2020-07-01T01:00:00,2020-07-01 01:00:00,0.0,1142.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,0
2020-07-01T04:00:00-03:00,JIUHCA,Q,4,2020-06-30T23:00:00,2020-06-30 23:00:00,0.0,1218.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,40306
2020-07-01T04:00:00-03:00,JIUHCA,Q,8,2020-06-30T19:00:00,2020-06-30 19:00:00,0.0,1198.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,40302
2020-07-01T04:00:00-03:00,JIUHCA,I,0,2020-07-01T03:00:00,2020-07-01 03:00:00,0.0,1214.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,2
2020-07-01T05:00:00-03:00,JIUHQJ,Q,0,2020-07-01T04:00:00,2020-07-01 04:00:00,0.0,2142.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1491
2020-07-01T05:00:00-03:00,JIUHQJ,Q,1,2020-07-01T03:00:00,2020-07-01 03:00:00,0.0,2245.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1490
2020-07-01T05:00:00-03:00,JIUHQJ,Q,2,2020-07-01T02:00:00,2020-07-01 02:00:00,0.0,2372.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1489
2020-07-01T05:00:00-03:00,JIUHQJ,Q,4,2020-07-01T00:00:00,2020-06-30 23:59:00,60.0,2275.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,39587
2020-07-01T05:00:00-03:00,JIUHQJ,Q,8,2020-06-30T20:00:00,2020-06-30 20:00:00,0.0,1670.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,39583
2020-07-01T05:00:00-03:00,JIUHQJ,I,0,2020-07-01T04:00:00,2020-07-01 04:00:00,0.0,1965.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1491
2020-07-01T05:00:00-03:00,JIUHMC,Q,0,2020-07-01T04:00:00,2020-07-01 04:00:00,0.0,1947.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,747
2020-07-01T05:00:00-03:00,JIUHMC,Q,1,2020-07-01T03:00:00,2020-07-01 03:00:00,0.0,1977.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,746
