phase,subset,family,lead_h,n,mae_m3_s,bias_m3_s,rmse_m3_s,p90_absolute_m3_s,p98_absolute_m3_s,max_absolute_m3_s
validation,high_flow,without_monte,5,28,202.62357923229015,-34.50314570301765,237.45089196675116,350.07007961851616,442.21354769474465,459.8934667325407
validation,high_flow,without_monte,6,28,246.37597433669822,-27.951505377449422,290.92219042769244,493.3839283149071,521.6767994851608,536.1533411430572
validation,high_flow,without_monte,7,28,271.6536946745618,5.686560471159721,321.5588833830402,525.1020954481038,648.6992675863307,649.8537388858103
validation,high_flow,without_monte,8,28,326.7624787066414,29.055847922637636,376.74736179331734,567.114676118158,759.2607379849123,805.630352115581
validation,high_flow,without_monte,9,28,393.6099084789313,95.80754310609261,463.02925587963034,727.4249705939022,911.9789686627206,977.0448569788396
validation,high_flow,without_monte,10,28,478.9376412807428,157.28331044837617,574.8930364325687,933.9523200123518,1029.9107266716383,1045.5203194530131
validation,high_flow,without_monte,11,28,577.8880234729525,233.16803089312342,693.3605438861658,1090.8948893382958,1225.0391755491582,1234.8860965583563
test,all,level_and_slopes,0,1968,42.48410282685358,4.5453037958941565,95.86756978654721,114.8596565014965,264.61379135571616,1523.6076148146713
test,all,level_and_slopes,1,1967,75.06234472550031,11.210253130535044,182.08293216608706,204.87646323138372,301.6116449203553,3318.9113211568038
test,all,level_and_slopes,2,1966,100.11850664597756,18.217100000257908,255.7711943561616,238.3454164957761,339.99071165127964,4974.78676699494
test,all,level_and_slopes,3,1965,119.39232071539182,23.678363810179068,318.0079612381094,253.70259677829654,372.5830489499916,6252.761972639042
test,all,level_and_slopes,4,1964,132.21360630967308,28.230788760361357,339.8951530654464,259.8140645961524,434.8126242657967,6263.526788935249
test,all,level_and_slopes,5,1963,142.95815257997202,31.53174230185826,364.0544617514022,267.7565216809251,496.35071811504156,6992.49466895593
test,all,level_and_slopes,6,1962,152.18779693354395,33.641187682604354,383.0162932036066,270.99286244014104,576.7136023963449,6629.034737206933
test,all,level_and_slopes,7,1961,164.02947536205133,34.749537016949056,422.3549530262636,283.5442741320512,660.3367555020318,7042.648750530315
test,all,level_and_slopes,8,1960,176.66396616251455,34.50914096385976,460.56794221087574,293.8210771519533,703.6643895008863,7285.60583848516
test,all,level_and_slopes,9,1959,188.51439374762,33.53286575788844,489.3740984739145,307.47095708375576,881.6247192200501,7732.903594347952
test,all,level_and_slopes,10,1958,200.63648319571848,31.50292021793916,513.1482050877675,323.66086071054707,1092.221750054414,7626.503207725082
test,all,level_and_slopes,11,1957,215.04343731293793,29.19047832591828,551.1810558713926,344.2693626676173,1281.6645967764694,8160.6119795777795
test,all,without_monte,0,1968,40.73328212232202,3.6367464435569583,80.79438294917155,118.30418879528396,266.61772874297367,857.333358143545
test,all,without_monte,1,1967,70.84569580986609,8.218670056639988,117.90346715099435,208.8853619584986,314.44948826401475,967.6249071353027
test,all,without_monte,2,1966,93.23062290838972,12.812516881352233,145.20369386076905,242.28617493659442,351.3936984436787,1273.3602330102685
test,all,without_monte,3,1965,109.73107458398275,16.481126631355377,169.58268263520918,253.35132339887429,398.38698951796755,1588.1622398762202
