phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,10,all,full_schedule,candidate,6542,6508,6468,40,5679,0.8780148423005566,0.2520837177469541,0.07566449530204768,0.9395335262609156,2.7570172046889994
validation,10,all,complete24,baseline,5912,5881,5881,0,5145,0.8748512157796293,0.2551022415628737,0.06884524325480014,0.982614021326379,2.5114634712742756
validation,10,all,complete24,candidate,5912,5881,5881,0,5210,0.8859037578643087,0.24476898752863377,0.07785276004111358,0.8953760303842204,2.7570172046889994
validation,10,all,missing24,baseline,630,627,587,40,455,0.7751277683134583,0.3269407407490373,0.06527755472403574,1.0469016268770277,1.6459093194862586
validation,10,all,missing24,candidate,630,627,587,40,469,0.7989778534923339,0.3253680932391885,0.053740841246772454,1.0594382184079039,1.807976199283441
validation,10,level_ge_7m,full_schedule,baseline,6542,28,28,0,13,0.4642857142857143,0.5234831654356826,0.030828355663570863,1.1274497188154362,1.2169765269328785
validation,10,level_ge_7m,full_schedule,candidate,6542,28,28,0,18,0.6428571428571429,0.44319997603221467,0.049350505299060786,1.0722502838642147,1.0934630854130685
validation,10,level_ge_7m,complete24,baseline,5912,28,28,0,13,0.4642857142857143,0.5234831654356826,0.030828355663570863,1.1274497188154362,1.2169765269328785
validation,10,level_ge_7m,complete24,candidate,5912,28,28,0,18,0.6428571428571429,0.44319997603221467,0.049350505299060786,1.0722502838642147,1.0934630854130685
validation,10,level_ge_7m,missing24,baseline,630,0,0,0,0,,,,,
validation,10,level_ge_7m,missing24,candidate,630,0,0,0,0,,,,,
validation,11,all,full_schedule,baseline,6541,6507,6468,39,5432,0.8398268398268398,0.28923738740362703,0.06768603583186113,1.0677215323666462,2.451025749991457
validation,11,all,full_schedule,candidate,6541,6507,6468,39,5558,0.8593073593073594,0.2763876212531028,0.06845551688879052,1.1260353696753496,2.6319416938205342
validation,11,all,complete24,baseline,5912,5882,5882,0,5008,0.8514110846650799,0.28172610099865025,0.06845941785820196,1.0560574060015915,2.451025749991457
validation,11,all,complete24,candidate,5912,5882,5882,0,5110,0.8687521251275077,0.26854591041884446,0.06870138781974951,1.0894347984003876,2.6319416938205342
validation,11,all,missing24,baseline,629,625,586,39,424,0.7235494880546075,0.3646322451409534,0.05992318074835133,1.1333764258529715,1.883670105271295
validation,11,all,missing24,candidate,629,625,586,39,448,0.764505119453925,0.3550991282959486,0.06598757692991551,1.2543447457825663,2.2091522651408066
validation,11,level_ge_7m,full_schedule,baseline,6541,28,28,0,12,0.42857142857142855,0.6766709467514349,0.10858901289517409,1.4069051578128573,1.4770741732591022
validation,11,level_ge_7m,full_schedule,candidate,6541,28,28,0,13,0.4642857142857143,0.6027818909780033,0.1198395396257588,1.3625717657053076,1.3714630021193006
validation,11,level_ge_7m,complete24,baseline,5912,28,28,0,12,0.42857142857142855,0.6766709467514349,0.10858901289517409,1.4069051578128573,1.4770741732591022
validation,11,level_ge_7m,complete24,candidate,5912,28,28,0,13,0.4642857142857143,0.6027818909780033,0.1198395396257588,1.3625717657053076,1.3714630021193006
