phase,profile,horizon_h,population,subset,compared_family,matching_control,observed_targets,pairs,failures,baseline_hits,compared_hits,hits_delta,baseline_mae_m,compared_mae_m,mae_m_delta,baseline_bias_m,compared_bias_m,bias_m_delta,baseline_p98_abs_m,compared_p98_abs_m,p98_abs_m_delta,baseline_max_abs_m,compared_max_abs_m,max_abs_m_delta
test,A,3,complete24,all,mixed_profile_candidate,profile_A_control,1346,1346,0,1337,1321,-16,0.06676184143982879,0.09353934393409843,0.026777502494269648,0.0008533600840207653,0.005249048832444129,0.004395688748423364,0.3472407943730499,0.40826632419709485,0.061025529824044966,0.9541938231108986,1.0753632970139049,0.12116947390300625
test,A,3,complete24,all,profile_B_control,profile_A_control,1346,1346,0,1337,1315,-22,0.06676184143982879,0.11894199675714617,0.05218015531731739,0.0008533600840207653,0.007555344036208855,0.0067019839521880896,0.3472407943730499,0.5225955024622742,0.17535470808922426,0.9541938231108986,1.1076891363066506,0.15349531319575194
test,A,3,complete24,level_ge_7m,mixed_profile_candidate,profile_A_control,142,142,0,136,135,-1,0.15419241973272838,0.1444212101017265,-0.009771209631001865,-0.009339708535082389,-0.010512252389214603,-0.0011725438541322145,0.7465230322859905,0.6473228658122127,-0.09920016647377783,0.9541938231108986,0.8009367996348562,-0.15325702347604242
test,A,3,complete24,level_ge_7m,profile_B_control,profile_A_control,142,142,0,136,136,0,0.15419241973272838,0.1476928718663916,-0.0064995478663367745,-0.009339708535082389,-0.003641382097772714,0.005698326437309675,0.7465230322859905,0.6821020741011882,-0.06442095818480231,0.9541938231108986,0.7451468353396038,-0.20904698777129482
test,A,3,missing24,all,mixed_profile_candidate,profile_A_control,596,587,9,559,548,-11,0.13862290520067225,0.15066004565034355,0.012037140449671302,-0.0233390548549982,0.0016334461323469335,0.02497250098734513,0.8135732498407686,0.9082153699331775,0.09464212009240891,3.8502978392165037,3.5417724438313964,-0.30852539538510726
test,A,3,missing24,all,profile_B_control,profile_A_control,596,587,9,559,536,-23,0.13862290520067225,0.17087123777127447,0.03224833257060222,-0.0233390548549982,-0.01279181226878141,0.010547242586216789,0.8135732498407686,0.9869612549858086,0.17338800514503994,3.8502978392165037,3.591469992707828,-0.25882784650867574
test,A,3,missing24,level_ge_7m,mixed_profile_candidate,profile_A_control,95,94,1,74,76,2,0.4028140698517237,0.36187333117005677,-0.04094073868166692,-0.1354212875766592,-0.10387847354974337,0.03154281402691582,3.183904606204276,2.9191550411005736,-0.2647495651037026,3.8502978392165037,3.5417724438313964,-0.30852539538510726
test,A,3,missing24,level_ge_7m,profile_B_control,profile_A_control,95,94,1,74,75,1,0.4028140698517237,0.3528088354810204,-0.05000523437070331,-0.1354212875766592,-0.11887551943786133,0.016545768138797864,3.183904606204276,2.935300043269788,-0.24860456293448818,3.8502978392165037,3.591469992707828,-0.25882784650867574
test,A,4,full_schedule,all,mixed_profile_candidate,profile_A_control,1941,1931,10,1878,1864,-14,0.11497979365427792,0.13045457157932483,0.01547477792504691,-0.0066789439994183655,-0.006074819548535502,0.0006041244508828633,0.6314555948257827,0.6623708958096728,0.03091530098389006,4.579107233006882,4.7455033562984505,0.16639612329156872
test,A,4,full_schedule,all,profile_B_control,profile_A_control,1941,1931,10,1878,1857,-21,0.11497979365427792,0.14274974733421603,0.027769953679938106,-0.0066789439994183655,-0.008595849826159976,-0.001916905826741611,0.6314555948257827,0.6845921962755657,0.05313660144978294,4.579107233006882,4.745916441945315,0.16680920893843343
