phase,family,horizon_h,original_n,added_n,n,weight_sum,weight1,weight3,weight5,features_sha256,deltas_sha256,weights_sha256,ordered_origins_sha256,initial_prediction,latest_training_target,cutoff_exclusive
test,original,10,10818,0,10818,13556,9549,1169,100,7e1d93b190d4ba1dbc16f6386014aee3769110193fd3ac502e6665080feee861,3a74d0608f3ac5958206d40a5691a7c4f25faa4ceb0b351fb7f3802f14fc5071,5022122cac0569588a3e1f2ddfc2d4f4b9d2066264b9723de9253bad36763d9e,0113766c9a3ef54035b58099af58807b864d2db4688177fd842b8d7ee9da4e3f,0.07961474623782824,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,10,10818,429,11247,14485,9796,1283,168,410d81d28d523fac86c4f9c33260b44951deed711cd3a459e9eae445f903f935,cd6aa7c495e234b291d0448dc6fb5e29c5ea022d3341bfc0d058064f756e2ebf,8e25b444eefe9eaf8a5613977645538e94d760d69be174b44b53d230fe1b4e7a,85035b14695c9991bee8ef474c7e2f1abe80523653a94b0c41e89dfe1cd8f421,0.07896427338626165,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,11,4349,0,4349,5927,3664,581,104,5af2e40c4e5290f4b8ccc70ce4afb8b609aa8eccdfdf5c9852219f0801b5f74a,1ebf7d642311667c1a15e2544dc76c86495fd799478345a72fea068ea678da9b,4cea0811ea4f953e2ac767c0ce73a91cd68168a60fa07c51589a3baf639bec38,7ccc8847c474ef519d0070ef8f0115988730df7234062b0e4779d5fdcf33c4d1,0.12437658174455879,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,11,4349,427,4776,6882,3893,713,170,66770b737bec6d2f48285411f4f4c9e294dbe0fff16406387c7fa7c9d417e5c1,ebd5c66e25266bee9e520a487bda3d1ba7673b0743f1e1d2a17dbd55ad82d3eb,655d7d4f8e7f7f934929b115d0f862ea0f04120b5becf0a7197a6b4451d67674,0d6ff23a4f78983c64291110a2c7c513e784be852ac597ab9c224e6bbc0e7b9c,0.11211130485324033,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,11,10817,0,10817,13701,9479,1234,104,b99ebade43d4eca0538863dd3fcba78c9c071a8577c7e2423a80bd9ee0a25903,a5296292704ee8689967ef019749f0587cc62cc8f1143efb623404f1785fd8f1,9b9ba5bee68a97fe98b7e87e96a007e6e70686c2a0ea61c2cc87b264d262f037,e07172da66a42ab245b3a313f3bbcfe066c5c9d31c8972825f998c7e9a9466b0,0.07328351945113494,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,11,10817,427,11244,14656,9708,1366,170,c810a0127689a075731a2045a6e71ea34bdc983eddcd8913f4c9886ab992c4a9,fa4c775b82c565ba2af587155fa8d6b90d1fb345a8b36679bedaa24d26ed7623,1d3d8e9e410a6cae4ba348c69f18c3c406b5f0c69e2791b36fc8b7ce922f67c4,fabf7b919441ca7b84ceecfff7eaf8e3916fc8da895f83332ef7aa01da46c6b4,0.07085340474890828,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,12,4348,0,4348,6004,3628,612,108,2e40b3463784a80fe5b385d8dd4e902bd6b74adda592b110a90fbaf48e6b7456,42e490666ec7501bea92c6f6a46c802cbba7c1a22301d9cc3d98212f7a09999f,96cf6647571df306d5d153cdae4c8bd292e1ef3facdd814442307ad4336df9ad,2fd97c0d6e2cd50b15e0e5e6964c9ce39c64e56421f81ac40ce86144373bc604,0.1226865423051299,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,12,4348,426,4774,6996,3837,763,174,abbae27ecf56b960c7218165c4ac3086b060c901acc66a19c3d204f806f69058,8fcee8f35d8ea870e5792da818276894027f713380a9e33e723ac0af92bfa45a,eb12f097536a37e0504dc82041534b6af8e247ccfd454381df7dd37e4acd830c,d35fdbce5d31f3a073abc3c873d6ad5b4e33a48ca840a1e55bf08e5c46ca462d,0.10471269296740994,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,12,10814,0,10814,13812,9423,1283,108,b85167d2b151d97f0862a313e4d46af64578ad9dc06c64ab8e56b077ed34d5be,f063ba76db39c9f4ef88848204910147e29f3d9abaf1fc37be2c81aec6ad151b,cf36cf6f511c2ff4089ba202f743948ea1768f9efe5ade9f9bbd5e6fb09ec9c3,53d710d4b20cf26988e519ba24de3ef8a69ba6a010a037affc8e7e3b683a83fa,0.06541177961193165,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,12,10814,426,11240,14804,9632,1434,174,ce63b1098903857ba3ad924f6bef18ca747f4d0704ea7c94a4a4fd7ecc5557dc,dd39df5238bff8757589c0cbd5b2ef5da5cc6514a0376fb04cfb3832777f14e3,f95b68d6ff285fd5e7e6d6ef4fdaa03e372f65a9fccb3498be40339e67b6726d,c9990a22dcd62b99629d2c597fa5a46fe582a8e56f439eff8d37909b948e1f9d,0.06075570791677924,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
