dataset,period,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
original,validation,5,complete24,all,raw_original,5912,29,5883,5883,0,5837,0.9921808601053884,0.9921808601053884,0.06794901057723474,0.0077014233809033755,0.3476726057691846,1.9219038154095536
original,validation,5,complete24,all,raw_plus2020,5912,29,5883,5883,0,5816,0.9886112527621962,0.9886112527621962,0.07609698992660811,0.005653367954541869,0.3840650487164163,1.9107186321302958
original,validation,5,complete24,all,normalized_original,5912,29,5883,5883,0,5836,0.9920108788033316,0.9920108788033316,0.06758584494001721,0.0068170944907133746,0.3415713520899117,1.959106180173876
original,validation,5,complete24,all,normalized_plus2020,5912,29,5883,5883,0,5812,0.9879313275539691,0.9879313275539691,0.07565128868048455,0.01050855575575759,0.3851308529857579,1.7234116789280183
original,validation,5,complete24,level_ge_7m,raw_original,5912,29,28,28,0,25,0.8928571428571429,0.8928571428571429,0.2291228510791504,0.009423592718073819,0.7287224414582616,0.7553061347974745
original,validation,5,complete24,level_ge_7m,raw_plus2020,5912,29,28,28,0,25,0.8928571428571429,0.8928571428571429,0.2355024601811717,0.11675886546164316,0.7730412775641098,0.8954256355647745
original,validation,5,complete24,level_ge_7m,normalized_original,5912,29,28,28,0,25,0.8928571428571429,0.8928571428571429,0.22278906449722471,0.02131096291073664,0.6937225000239702,0.7475557409284077
original,validation,5,complete24,level_ge_7m,normalized_plus2020,5912,29,28,28,0,24,0.8571428571428571,0.8571428571428571,0.29526451403200404,0.15335227536572008,0.6814175045179602,0.7302356207783385
original,validation,5,missing24,all,raw_original,635,5,630,590,40,545,0.923728813559322,0.8650793650793651,0.180462215014768,0.08424876721932674,0.7453921331758218,1.2266591094999009
original,validation,5,missing24,all,raw_plus2020,635,5,630,590,40,540,0.9152542372881356,0.8571428571428571,0.2143908287433139,-0.07777059767925709,1.368476413791877,2.135641354700273
original,validation,5,missing24,all,normalized_original,635,5,630,590,40,546,0.9254237288135593,0.8666666666666667,0.1766062155724201,0.07667221437784083,0.7519901564211099,1.2552903644876805
original,validation,5,missing24,all,normalized_plus2020,635,5,630,590,40,537,0.9101694915254237,0.8523809523809524,0.22043954201002658,-0.08642056470889697,1.4030954962881532,2.1155263286953767
original,validation,5,missing24,level_ge_7m,raw_original,635,5,0,0,0,0,,,,,,
original,validation,5,missing24,level_ge_7m,raw_plus2020,635,5,0,0,0,0,,,,,,
original,validation,5,missing24,level_ge_7m,normalized_original,635,5,0,0,0,0,,,,,,
original,validation,5,missing24,level_ge_7m,normalized_plus2020,635,5,0,0,0,0,,,,,,
original,validation,6,full_schedule,all,raw_original,6546,34,6512,6472,40,6322,0.9768232385661311,0.9708230958230958,0.09959606968428815,0.015818056626594208,0.521216742955346,2.0157117770796145
original,validation,6,full_schedule,all,raw_plus2020,6546,34,6512,6472,40,6269,0.9686341161928307,0.9626842751842751,0.10491230785389716,0.008202123752471452,0.5896514711595945,2.261363637376
original,validation,6,full_schedule,all,normalized_original,6546,34,6512,6472,40,6330,0.9780593325092707,0.972051597051597,0.09958388259262083,0.018186731312838964,0.5205508570803553,1.9510723701301718
original,validation,6,full_schedule,all,normalized_plus2020,6546,34,6512,6472,40,6281,0.9704882571075402,0.964527027027027,0.10470686928458256,0.003955848276123118,0.5803110326730042,2.1742000294398567
original,validation,6,full_schedule,level_ge_7m,raw_original,6546,34,28,28,0,24,0.8571428571428571,0.8571428571428571,0.2587119452642057,-0.04575799295960744,0.894448299163738,1.0962896884715265
original,validation,6,full_schedule,level_ge_7m,raw_plus2020,6546,34,28,28,0,21,0.75,0.75,0.3550741139148806,0.2457170568496924,1.047826571049586,1.386024455608342
original,validation,6,full_schedule,level_ge_7m,normalized_original,6546,34,28,28,0,23,0.8214285714285714,0.8214285714285714,0.2542991455371077,-0.014499424240466765,0.8742432895145562,1.086237371195586
