phase,profile,horizon_h,population,subset,reference,relation,observed_targets,pairs,failures,reference_hits,weighted_hits,hits_delta,reference_mae_m,weighted_mae_m,mae_m_delta,reference_bias_m,weighted_bias_m,bias_m_delta,reference_p98_abs_m,weighted_p98_abs_m,p98_abs_m_delta,reference_max_abs_m,weighted_max_abs_m,max_abs_m_delta
validation,B,5,full_schedule,all,profile_A_control,cross_profile,6513,6483,30,6339,6388,49,0.09366179905120743,0.0825509340492571,-0.011110865001950326,-0.006606696648527816,-0.0019146071732859353,0.0046920894752418806,0.5195779990423175,0.4332681686684405,-0.08630983037387702,1.5037302731448081,1.3907844796354123,-0.11294579350939582
validation,B,5,full_schedule,all,profile_B_control,matching_profile,6513,6483,30,6397,6388,-9,0.08327613012956056,0.0825509340492571,-0.0007251960803034557,0.0038214904432059176,-0.0019146071732859353,-0.005736097616491853,0.4270172194102993,0.4332681686684405,0.006250949258141181,1.331690111386059,1.3907844796354123,0.05909436824935321
validation,B,5,full_schedule,level_ge_7m,mixed_profile_candidate,primary_weight_9m,28,28,0,23,26,3,0.27542112344877456,0.2945244332819136,0.019103309833139015,-0.022306526914723155,-0.027091511289443964,-0.004784984374720809,0.8378169564934776,0.9334383495147891,0.09562139302131145,1.060013319538986,1.1314676158915784,0.07145429635259237
validation,B,5,full_schedule,level_ge_7m,profile_A_control,cross_profile,28,28,0,22,26,4,0.3419504664935789,0.2945244332819136,-0.04742603321166533,0.0025341354571101044,-0.027091511289443964,-0.029625646746554067,1.228176469462218,0.9334383495147891,-0.2947381199474288,1.4034081261171867,1.1314676158915784,-0.2719405102256083
validation,B,5,full_schedule,level_ge_7m,profile_B_control,matching_profile,28,28,0,22,26,4,0.27534792982512496,0.2945244332819136,0.01917650345678862,0.022703041383616833,-0.027091511289443964,-0.04979455267306079,0.6328351779910898,0.9334383495147891,0.3006031715236993,0.6619228134997979,1.1314676158915784,0.46954480239178054
validation,B,5,complete24,all,mixed_profile_candidate,primary_weight_9m,5906,5906,0,5862,5854,-8,0.07551278237230785,0.07551723409231723,4.451720009374105e-06,-0.005972026915919613,-0.004423183705350936,0.0015488432105686765,0.3464735278281854,0.3596591177113501,0.013185589883164706,1.3031433360143039,1.2351989358172553,-0.06794440019704862
validation,B,5,complete24,all,profile_A_control,cross_profile,5906,5906,0,5818,5854,36,0.08610191061226906,0.07551723409231723,-0.010584676519951833,-0.00767973095080113,-0.004423183705350936,0.0032565472454501934,0.44550345078575226,0.3596591177113501,-0.08584433307440215,1.5037302731448081,1.2351989358172553,-0.26853133732755285
validation,B,5,complete24,all,profile_B_control,matching_profile,5906,5906,0,5865,5854,-11,0.07609453389032082,0.07551723409231723,-0.0005772997980035971,0.0006089585726034781,-0.004423183705350936,-0.0050321422779544146,0.3669889061921057,0.3596591177113501,-0.007329788480755606,1.2826742103863698,1.2351989358172553,-0.04747527456911449
validation,B,5,complete24,level_ge_7m,mixed_profile_candidate,primary_weight_9m,28,28,0,23,26,3,0.27542112344877456,0.2945244332819136,0.019103309833139015,-0.022306526914723155,-0.027091511289443964,-0.004784984374720809,0.8378169564934776,0.9334383495147891,0.09562139302131145,1.060013319538986,1.1314676158915784,0.07145429635259237
validation,B,5,complete24,level_ge_7m,profile_A_control,cross_profile,28,28,0,22,26,4,0.3419504664935789,0.2945244332819136,-0.04742603321166533,0.0025341354571101044,-0.027091511289443964,-0.029625646746554067,1.228176469462218,0.9334383495147891,-0.2947381199474288,1.4034081261171867,1.1314676158915784,-0.2719405102256083
validation,B,5,complete24,level_ge_7m,profile_B_control,matching_profile,28,28,0,22,26,4,0.27534792982512496,0.2945244332819136,0.01917650345678862,0.022703041383616833,-0.027091511289443964,-0.04979455267306079,0.6328351779910898,0.9334383495147891,0.3006031715236993,0.6619228134997979,1.1314676158915784,0.46954480239178054
