phase,profile,horizon_h,family,observed_level_band,scheduled_rows,unknown_truth,observed_targets,pairs,failures,hits,sum_abs_error_m,mae_m,bias_m,max_abs_m
test,A,5,flood_weight_7m,unknown,23,23,0,0,0,0,0.0,,,
test,A,6,profile_A_control,below_7m,1702,0,1702,1691,11,1610,248.55857077555015,0.14698910158222955,-0.00884207015211733,1.708106261884958
test,A,6,profile_A_control,7_to_9m,120,0,120,120,0,108,34.717614088052215,0.28931345073376846,-0.07330636157703421,3.1454685709843035
test,A,6,profile_A_control,ge_9m,117,0,117,116,1,54,109.93534264198318,0.9477184710515791,-0.23725053068609223,6.383213756919677
test,A,6,profile_A_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,6,profile_B_control,below_7m,1702,0,1702,1691,11,1594,274.48793244283945,0.16232284591533971,-0.020751429012334784,1.5634541136493052
test,A,6,profile_B_control,7_to_9m,120,0,120,120,0,100,36.12232168722017,0.30101934739350145,-0.07549841884649024,3.2136368552305896
test,A,6,profile_B_control,ge_9m,117,0,117,116,1,58,107.98451743714728,0.9309010123892006,-0.26352274753390237,6.489096647827269
test,A,6,profile_B_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,6,mixed_profile_candidate,below_7m,1702,0,1702,1691,11,1610,258.5876425789846,0.1529199542158395,-0.004133500832359453,1.3671117801707444
test,A,6,mixed_profile_candidate,7_to_9m,120,0,120,120,0,111,35.03921750841988,0.29199347923683233,-0.053283639257613584,3.2171729836046667
test,A,6,mixed_profile_candidate,ge_9m,117,0,117,116,1,59,107.05892714496517,0.9229217857324583,-0.29796476866142996,6.299646491687942
test,A,6,mixed_profile_candidate,unknown,23,23,0,0,0,0,0.0,,,
test,A,6,flood_weight_7m,below_7m,1702,0,1702,1691,11,1607,265.5746623655925,0.15705184054736396,-0.0036563889731278903,1.615774608322221
test,A,6,flood_weight_7m,7_to_9m,120,0,120,120,0,107,33.423803080802315,0.2785316923400193,-0.06036753969549905,3.4297928924702727
test,A,6,flood_weight_7m,ge_9m,117,0,117,116,1,59,109.71840846496505,0.9458483488359056,-0.3231363642914431,6.307829811694162
test,A,6,flood_weight_7m,unknown,23,23,0,0,0,0,0.0,,,
test,A,7,profile_A_control,below_7m,1701,0,1701,1689,12,1559,331.7480228200965,0.19641682819425488,-0.0073353862677364235,1.5197460007217627
test,A,7,profile_A_control,7_to_9m,120,0,120,120,0,92,40.68478161046332,0.339039846753861,-0.05804749087419305,2.332452590392479
test,A,7,profile_A_control,ge_9m,117,0,117,116,1,53,112.87739952831704,0.9730810304165263,-0.004598200938826768,5.0700479704763755
test,A,7,profile_A_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,7,profile_B_control,below_7m,1701,0,1701,1689,12,1557,339.7837666006328,0.20117452137396852,-0.02785426757485997,1.39919564668544
test,A,7,profile_B_control,7_to_9m,120,0,120,120,0,88,42.166119438432304,0.35138432865360253,-0.08720375589431034,1.815787629029539
test,A,7,profile_B_control,ge_9m,117,0,117,116,1,48,114.9561017929772,0.9910008775256655,-0.02202162606438288,5.056457293860946
test,A,7,profile_B_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,7,mixed_profile_candidate,below_7m,1701,0,1701,1689,12,1560,331.9765133886639,0.1965521097623824,-0.01453418318243511,1.424732053131414
test,A,7,mixed_profile_candidate,7_to_9m,120,0,120,120,0,84,43.198387272683604,0.3599865606056967,-0.12397084119394856,2.0289519034996415
test,A,7,mixed_profile_candidate,ge_9m,117,0,117,116,1,46,115.27186730604069,0.9937229940175921,-0.04191666673211342,5.194583557487675
test,A,7,mixed_profile_candidate,unknown,23,23,0,0,0,0,0.0,,,
test,A,7,flood_weight_7m,below_7m,1701,0,1701,1689,12,1565,332.84769988108695,0.19706790993551626,-0.01738749274427072,1.4456318401679442
test,A,7,flood_weight_7m,7_to_9m,120,0,120,120,0,89,40.7355462435823,0.3394628853631858,-0.13919531680823596,1.9344074340538544
test,A,7,flood_weight_7m,ge_9m,117,0,117,116,1,50,113.58407701746778,0.9791730777367912,-0.06625561537010936,5.2001690652478025
test,A,7,flood_weight_7m,unknown,23,23,0,0,0,0,0.0,,,
test,A,8,profile_A_control,below_7m,1700,0,1700,1687,13,1494,411.4640896457272,0.24390283914980865,-0.011936827418524639,1.850784929409326
test,A,8,profile_A_control,7_to_9m,120,0,120,120,0,85,46.23047790360987,0.3852539825300822,-0.14114834245296867,3.1882135976263033
