phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,8,all,missing24,observed_control,632,628,588,40,492,0.8367346938775511,0.7834394904458599,0.274346641913308,0.08169220671582561,1.1132679089908313,1.6334763345769154
validation,8,all,missing24,augmented,632,628,588,40,488,0.8299319727891157,0.7770700636942676,0.28094929200139,0.06998272203825814,1.2156166419130592,2.959772619711451
validation,8,level_ge_7m,full_schedule,observed_control,6544,28,28,0,20,0.7142857142857143,0.7142857142857143,0.4882291267479996,0.34922148163674116,2.4609671216876006,2.5050304061770072
validation,8,level_ge_7m,full_schedule,augmented,6544,28,28,0,11,0.39285714285714285,0.39285714285714285,0.8295587643236738,0.7911654533875306,2.8113464732443676,3.2509934262678986
validation,8,level_ge_7m,complete24,observed_control,5912,28,28,0,20,0.7142857142857143,0.7142857142857143,0.4882291267479996,0.34922148163674116,2.4609671216876006,2.5050304061770072
validation,8,level_ge_7m,complete24,augmented,5912,28,28,0,11,0.39285714285714285,0.39285714285714285,0.8295587643236738,0.7911654533875306,2.8113464732443676,3.2509934262678986
validation,8,level_ge_7m,missing24,observed_control,632,0,0,0,0,,,,,,
validation,8,level_ge_7m,missing24,augmented,632,0,0,0,0,,,,,,
validation,9,all,full_schedule,observed_control,6543,6509,6470,39,5862,0.9060278207109738,0.9005991703794746,0.20975928763948337,0.0968513378323692,0.9493061748169647,3.5173872091375897
validation,9,all,full_schedule,augmented,6543,6509,6470,39,5804,0.897063369397218,0.8916884314026732,0.23618694648891186,0.10924629472669349,1.637783359335511,4.71597637784684
validation,9,all,complete24,observed_control,5912,5883,5883,0,5395,0.9170491245962944,0.9170491245962944,0.19830282013669204,0.09168644836336785,0.8676598035546202,3.5173872091375897
validation,9,all,complete24,augmented,5912,5883,5883,0,5335,0.906850246472888,0.906850246472888,0.22669600696451536,0.11183276591549603,1.6445484047870493,4.71597637784684
validation,9,all,missing24,observed_control,631,626,587,39,467,0.7955706984667802,0.7460063897763578,0.32457768341277304,0.14861461678660254,1.2432749814772845,1.956957320537746
validation,9,all,missing24,augmented,631,626,587,39,469,0.7989778534923339,0.7492012779552716,0.33130653289781253,0.0833243015346573,1.2684153693187594,4.229810074748349
validation,9,level_ge_7m,full_schedule,observed_control,6543,28,28,0,17,0.6071428571428571,0.6071428571428571,0.6095633629892163,0.45822141749499146,2.059747594337603,2.1405087524778477
validation,9,level_ge_7m,full_schedule,augmented,6543,28,28,0,8,0.2857142857142857,0.2857142857142857,1.043688735421457,0.9589967065276837,2.941446689611916,3.0095583032725717
validation,9,level_ge_7m,complete24,observed_control,5912,28,28,0,17,0.6071428571428571,0.6071428571428571,0.6095633629892163,0.45822141749499146,2.059747594337603,2.1405087524778477
validation,9,level_ge_7m,complete24,augmented,5912,28,28,0,8,0.2857142857142857,0.2857142857142857,1.043688735421457,0.9589967065276837,2.941446689611916,3.0095583032725717
validation,9,level_ge_7m,missing24,observed_control,631,0,0,0,0,,,,,,
validation,9,level_ge_7m,missing24,augmented,631,0,0,0,0,,,,,,
validation,10,all,full_schedule,observed_control,6542,6508,6468,40,5604,0.8664192949907236,0.8610940381069453,0.2647682161240813,0.10887774402637874,1.0635666059005755,3.441071344514551
validation,10,all,full_schedule,augmented,6542,6508,6468,40,5560,0.8596165739022882,0.8543331284572834,0.28968814142395893,0.10213553159541092,1.492882638552312,3.787931090205899
validation,10,all,complete24,observed_control,5912,5881,5881,0,5175,0.8799523890494814,0.8799523890494814,0.25411992278393764,0.10137152735858379,0.9922304166187986,3.441071344514551
validation,10,all,complete24,augmented,5912,5881,5881,0,5114,0.8695800034007822,0.8695800034007822,0.2806396376706861,0.10268912141533142,1.4852856678257578,3.787931090205899
validation,10,all,missing24,observed_control,630,627,587,40,429,0.7308347529812607,0.6842105263157895,0.3714506916494385,0.1840805723454625,1.3276339108147426,2.5248999812959902
validation,10,all,missing24,augmented,630,627,587,40,446,0.7597955706984668,0.7113237639553429,0.38034274205938906,0.0965892594813523,1.5776056974598456,3.552655846132455
validation,10,level_ge_7m,full_schedule,observed_control,6542,28,28,0,11,0.39285714285714285,0.39285714285714285,0.7637956998438623,0.659964362486402,1.639679570538911,1.6643311821088886
validation,10,level_ge_7m,full_schedule,augmented,6542,28,28,0,6,0.21428571428571427,0.21428571428571427,1.1849955141491897,1.0314401306849017,3.207733481774102,3.2633612073333236
validation,10,level_ge_7m,complete24,observed_control,5912,28,28,0,11,0.39285714285714285,0.39285714285714285,0.7637956998438623,0.659964362486402,1.639679570538911,1.6643311821088886
validation,10,level_ge_7m,complete24,augmented,5912,28,28,0,6,0.21428571428571427,0.21428571428571427,1.1849955141491897,1.0314401306849017,3.207733481774102,3.2633612073333236
validation,10,level_ge_7m,missing24,observed_control,630,0,0,0,0,,,,,,
validation,10,level_ge_7m,missing24,augmented,630,0,0,0,0,,,,,,
validation,11,all,full_schedule,observed_control,6541,6507,6468,39,5352,0.8274582560296846,0.8224988473951129,0.3066261661079817,0.11491541569817183,1.241458802231562,3.9782715851312767
validation,11,all,full_schedule,augmented,6541,6507,6468,39,5401,0.8350340136054422,0.8300291993238051,0.31642191527720065,0.10748694580790118,1.6007433941466265,3.933447309040913
validation,11,all,complete24,observed_control,5912,5882,5882,0,4941,0.8400204012240734,0.8400204012240734,0.2954192516113556,0.10516865267842282,1.1899902207773405,3.2312729809688054
validation,11,all,complete24,augmented,5912,5882,5882,0,4981,0.846820809248555,0.846820809248555,0.3068552114285937,0.10965628349019713,1.6003347590722738,3.933447309040913
validation,11,all,missing24,observed_control,629,625,586,39,411,0.7013651877133106,0.6576,0.41911604847855294,0.21274896532643794,1.5642171053056644,3.9782715851312767
validation,11,all,missing24,augmented,629,625,586,39,420,0.7167235494880546,0.672,0.41244811329342346,0.08571212627331959,1.6468667384095599,3.5862520913091354
validation,11,level_ge_7m,full_schedule,observed_control,6541,28,28,0,9,0.32142857142857145,0.32142857142857145,0.913230549267538,0.6934932305653457,2.2734377675153006,2.3488613754696814
validation,11,level_ge_7m,full_schedule,augmented,6541,28,28,0,5,0.17857142857142858,0.17857142857142858,1.2371151109817446,1.1518277583824013,3.2261691529371244,3.3284713606072653
validation,11,level_ge_7m,complete24,observed_control,5912,28,28,0,9,0.32142857142857145,0.32142857142857145,0.913230549267538,0.6934932305653457,2.2734377675153006,2.3488613754696814
validation,11,level_ge_7m,complete24,augmented,5912,28,28,0,5,0.17857142857142858,0.17857142857142858,1.2371151109817446,1.1518277583824013,3.2261691529371244,3.3284713606072653
validation,11,level_ge_7m,missing24,observed_control,629,0,0,0,0,,,,,,
validation,11,level_ge_7m,missing24,augmented,629,0,0,0,0,,,,,,
validation,12,all,full_schedule,observed_control,6540,6506,6466,40,5249,0.8117847200742344,0.8067937288656625,0.3268582657649666,0.11963700648451894,1.370846424054081,3.717391928882293
validation,12,all,full_schedule,augmented,6540,6506,6466,40,5247,0.8114754098360656,0.8064863203197049,0.3349695607210933,0.127594547448027,1.5830856004008935,4.034788384474123
validation,12,all,complete24,observed_control,5912,5879,5879,0,4843,0.8237795543459772,0.8237795543459772,0.3167512178798855,0.11510837400226699,1.2864206271699814,3.717391928882293
validation,12,all,complete24,augmented,5912,5879,5879,0,4844,0.8239496513012418,0.8239496513012418,0.3268867185471968,0.12917560167906159,1.5776643195119409,4.034788384474123
validation,12,all,missing24,observed_control,628,627,587,40,406,0.6916524701873935,0.6475279106858054,0.4280837078712551,0.16499276519518222,1.7489608022094945,3.079960103438171
validation,12,all,missing24,augmented,628,627,587,40,403,0.686541737649063,0.6427432216905901,0.41592191019355873,0.11175976410177106,1.6133364434438446,3.7723314141451008
validation,12,level_ge_7m,full_schedule,observed_control,6540,28,28,0,7,0.25,0.25,0.9084925009708122,0.637657899731453,2.572327723114171,2.619470094800553
validation,12,level_ge_7m,full_schedule,augmented,6540,28,28,0,3,0.10714285714285714,0.10714285714285714,1.2107436311199176,1.1022024054680128,2.833650510940498,2.906818966046039
validation,12,level_ge_7m,complete24,observed_control,5912,28,28,0,7,0.25,0.25,0.9084925009708122,0.637657899731453,2.572327723114171,2.619470094800553
validation,12,level_ge_7m,complete24,augmented,5912,28,28,0,3,0.10714285714285714,0.10714285714285714,1.2107436311199176,1.1022024054680128,2.833650510940498,2.906818966046039
validation,12,level_ge_7m,missing24,observed_control,628,0,0,0,0,,,,,,
validation,12,level_ge_7m,missing24,augmented,628,0,0,0,0,,,,,,
test,1,all,full_schedule,observed_control,1967,1944,1939,5,1932,0.9963898916967509,0.9938271604938271,0.03417566632254777,-0.00037019778640203215,0.18807584936837288,1.284834339803509
test,1,all,full_schedule,augmented,1967,1944,1939,5,1932,0.9963898916967509,0.9938271604938271,0.03962669665085012,0.008940927159089236,0.22146831425713473,0.7767047671414353
test,1,all,complete24,observed_control,1353,1350,1350,0,1350,1.0,1.0,0.028796905814397884,0.0009979671407739552,0.16400253994252656,0.4615443702601105
test,1,all,complete24,augmented,1353,1350,1350,0,1350,1.0,1.0,0.03219651663707554,0.003982987833441039,0.1727273621533086,0.4608519644115576
test,1,all,missing24,observed_control,614,594,589,5,582,0.9881154499151104,0.9797979797979798,0.046503894991482136,-0.0035060596738172834,0.25484412471888784,1.284834339803509
test,1,all,missing24,augmented,614,594,589,5,582,0.9881154499151104,0.9797979797979798,0.05665682062130119,0.020304625104123303,0.35242828820043015,0.7767047671414353
test,1,level_ge_7m,full_schedule,observed_control,1967,237,236,1,230,0.9745762711864406,0.9704641350210971,0.07747194053705365,-0.006832008882132252,0.5787276663094516,1.284834339803509
test,1,level_ge_7m,full_schedule,augmented,1967,237,236,1,229,0.9703389830508474,0.9662447257383966,0.1005669746563972,0.049039876911184985,0.5543740098056733,0.7767047671414353
test,1,level_ge_7m,complete24,observed_control,1353,144,144,0,144,1.0,1.0,0.050459349309773,0.0008971132753594377,0.22944491102812148,0.3603095106937886
test,1,level_ge_7m,complete24,augmented,1353,144,144,0,144,1.0,1.0,0.068770963819227,0.019959761409239614,0.2560777631137786,0.3149626052210692
test,1,level_ge_7m,missing24,observed_control,614,93,92,1,86,0.9347826086956522,0.9247311827956989,0.11975251811018861,-0.018929765302554028,0.9950525636857123,1.284834339803509
test,1,level_ge_7m,missing24,augmented,614,93,92,1,85,0.9239130434782609,0.9139784946236559,0.1503346437928375,0.09455657943596905,0.6068364118735671,0.7767047671414353
test,2,all,full_schedule,observed_control,1966,1943,1936,7,1916,0.9896694214876033,0.9861039629439012,0.06050415557115221,0.003778606149644099,0.3410080390290465,2.4854087637465963
test,2,all,full_schedule,augmented,1966,1943,1936,7,1894,0.9783057851239669,0.9747812660833762,0.07062698347139915,0.023439673940224826,0.5539337990852558,1.180271860918749
test,2,all,complete24,observed_control,1352,1348,1348,0,1343,0.9962908011869436,0.9962908011869436,0.050230393307000035,0.005540282128065949,0.26213798257547516,0.6421022110865842
test,2,all,complete24,augmented,1352,1348,1348,0,1337,0.9918397626112759,0.9918397626112759,0.054833014274382696,0.009425460600821015,0.3086309007423242,0.8051584637439291
test,2,all,missing24,observed_control,614,595,588,7,573,0.9744897959183674,0.9630252100840336,0.08405693028556914,-0.0002600659913638151,0.5831583766529707,2.4854087637465963
test,2,all,missing24,augmented,614,595,588,7,557,0.9472789115646258,0.9361344537815126,0.1068349264604777,0.05556749635776962,0.8083698130016231,1.180271860918749
test,2,level_ge_7m,full_schedule,observed_control,1966,237,236,1,225,0.9533898305084746,0.9493670886075949,0.14574519761403643,-0.014030602356920153,0.7202350736513357,2.4854087637465963
test,2,level_ge_7m,full_schedule,augmented,1966,237,236,1,209,0.885593220338983,0.8818565400843882,0.1942674664317734,0.09251579049949654,0.9001070977310524,1.095393969852375
test,2,level_ge_7m,complete24,observed_control,1352,143,143,0,141,0.986013986013986,0.986013986013986,0.09890129071848962,0.00932233563299088,0.45435700357921155,0.6421022110865842
test,2,level_ge_7m,complete24,augmented,1352,143,143,0,134,0.9370629370629371,0.9370629370629371,0.13905174321230898,0.03999981063934141,0.667823656757192,0.8051584637439291
test,2,level_ge_7m,missing24,observed_control,614,94,93,1,84,0.9032258064516129,0.8936170212765957,0.2177740006899847,-0.049938883352159694,1.8580768137146602,2.4854087637465963
test,2,level_ge_7m,missing24,augmented,614,94,93,1,75,0.8064516129032258,0.7978723404255319,0.27916906234987454,0.17326616813392862,0.9740877889323171,1.095393969852375
test,3,all,full_schedule,observed_control,1965,1942,1933,9,1892,0.9787894464562855,0.9742533470648815,0.08569916437714672,-0.0036249483546946485,0.5128291638015096,3.5268719363183774
test,3,all,full_schedule,augmented,1965,1942,1933,9,1900,0.9829280910501811,0.9783728115345005,0.08468093648928796,0.0013839169069072101,0.46489929262343477,3.087788358226053
test,3,all,complete24,observed_control,1351,1346,1346,0,1332,0.9895988112927192,0.9895988112927192,0.06737020692482651,0.0009264525702016789,0.36924670610294175,0.7989318288299483
test,3,all,complete24,augmented,1351,1346,1346,0,1334,0.9910846953937593,0.9910846953937593,0.06823290496035951,0.0015134190399946979,0.37034190119019444,0.9716485749693957
test,3,all,missing24,observed_control,614,596,587,9,560,0.9540034071550255,0.9395973154362416,0.12772774483851473,-0.014061380458460336,0.7771375948044326,3.5268719363183774
test,3,all,missing24,augmented,614,596,587,9,566,0.9642248722316865,0.9496644295302014,0.12239652496959068,0.0010869665301853028,0.8073557863235657,3.087788358226053
test,3,level_ge_7m,full_schedule,observed_control,1965,237,236,1,206,0.8728813559322034,0.869198312236287,0.2397801871519601,-0.04664766333988164,1.5175037737316026,3.5268719363183774
test,3,level_ge_7m,full_schedule,augmented,1965,237,236,1,211,0.8940677966101694,0.890295358649789,0.23714314480917298,-0.009218212567832158,1.1540626722525555,3.087788358226053
test,3,level_ge_7m,complete24,observed_control,1351,142,142,0,131,0.9225352112676056,0.9225352112676056,0.1557716333648826,-0.0043574334419621006,0.7152282823723896,0.7989318288299483
test,3,level_ge_7m,complete24,augmented,1351,142,142,0,132,0.9295774647887324,0.9295774647887324,0.16687033212470095,0.005162986602965661,0.6702904346673393,0.7952262523780131
