origin,station,query_time,source_time,age_after_delay_seconds,value_m,usable
2024-04-07T04:00:00-03:00,86472000,2024-04-07T03:30:00-03:00,2024-04-07T03:30:00-03:00,0.0,2.35,True
2024-04-07T05:00:00-03:00,86472000,2024-04-07T04:30:00-03:00,2024-04-07T04:30:00-03:00,0.0,2.35,True
2024-04-07T06:00:00-03:00,86472000,2024-04-07T05:30:00-03:00,2024-04-07T05:30:00-03:00,0.0,2.35,True
2024-04-07T07:00:00-03:00,86472000,2024-04-07T06:30:00-03:00,2024-04-07T06:30:00-03:00,0.0,2.36,True
2024-04-07T08:00:00-03:00,86472000,2024-04-07T07:30:00-03:00,2024-04-07T07:30:00-03:00,0.0,2.38,True
2024-04-07T09:00:00-03:00,86472000,2024-04-07T08:30:00-03:00,2024-04-07T08:30:00-03:00,0.0,2.39,True
2024-04-07T10:00:00-03:00,86472000,2024-04-07T09:30:00-03:00,2024-04-07T09:30:00-03:00,0.0,2.38,True
2024-04-07T11:00:00-03:00,86472000,2024-04-07T10:30:00-03:00,2024-04-07T10:30:00-03:00,0.0,2.38,True
2024-04-07T12:00:00-03:00,86472000,2024-04-07T11:30:00-03:00,2024-04-07T11:30:00-03:00,0.0,2.38,True
2024-04-07T13:00:00-03:00,86472000,2024-04-07T12:30:00-03:00,2024-04-07T12:30:00-03:00,0.0,2.37,True
2024-04-07T14:00:00-03:00,86472000,2024-04-07T13:30:00-03:00,2024-04-07T13:30:00-03:00,0.0,2.38,True
2024-04-07T15:00:00-03:00,86472000,2024-04-07T14:30:00-03:00,2024-04-07T14:30:00-03:00,0.0,2.39,True
2024-04-07T16:00:00-03:00,86472000,2024-04-07T15:30:00-03:00,2024-04-07T15:30:00-03:00,0.0,2.41,True
2024-04-07T17:00:00-03:00,86472000,2024-04-07T16:30:00-03:00,2024-04-07T16:30:00-03:00,0.0,2.43,True
2024-04-07T18:00:00-03:00,86472000,2024-04-07T17:30:00-03:00,2024-04-07T17:30:00-03:00,0.0,2.69,True
2024-04-07T19:00:00-03:00,86472000,2024-04-07T18:30:00-03:00,2024-04-07T18:30:00-03:00,0.0,2.96,True
2024-04-07T20:00:00-03:00,86472000,2024-04-07T19:30:00-03:00,2024-04-07T19:30:00-03:00,0.0,3.07,True
2024-04-07T21:00:00-03:00,86472000,2024-04-07T20:30:00-03:00,2024-04-07T20:30:00-03:00,0.0,3.12,True
2024-04-07T22:00:00-03:00,86472000,2024-04-07T21:30:00-03:00,2024-04-07T21:30:00-03:00,0.0,3.14,True
2024-04-07T23:00:00-03:00,86472000,2024-04-07T22:30:00-03:00,2024-04-07T22:30:00-03:00,0.0,3.15,True
2024-04-08T00:00:00-03:00,86472000,2024-04-07T23:30:00-03:00,2024-04-07T23:30:00-03:00,0.0,3.16,True
2024-04-08T01:00:00-03:00,86472000,2024-04-08T00:30:00-03:00,2024-04-08T00:30:00-03:00,0.0,3.17,True
2024-04-08T02:00:00-03:00,86472000,2024-04-08T01:30:00-03:00,2024-04-08T01:30:00-03:00,0.0,3.18,True
2024-04-08T03:00:00-03:00,86472000,2024-04-08T02:30:00-03:00,2024-04-08T02:30:00-03:00,0.0,3.18,True
2024-04-08T04:00:00-03:00,86472000,2024-04-08T03:30:00-03:00,2024-04-08T03:30:00-03:00,0.0,3.19,True
