nominal_lead_h,origin_trend,family,subset,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
4,stable,julho_levels,level_ge_7m,33,33,0,1.0,24,0.7272727272727273,0.43443286041588863,0.30301403068409394,1.26024238337666,1.4419269934432883,1.620245806102604
4,unknown,reference,all,19,9,10,0.47368421052631576,6,0.6666666666666666,0.32445511525330517,0.05710965136202092,0.626326292058171,0.7548366562120585,0.7869642472505305
4,unknown,julho_levels,all,19,9,10,0.47368421052631576,5,0.5555555555555556,0.35387560173081645,0.12676608876555545,0.6974340873991236,0.8277722493267479,0.8603567898086539
4,unknown,reference,level_ge_7m,2,1,1,0.5,0,0.0,0.5861668032600811,0.5861668032600811,0.5861668032600811,0.5861668032600811,0.5861668032600811
4,unknown,julho_levels,level_ge_7m,2,1,1,0.5,0,0.0,0.656703411796741,0.656703411796741,0.656703411796741,0.656703411796741,0.656703411796741
5,rising,reference,all,455,455,0,1.0,370,0.8131868131868132,0.3688678927468325,-0.11031840633580417,0.7313996090993642,1.9903508757070492,4.023604409822896
5,rising,julho_levels,all,455,455,0,1.0,367,0.8065934065934066,0.36422505795160914,-0.1291517234563337,0.6949885028428917,1.8602701868056017,3.210054029360098
5,rising,reference,level_ge_7m,102,102,0,1.0,49,0.4803921568627451,0.8537667430307941,-0.03901086797099373,1.8635330219572386,3.2925779027719186,4.023604409822896
5,rising,julho_levels,level_ge_7m,102,102,0,1.0,52,0.5098039215686274,0.806652094900324,0.004644961084813957,1.8080011637667,2.8475548125881422,3.210054029360098
5,falling,reference,all,839,838,1,0.99880810488677,660,0.7875894988066826,0.3230519525742537,0.029564587305220862,0.7074719630702823,1.3331127871456252,1.7714551144196307
5,falling,julho_levels,all,839,838,1,0.99880810488677,624,0.7446300715990454,0.3450878420879977,0.09983758991095332,0.7330626760865577,1.2774824184233535,1.5994191166879679
5,falling,reference,level_ge_7m,101,100,1,0.9900990099009901,57,0.57,0.5547657493922449,0.44538561608668076,1.3742460070417504,1.5286621802128293,1.7714551144196307
5,falling,julho_levels,level_ge_7m,101,100,1,0.9900990099009901,57,0.57,0.5543973349816185,0.4669677734514601,1.3035603753706473,1.4480408486475096,1.5994191166879679
5,stable,reference,all,626,626,0,1.0,547,0.8738019169329073,0.2648666939188018,0.0031871314848253575,0.5784583516387127,1.0660183636879845,2.707249273466646
5,stable,julho_levels,all,626,626,0,1.0,522,0.8338658146964856,0.29082770672624025,0.034742086831289175,0.6298668046138625,1.314043313381779,2.4751480097585237
5,stable,reference,level_ge_7m,32,32,0,1.0,21,0.65625,0.5526206668084144,0.35116252336999976,1.4829150422634165,2.000733561061258,2.707249273466646
5,stable,julho_levels,level_ge_7m,32,32,0,1.0,22,0.6875,0.5454491058273172,0.3644190198326088,1.434915535115773,1.8841817015851072,2.4751480097585237
5,unknown,reference,all,20,9,11,0.45,6,0.6666666666666666,0.354823564570347,-0.10266069189858233,0.5451412088145517,0.6077543795615915,0.6234076722483515
5,unknown,julho_levels,all,20,9,11,0.45,6,0.6666666666666666,0.3856928832478898,-0.003426342588710687,0.5806301929530904,0.6931425714225943,0.7212706660399704
5,unknown,reference,level_ge_7m,2,1,1,0.5,0,0.0,0.6234076722483515,0.6234076722483515,0.6234076722483515,0.6234076722483515,0.6234076722483515
5,unknown,julho_levels,level_ge_7m,2,1,1,0.5,0,0.0,0.7212706660399704,0.7212706660399704,0.7212706660399704,0.7212706660399704,0.7212706660399704
6,rising,reference,all,455,455,0,1.0,358,0.7868131868131868,0.3954926138460589,-0.07573821150673123,0.7977759519742834,2.2301371491928963,4.815243764623784
6,rising,julho_levels,all,455,455,0,1.0,368,0.8087912087912088,0.38888169119574906,-0.10221162103658472,0.7393220768745751,2.160025940725111,4.190778631942209
6,rising,reference,level_ge_7m,105,105,0,1.0,46,0.4380952380952381,0.9532801653573137,0.032868315952029756,2.0751064715202645,4.077242205308781,4.815243764623784
6,rising,julho_levels,level_ge_7m,105,105,0,1.0,44,0.41904761904761906,0.9040838389008845,0.07170926009139007,1.939420781939415,3.523126873334459,4.190778631942209
6,falling,reference,all,838,837,1,0.9988066825775657,621,0.7419354838709677,0.36272164830011466,-0.021009661513148863,0.7555606286241864,1.3983745314085751,2.8767744552142265
6,falling,julho_levels,all,838,837,1,0.9988066825775657,602,0.7192353643966547,0.3740884529102087,0.07050012614729236,0.7475139172609916,1.3973612929330443,2.5864945747013266
6,falling,reference,level_ge_7m,98,97,1,0.9897959183673469,50,0.5154639175257731,0.6521740868502934,0.455710436624836,1.5422539224817977,1.8702942528337811,2.8767744552142265
6,falling,julho_levels,level_ge_7m,98,97,1,0.9897959183673469,50,0.5154639175257731,0.6433980493869029,0.486127433547483,1.45300240834632,1.6917030084864007,2.5864945747013266
6,stable,reference,all,625,625,0,1.0,529,0.8464,0.29804476797098534,0.03986666397600357,0.6039063375155396,1.100184219237336,3.228196029465634
6,stable,julho_levels,all,625,625,0,1.0,482,0.7712,0.3326025328464447,0.08307473836798461,0.6861536560927834,1.3729711278439867,2.9373530427956407
6,stable,reference,level_ge_7m,32,32,0,1.0,21,0.65625,0.634592337727095,0.4106324183084664,1.6366464841860964,2.3238616711275055,3.228196029465634
6,stable,julho_levels,level_ge_7m,32,32,0,1.0,21,0.65625,0.6205691429025607,0.42732721531817464,1.5765269681662646,2.174303479568192,2.9373530427956407
6,unknown,reference,all,21,9,12,0.42857142857142855,6,0.6666666666666666,0.4070143949687178,-0.2323830191329886,0.7307855458244653,0.7621170721019989,0.7699499536713823
6,unknown,julho_levels,all,21,9,12,0.42857142857142855,6,0.6666666666666666,0.3658059546164498,-0.09994656403178048,0.7393899973746234,0.8669446125926626,0.8988332663971725
6,unknown,reference,level_ge_7m,2,1,1,0.5,0,0.0,0.7699499536713823,0.7699499536713823,0.7699499536713823,0.7699499536713823,0.7699499536713823
6,unknown,julho_levels,level_ge_7m,2,1,1,0.5,0,0.0,0.8988332663971725,0.8988332663971725,0.8988332663971725,0.8988332663971725,0.8988332663971725
7,rising,reference,all,455,455,0,1.0,345,0.7582417582417582,0.42604650983008135,-0.054954879830343535,0.893533676832451,2.5217475069760433,5.691324727293669
7,rising,julho_levels,all,455,455,0,1.0,357,0.7846153846153846,0.4146352928580963,-0.08301368475938638,0.7916794188187531,2.428339495290345,4.913469515100857
7,rising,reference,level_ge_7m,109,109,0,1.0,39,0.3577981651376147,1.0306125509705957,0.03862139126982287,2.1901872738499133,4.444696071551491,5.691324727293669
7,rising,julho_levels,level_ge_7m,109,109,0,1.0,43,0.3944954128440367,0.9678686202562385,0.09592958593797737,2.0491982168703475,3.4395896553685206,4.913469515100857
7,falling,reference,all,838,837,1,0.9988066825775657,572,0.6833930704898447,0.41256491433129244,-0.06880146267209766,0.8525707831595009,1.370421476149771,3.937424309910652
7,falling,julho_levels,all,838,837,1,0.9988066825775657,581,0.6941457586618877,0.40653914084684545,0.04505396867922721,0.7807544025609583,1.3417481263021065,3.480506097726897
7,falling,reference,level_ge_7m,94,93,1,0.9893617021276596,44,0.4731182795698925,0.7438637792794107,0.4743277025723172,1.7049041216383247,3.26172330595917,3.937424309910652
7,falling,julho_levels,level_ge_7m,94,93,1,0.9893617021276596,45,0.4838709677419355,0.7274820491503983,0.5092821842920123,1.6090851414918046,2.839852605918164,3.480506097726897
7,stable,reference,all,623,623,0,1.0,505,0.8105939004815409,0.3377991279367369,0.07120735815588641,0.6788986383914267,1.3398255493042701,3.4328456680570287
7,stable,julho_levels,all,623,623,0,1.0,459,0.7367576243980738,0.37398260137661615,0.12855157051077928,0.7758285360927285,1.5020824410830438,3.084142211654555
7,stable,reference,level_ge_7m,32,32,0,1.0,17,0.53125,0.7511385751810495,0.41772342513837524,1.7922482808558604,2.4939603134832664,3.4328456680570287
7,stable,julho_levels,level_ge_7m,32,32,0,1.0,20,0.625,0.7169937187274764,0.44957468945908285,1.7118586126600635,2.309054518846492,3.084142211654555
7,unknown,reference,all,22,9,13,0.4090909090909091,5,0.5555555555555556,0.5274339071744679,-0.28753155385127654,0.9506456487498969,0.9561333323039674,0.957505253192485
7,unknown,julho_levels,all,22,9,13,0.4090909090909091,6,0.6666666666666666,0.48695783379202773,-0.11827469345564016,0.8042887444962245,1.056520394758503,1.1195783073240726
7,unknown,reference,level_ge_7m,2,1,1,0.5,0,0.0,0.957505253192485,0.957505253192485,0.957505253192485,0.957505253192485,0.957505253192485
7,unknown,julho_levels,level_ge_7m,2,1,1,0.5,0,0.0,1.1195783073240726,1.1195783073240726,1.1195783073240726,1.1195783073240726,1.1195783073240726
8,rising,reference,all,455,455,0,1.0,339,0.7450549450549451,0.4604117037850285,-0.03382211602097985,0.9559300407913879,2.6576414340280925,6.120423180923719
8,rising,julho_levels,all,455,455,0,1.0,349,0.7670329670329671,0.4440285622294326,-0.0636991562122604,0.8736432920802794,2.4601083405129103,5.290344913970436
8,rising,reference,level_ge_7m,112,112,0,1.0,40,0.35714285714285715,1.1099830572259288,0.034420845065373365,2.3211138847835047,5.193812623428749,6.120423180923719
8,rising,julho_levels,level_ge_7m,112,112,0,1.0,40,0.35714285714285715,1.0426088141751353,0.10707084117147314,2.22152984588766,4.232255405638046,5.290344913970436
8,falling,reference,all,837,836,1,0.998805256869773,511,0.611244019138756,0.4736060357182524,-0.10951209692395214,0.9809964290892039,1.4308050433041566,4.652455920643014
8,falling,julho_levels,all,837,836,1,0.998805256869773,534,0.638755980861244,0.4399753011326757,0.02716983491412849,0.8168335597896654,1.3507206571611723,4.128088884426527
8,falling,reference,level_ge_7m,89,88,1,0.9887640449438202,37,0.42045454545454547,0.8351372894440608,0.5049670970885048,1.8693698418635512,3.952422497443254,4.652455920643014
