plant,ts,time,Q,I,turbined,spilled,residual,source,ONS_Q,ONS_I,delta_Q,delta_I,CERAN_Q_minus_turbined_spilled,CERAN_Q_minus_all_including_residual
julho,1789974000.0,2026-09-21T04:00:00-03:00,398.52,366.3,325.23,73.29,29.79,HTML,399.0,366.0,-0.4800000000000182,0.30000000000001137,-4.263256414560601e-14,-29.790000000000042
julho,1789970400.0,2026-09-21T03:00:00-03:00,403.15,387.04,324.42,78.73,29.83,HTML,403.0,387.0,0.14999999999997726,0.040000000000020464,-4.263256414560601e-14,-29.83000000000004
julho,1789966800.0,2026-09-21T02:00:00-03:00,406.47,374.25,325.02,81.45,29.85,HTML,406.0,374.0,0.4700000000000273,0.25,4.263256414560601e-14,-29.84999999999996
julho,1789963200.0,2026-09-21T01:00:00-03:00,412.07,347.63,325.19,86.88,29.88,HTML,412.0,348.0,0.06999999999999318,-0.37000000000000455,0.0,-29.88
julho,1789956000.0,2026-09-20T23:00:00-03:00,438.77,374.33,326.14,112.63,30.03,HTML,439.0,374.0,-0.2300000000000182,0.3299999999999841,0.0,-30.03
julho,1789952400.0,2026-09-20T22:00:00-03:00,449.66,304.66,322.96,126.7,30.1,HTML,450.0,305.0,-0.339999999999975,-0.339999999999975,4.263256414560601e-14,-30.09999999999996
julho,1789948800.0,2026-09-20T21:00:00-03:00,483.81,419.37,322.15,161.66,30.26,HTML,484.0,419.0,-0.18999999999999773,0.37000000000000455,2.842170943040401e-14,-30.259999999999973
julho,1789945200.0,2026-09-20T20:00:00-03:00,501.35,420.79,322.02,179.33,30.33,HTML,501.0,421.0,0.35000000000002274,-0.20999999999997954,2.842170943040401e-14,-30.32999999999997
julho,1789941600.0,2026-09-20T19:00:00-03:00,525.91,429.24,324.49,201.42,30.42,HTML,526.0,429.0,-0.09000000000003183,0.2400000000000091,-2.842170943040401e-14,-30.42000000000003
julho,1789938000.0,2026-09-20T18:00:00-03:00,503.53,326.31,272.61,230.92,30.52,HTML,504.0,326.0,-0.4700000000000273,0.3100000000000023,-2.842170943040401e-14,-30.520000000000028
julho,1789934400.0,2026-09-20T17:00:00-03:00,289.22,305.33,0.0,289.22,30.72,HTML,289.0,305.0,0.22000000000002728,0.3299999999999841,0.0,-30.72
julho,1789930800.0,2026-09-20T16:00:00-03:00,283.7,396.48,0.0,283.7,30.7,HTML,284.0,396.0,-0.30000000000001137,0.4800000000000182,0.0,-30.7
julho,1789927200.0,2026-09-20T15:00:00-03:00,245.68,374.57,0.0,245.68,30.58,HTML,246.0,375.0,-0.3199999999999932,-0.4300000000000068,0.0,-30.58
julho,1789923600.0,2026-09-20T14:00:00-03:00,206.33,335.22,0.0,206.33,30.43,HTML,206.0,335.0,0.3300000000000125,0.22000000000002728,0.0,-30.43
julho,1789920000.0,2026-09-20T13:00:00-03:00,170.49,460.49,0.0,170.49,30.29,HTML,170.0,460.0,0.4900000000000091,0.4900000000000091,0.0,-30.29
julho,1789916400.0,2026-09-20T12:00:00-03:00,102.97,86.86,0.0,102.97,29.97,HTML,103.0,87.0,-0.030000000000001137,-0.14000000000000057,0.0,-29.97
