phase,horizon_h,subset,axis,stratum,scheduled_rows,observed,unknown_truth,pairs,failures,both_hit,hit_to_miss,miss_to_hit,both_miss,control_hits,augmented_hits,control_mae,augmented_mae,sum_absolute_error_change,control_under_halfmeter,augmented_under_halfmeter,control_over_halfmeter,augmented_over_halfmeter
test,5,level_ge_7m,total,all,237,237,0,236,1,162,2,7,65,164,169,0.5314847360216167,0.5022325971930114,-6.903504763550857,35,29,37,38
test,5,level_ge_7m,target_level,7to9,120,120,0,120,0,106,2,5,7,108,111,0.24661389415769705,0.25422866088770724,0.913772007601219,10,5,2,4
test,5,level_ge_7m,target_level,atleast9,117,117,0,116,1,56,0,2,58,56,58,0.8261787103636029,0.7587883933709124,-7.817276771152075,25,24,35,34
test,5,level_ge_7m,known_trend,stable,69,69,0,69,0,59,0,3,7,59,62,0.3251607056024378,0.32615478482600074,0.0685914664258469,7,4,3,3
test,5,level_ge_7m,known_trend,rising,83,83,0,83,0,41,2,1,39,43,42,0.8199460667412306,0.7942226590274958,-2.13504284023999,25,24,15,17
test,5,level_ge_7m,known_trend,falling,83,83,0,83,0,62,0,3,18,62,65,0.41399298549001895,0.35626249361620566,-4.7916308255264966,3,1,18,17
test,5,level_ge_7m,known_trend,unknown,2,2,0,1,1,0,0,0,1,0,0,0.5773676793396554,0.5319451151294388,-0.04542256421021662,0,0,1,1
test,5,level_ge_7m,upstream,missing,97,97,0,96,1,53,0,3,40,53,56,0.8339726708167143,0.764894363688296,-6.6315174843281515,20,18,23,22
test,5,level_ge_7m,upstream,complete,140,140,0,140,0,109,2,4,25,111,113,0.324064437876407,0.32212167159624483,-0.2719872792227047,15,11,14,16
test,5,level_ge_7m,transition,both_hit,162,162,0,162,0,162,0,0,0,162,162,0.17986325391458785,0.18420628554133667,0.7035711235333126,0,0,0,0
test,5,level_ge_7m,transition,both_miss,65,65,0,65,0,0,0,0,65,0,0,1.4059099891889417,1.2997964265285256,-6.89738157292704,29,29,36,36
test,5,level_ge_7m,transition,missing_forecast,1,1,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0
test,5,level_ge_7m,transition,miss_to_hit,7,7,0,7,0,0,0,7,0,0,7,0.5932495767855607,0.4491083406315746,-1.0089886530779024,6,0,1,0
test,5,level_ge_7m,transition,hit_to_miss,2,2,0,2,0,0,2,0,0,2,0,0.3778271160790969,0.5274742855394838,0.29929433892077384,0,0,0,2
test,6,all,total,all,1962,1939,23,1926,13,1726,26,25,149,1752,1751,0.21819825599759762,0.2124266005586585,-11.116208375396821,100,101,74,74
test,6,all,target_level,below7,1702,1702,0,1690,12,1580,21,15,74,1601,1595,0.1568759066297237,0.15551256766965918,-2.3040428425090163,55,64,34,31
test,6,all,target_level,7to9,120,120,0,120,0,100,1,7,12,101,107,0.2897194114679988,0.2675131480644054,-2.6647516084312066,15,8,4,5
test,6,all,target_level,unknown,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,6,all,target_level,atleast9,117,117,0,116,1,46,4,3,63,50,49,1.0376140471636222,0.9846190995389963,-6.147413924456598,30,29,36,38
test,6,all,known_trend,rising,341,340,1,340,0,276,6,8,50,282,284,0.3705176238059874,0.3599786399820352,-3.5832545001437346,34,32,24,24
test,6,all,known_trend,stable,1117,1110,7,1110,0,1047,9,10,44,1056,1057,0.15685833749424538,0.15275626371711304,-4.5533018926169255,29,30,25,23
test,6,all,known_trend,falling,477,472,5,472,0,401,11,7,53,412,408,0.2507949194179059,0.24468232806870538,-2.885143116822632,36,38,24,26
test,6,all,known_trend,unknown,27,17,10,4,13,2,0,0,2,2,2,0.4464730933683463,0.4228458769149642,-0.09450886581352824,1,1,1,1
test,6,all,upstream,missing,604,586,18,574,12,493,13,9,59,506,502,0.29629324511743904,0.2815190566896595,-8.480384157545455,32,34,36,38
test,6,all,upstream,complete,1358,1353,5,1352,1,1233,13,16,90,1246,1249,0.18504254316121527,0.18309296903558556,-2.635824217851365,68,67,38,36
