model,lead_h,origin,time,forecast_m,lower_m,upper_m,validation_score,parameters,test_mae_m,today_mae_m,today_n,today_p90_abs_m
arvores_previsao_chuva,8.0,2026-09-21T14:00:00-03:00,2026-09-21T22:00:00-03:00,11.801163362596753,8.314945217361988,15.287381507831519,0.3174673389900468,"(15, 'absolute_error')",0.2553867246057495,2.1160289728956685,6,3.4862181452347656
linear_log,9.0,2026-09-21T14:00:00-03:00,2026-09-21T23:00:00-03:00,20.21810258264408,16.321802019292534,24.114403145995624,0.5214701834185567,"(100.0, False)",0.33781853808787055,2.822588508623837,5,3.896300563351545
arvores,9.0,2026-09-21T14:00:00-03:00,2026-09-21T23:00:00-03:00,13.13908660938585,9.269351471968454,17.008821746803243,0.42101881284784876,"(15, 'squared_error')",0.31037998394591176,2.832995138855302,5,3.869735137417395
arvores_previsao_chuva,9.0,2026-09-21T14:00:00-03:00,2026-09-21T23:00:00-03:00,12.723923621752133,8.940241671065538,16.507605572438727,0.42037569833628263,"(15, 'squared_error')",0.30962116269196777,2.766316845817371,5,3.7836819506865957
linear_log,10.0,2026-09-21T14:00:00-03:00,2026-09-22T00:00:00-03:00,19.843866790263398,15.946803852401732,23.740929728125064,0.6002776473766427,"(1000.0, False)",0.39783794215563967,3.1088855821903376,4,3.897062937861665
arvores,10.0,2026-09-21T14:00:00-03:00,2026-09-22T00:00:00-03:00,12.06959469327551,8.208600339886281,15.930589046664739,0.44273993369986564,"(15, 'absolute_error')",0.3597995045043015,3.1506670086910864,4,3.860994353389228
arvores_previsao_chuva,10.0,2026-09-21T14:00:00-03:00,2026-09-22T00:00:00-03:00,12.650989935124054,8.829733387858735,16.472246482389373,0.5897497820164084,"(7, 'squared_error')",0.3589232621348689,3.1013324212252473,4,3.8212565472653197
linear_log,11.0,2026-09-21T14:00:00-03:00,2026-09-22T01:00:00-03:00,19.693745527445518,15.768494462842318,23.618996592048717,0.6450117305421882,"(1000.0, False)",0.4407420337577038,3.4105636350570117,3,3.9252510646032
arvores,11.0,2026-09-21T14:00:00-03:00,2026-09-22T01:00:00-03:00,13.052661746415025,9.035143603509482,17.070179889320567,0.6733188928275133,"(7, 'squared_error')",0.4015834751284795,3.5290802493140228,3,4.017518142905542
arvores_previsao_chuva,11.0,2026-09-21T14:00:00-03:00,2026-09-22T01:00:00-03:00,12.966703906353036,9.165588041183867,16.767819771522205,0.661299598002236,"(7, 'squared_error')",0.3937611161419653,3.3086108721811183,3,3.8011158651691694
linear_log,12.0,2026-09-21T14:00:00-03:00,2026-09-22T02:00:00-03:00,19.97199037204972,16.026107838000875,23.917872906098566,0.7463035349690905,"(100.0, False)",0.4434184096782256,3.72334660308728,2,3.945882534048846
arvores,12.0,2026-09-21T14:00:00-03:00,2026-09-22T02:00:00-03:00,12.935350498680172,9.081085094737468,16.789615902622877,0.7454206625927655,"(7, 'squared_error')",0.4376345194753258,3.6843581231719362,2,3.854265403942706
arvores_previsao_chuva,12.0,2026-09-21T14:00:00-03:00,2026-09-22T02:00:00-03:00,12.902742190780298,9.241604282497367,16.56388009906323,0.8040303555995756,"(7, 'squared_error')",0.43315048407944384,3.5440477296492325,2,3.6611379082829325
