phase,profile,horizon_h,population,subset,reference,relation,observed_targets,pairs,failures,reference_hits,aged_hits,hits_delta,reference_mae_m,aged_mae_m,mae_m_delta,reference_bias_m,aged_bias_m,bias_m_delta,reference_p98_abs_m,aged_p98_abs_m,p98_abs_m_delta,reference_max_abs_m,aged_max_abs_m,max_abs_m_delta
test,A,2,missing24,all,profile_A_control,matching_profile,595,588,7,571,567,-4,0.09175555328130948,0.10020868501115868,0.008453131729849198,0.0009685546115011541,0.010339103071448311,0.009370548459947158,0.5988592895886679,0.6041377303569583,0.005278440768290427,2.430986906354253,2.346097569851504,-0.08488933650274877
test,A,2,missing24,all,profile_B_control,cross_profile,595,588,7,551,567,16,0.1333967037510656,0.10020868501115868,-0.03318801873990693,0.010054634163160905,0.010339103071448311,0.0002844689082874066,0.9528656726090782,0.6041377303569583,-0.3487279422521199,2.3364175247165386,2.346097569851504,0.009680045134965454
test,A,2,missing24,level_ge_7m,mixed_profile_candidate,primary_unaged,94,93,1,83,83,0,0.21336984235694337,0.2159895958048072,0.002619753447863832,-0.037857975798076655,-0.020925023999346,0.016932951798730656,1.6788703707329549,1.671645231785923,-0.007225138947031917,2.35798379080882,2.346097569851504,-0.011886220957316063
test,A,2,missing24,level_ge_7m,profile_A_control,matching_profile,94,93,1,83,83,0,0.2180535194506631,0.2159895958048072,-0.002063923645855892,-0.039319656213811505,-0.020925023999346,0.018394632214465505,1.8158908988349143,1.671645231785923,-0.14424566704899133,2.430986906354253,2.346097569851504,-0.08488933650274877
test,A,2,missing24,level_ge_7m,profile_B_control,cross_profile,94,93,1,84,83,-1,0.20108135711260836,0.2159895958048072,0.014908238692198844,-0.055474453537675494,-0.020925023999346,0.0345494295383295,1.669041187228837,1.671645231785923,0.0026040445570858495,2.3364175247165386,2.346097569851504,0.009680045134965454
test,A,3,full_schedule,all,mixed_profile_candidate,primary_unaged,1942,1933,9,1869,1870,1,0.11088536147545171,0.1032126406858451,-0.00767272078960661,0.004151087743485489,0.005010694243128405,0.0008596064996429162,0.6587297068125985,0.6314652182989816,-0.027264488513616847,3.5417724438313964,3.6904468704586115,0.14867442662721508
test,A,3,full_schedule,all,profile_A_control,matching_profile,1942,1933,9,1896,1870,-26,0.08858410963828463,0.1032126406858451,0.01462853104756047,-0.006493224276664247,0.005010694243128405,0.011503918519792652,0.4833709219661626,0.6314652182989816,0.148094296332819,3.8502978392165037,3.6904468704586115,-0.15985096875789218
test,A,3,full_schedule,all,profile_B_control,cross_profile,1942,1933,9,1851,1870,19,0.1347115076083067,0.1032126406858451,-0.031498866922461594,0.0013764610817187943,0.005010694243128405,0.0036342331614096107,0.7157064412809331,0.6314652182989816,-0.08424122298195147,3.591469992707828,3.6904468704586115,0.09897687775078357
test,A,3,full_schedule,level_ge_7m,mixed_profile_candidate,primary_unaged,237,236,1,211,211,0,0.23103349561199366,0.2346448714228629,0.003611375810869233,-0.04770049302095064,-0.05367385425886,-0.005973361237909362,1.4343554446068412,1.4600437007609004,0.02568825615405923,3.5417724438313964,3.6904468704586115,0.14867442662721508
test,A,3,full_schedule,level_ge_7m,profile_A_control,matching_profile,237,236,1,210,211,1,0.2532196871530062,0.2346448714228629,-0.0185748157301433,-0.059558642560117205,-0.05367385425886,0.005884788301257202,1.6407855388564219,1.4600437007609004,-0.18074183809552147,3.8502978392165037,3.6904468704586115,-0.15985096875789218
test,A,3,full_schedule,level_ge_7m,profile_B_control,cross_profile,237,236,1,211,211,0,0.22939160313662513,0.2346448714228629,0.005253268286237761,-0.049539724936621565,-0.05367385425886,-0.004134129322238438,1.4559494306676029,1.4600437007609004,0.004094270093297547,3.591469992707828,3.6904468704586115,0.09897687775078357
test,A,3,complete24,all,mixed_profile_candidate,primary_unaged,1346,1346,0,1321,1325,4,0.09353934393409843,0.08279991913469215,-0.010739424799406289,0.005249048832444129,0.009280875644430192,0.004031826811986063,0.40826632419709485,0.4012125269193427,-0.007053797277752127,1.0753632970139049,1.010371835812483,-0.06499146120142196
test,A,3,complete24,all,profile_A_control,matching_profile,1346,1346,0,1337,1325,-12,0.06676184143982879,0.08279991913469215,0.01603807769486336,0.0008533600840207653,0.009280875644430192,0.008427515560409427,0.3472407943730499,0.4012125269193427,0.05397173254629284,0.9541938231108986,1.010371835812483,0.05617801270158429
test,A,3,complete24,all,profile_B_control,cross_profile,1346,1346,0,1315,1325,10,0.11894199675714617,0.08279991913469215,-0.03614207762245403,0.007555344036208855,0.009280875644430192,0.0017255316082213376,0.5225955024622742,0.4012125269193427,-0.12138297554293143,1.1076891363066506,1.010371835812483,-0.09731730049416765
test,A,3,complete24,level_ge_7m,mixed_profile_candidate,primary_unaged,142,142,0,135,137,2,0.1444212101017265,0.14196639857949261,-0.002454811522233896,-0.010512252389214603,-0.0115819039896701,-0.0010696516004554974,0.6473228658122127,0.6156120225327322,-0.03171084327948048,0.8009367996348562,0.7381710705550866,-0.06276572907976963
test,A,3,complete24,level_ge_7m,profile_A_control,matching_profile,142,142,0,136,137,1,0.15419241973272838,0.14196639857949261,-0.012226021153235761,-0.009339708535082389,-0.0115819039896701,-0.002242195454587712,0.7465230322859905,0.6156120225327322,-0.1309110097532583,0.9541938231108986,0.7381710705550866,-0.21602275255581205
test,A,3,complete24,level_ge_7m,profile_B_control,cross_profile,142,142,0,136,137,1,0.1476928718663916,0.14196639857949261,-0.0057264732868989865,-0.003641382097772714,-0.0115819039896701,-0.007940521891897387,0.6821020741011882,0.6156120225327322,-0.066490051568456,0.7451468353396038,0.7381710705550866,-0.006975764784517224
test,A,3,missing24,all,mixed_profile_candidate,primary_unaged,596,587,9,548,545,-3,0.15066004565034355,0.15001932417451946,-0.0006407214758240853,0.0016334461323469335,-0.00478089718132168,-0.006414343313668613,0.9082153699331775,0.8602571224348854,-0.04795824749829214,3.5417724438313964,3.6904468704586115,0.14867442662721508
test,A,3,missing24,all,profile_A_control,matching_profile,596,587,9,559,545,-14,0.13862290520067225,0.15001932417451946,0.011396418973847217,-0.0233390548549982,-0.00478089718132168,0.01855815767367652,0.8135732498407686,0.8602571224348854,0.04668387259411677,3.8502978392165037,3.6904468704586115,-0.15985096875789218
test,A,3,missing24,all,profile_B_control,cross_profile,596,587,9,536,545,9,0.17087123777127447,0.15001932417451946,-0.020851913596755006,-0.01279181226878141,-0.00478089718132168,0.00801091508745973,0.9869612549858086,0.8602571224348854,-0.12670413255092317,3.591469992707828,3.6904468704586115,0.09897687775078357
test,A,3,missing24,level_ge_7m,mixed_profile_candidate,primary_unaged,95,94,1,76,74,-2,0.36187333117005677,0.37464852188837966,0.012775190718322893,-0.10387847354974337,-0.11725956636763622,-0.013381092817892848,2.9191550411005736,3.0187985245480693,0.09964348344749574,3.5417724438313964,3.6904468704586115,0.14867442662721508
