phase,horizon_h,population,subset,scheduled_rows,missing_truth,observed_targets,pairs,failures,control_hits,augmented_hits,hit_change,control_mae_m,augmented_mae_m,mae_change_m,control_max_abs_m,augmented_max_abs_m,max_change_m
validation,5,full_schedule,all,6547,34,6513,6479,34,6366,6371,5,0.08526315030480959,0.08546882192571821,0.00020567162090862068,2.13998043891651,2.2877692677646824,0.14778882884817257
validation,5,full_schedule,level_ge_7m,6547,34,28,28,0,27,26,-1,0.2049457152856696,0.2069427268842947,0.001997011598625087,1.110735224661627,1.2678339314169245,0.15709870675529736
validation,5,missing_upstream18,all,495,4,491,474,17,418,423,5,0.22736011356628733,0.1846747242299765,-0.04268538933631083,1.4131069877526423,1.3739159184721794,-0.0391910692804629
validation,5,missing_upstream18,level_ge_7m,495,4,0,0,0,0,0,0,,,,,,
validation,6,complete_upstream18,all,6052,31,6021,6004,17,5891,5892,1,0.09480310904991884,0.0998103184129382,0.005007209363019363,2.423297278017234,2.3396457491762686,-0.08365152884096538
validation,6,complete_upstream18,level_ge_7m,6052,31,28,28,0,21,20,-1,0.36918320277457173,0.3692234500870168,4.024731244506308e-05,2.1737320381886134,1.9213556810105823,-0.2523763571780311
validation,6,full_schedule,all,6546,34,6512,6478,34,6289,6297,8,0.1069154567904564,0.10998568015499516,0.003070223364538757,2.423297278017234,2.3396457491762686,-0.08365152884096538
validation,6,full_schedule,level_ge_7m,6546,34,28,28,0,21,20,-1,0.36918320277457173,0.3692234500870168,4.024731244506308e-05,2.1737320381886134,1.9213556810105823,-0.2523763571780311
validation,6,missing_upstream18,all,494,3,491,474,17,398,405,7,0.2603385281705985,0.2388735955543831,-0.021464932616215404,1.3831457069374478,1.677101583062738,0.2939558761252903
validation,6,missing_upstream18,level_ge_7m,494,3,0,0,0,0,0,0,,,,,,
validation,7,complete_upstream18,all,6052,30,6022,6005,17,5751,5761,10,0.1294671026767006,0.12960320626571112,0.00013610358901050557,2.536478690960327,2.7133829166057124,0.17690422564538544
validation,7,complete_upstream18,level_ge_7m,6052,30,28,28,0,18,16,-2,0.5738217500950386,0.5725053823217915,-0.0013163677732470624,2.536478690960327,2.7133829166057124,0.17690422564538544
validation,7,full_schedule,all,6545,34,6511,6478,33,6140,6153,13,0.13949033131269187,0.13915851308049038,-0.00033181823220149176,2.536478690960327,2.7133829166057124,0.17690422564538544
validation,7,full_schedule,level_ge_7m,6545,34,28,28,0,18,16,-2,0.5738217500950386,0.5725053823217915,-0.0013163677732470624,2.536478690960327,2.7133829166057124,0.17690422564538544
validation,7,missing_upstream18,all,493,4,489,473,16,389,392,3,0.2667408343975281,0.26046848649010856,-0.00627234790741954,1.5803018224686582,1.7155362526834497,0.13523443021479142
validation,7,missing_upstream18,level_ge_7m,493,4,0,0,0,0,0,0,,,,,,
validation,8,complete_upstream18,all,6052,31,6021,6004,17,5577,5658,81,0.17328927546547981,0.16748698563996858,-0.005802289825511231,2.76587318635416,3.323489250588137,0.5576160642339767
validation,8,complete_upstream18,level_ge_7m,6052,31,28,28,0,17,16,-1,0.5086703318662178,0.6408143136294168,0.13214398176319897,2.2652426805252706,2.6819911556511764,0.41674847512590585
validation,8,full_schedule,all,6544,34,6510,6476,34,5941,6037,96,0.18532634211090973,0.17531939134626504,-0.010006950764644695,2.76587318635416,3.323489250588137,0.5576160642339767
validation,8,full_schedule,level_ge_7m,6544,34,28,28,0,17,16,-1,0.5086703318662178,0.6408143136294168,0.13214398176319897,2.2652426805252706,2.6819911556511764,0.41674847512590585
validation,8,missing_upstream18,all,492,3,489,472,17,364,379,15,0.3384419102023528,0.2749502469831378,-0.06349166321921501,1.9664365679641493,1.8283354177602735,-0.1381011502038758
validation,8,missing_upstream18,level_ge_7m,492,3,0,0,0,0,0,0,,,,,,
validation,9,complete_upstream18,all,6052,31,6021,6004,17,5426,5493,67,0.2089278865715522,0.19981426586179107,-0.009113620709761128,3.5276644420723478,4.072832687328837,0.5451682452564897
validation,9,complete_upstream18,level_ge_7m,6052,31,28,28,0,13,13,0,0.7165782762772184,0.7837122193904021,0.06713394311318377,2.095221544541152,2.2285036317419387,0.1332820872007865
validation,9,full_schedule,all,6543,34,6509,6475,34,5786,5854,68,0.21878441884440672,0.20812100785559834,-0.01066341098880838,3.5276644420723478,4.072832687328837,0.5451682452564897
validation,9,full_schedule,level_ge_7m,6543,34,28,28,0,13,13,0,0.7165782762772184,0.7837122193904021,0.06713394311318377,2.095221544541152,2.2285036317419387,0.1332820872007865
validation,9,missing_upstream18,all,491,3,488,471,17,360,361,1,0.3444290467981621,0.31400992278302686,-0.030419124015135246,2.8520809707180774,1.9910341397744409,-0.8610468309436365
validation,9,missing_upstream18,level_ge_7m,491,3,0,0,0,0,0,0,,,,,,
validation,10,complete_upstream18,all,6052,32,6020,6003,17,5199,5297,98,0.262405112999366,0.24522437794639035,-0.017180735052975626,3.3056167254271487,3.1111901107671254,-0.1944266146600233
validation,10,complete_upstream18,level_ge_7m,6052,32,28,28,0,10,13,3,0.8418339887890641,0.7515828535227723,-0.0902511352662918,2.142675103203933,2.525319408509713,0.38264430530577975
validation,10,full_schedule,all,6542,34,6508,6474,34,5538,5655,117,0.2738224589819417,0.2530941949520817,-0.02072826402986,3.409399053803099,3.1111901107671254,-0.29820894303597356
validation,10,full_schedule,level_ge_7m,6542,34,28,28,0,10,13,3,0.8418339887890641,0.7515828535227723,-0.0902511352662918,2.142675103203933,2.525319408509713,0.38264430530577975
validation,10,missing_upstream18,all,490,2,488,471,17,339,358,19,0.41933907879808135,0.3533967671074222,-0.06594231169065917,3.409399053803099,1.9775437081343545,-1.4318553456687444
validation,10,missing_upstream18,level_ge_7m,490,2,0,0,0,0,0,0,,,,,,
validation,11,complete_upstream18,all,6052,32,6020,6003,17,5084,5108,24,0.28914165284354865,0.27421997816842936,-0.01492167467511929,3.527340696401988,3.5257920239134646,-0.0015486724885236391
validation,11,complete_upstream18,level_ge_7m,6052,32,28,28,0,7,10,3,0.9209712478068522,0.9504250181422906,0.02945377033543839,2.727934416347221,2.50777083296966,-0.2201635833775608
validation,11,full_schedule,all,6541,34,6507,6473,34,5408,5439,31,0.2992631393422329,0.2823132697537959,-0.016949869588437028,3.527340696401988,3.5257920239134646,-0.0015486724885236391
validation,11,full_schedule,level_ge_7m,6541,34,28,28,0,7,10,3,0.9209712478068522,0.9504250181422906,0.02945377033543839,2.727934416347221,2.50777083296966,-0.2201635833775608
validation,11,missing_upstream18,all,489,2,487,470,17,324,331,7,0.4285382105158533,0.3856835450451902,-0.04285466547066308,3.1570375309797685,2.1466195915941952,-1.0104179393855732
validation,11,missing_upstream18,level_ge_7m,489,2,0,0,0,0,0,0,,,,,,
validation,12,complete_upstream18,all,6052,33,6019,6002,17,4993,5068,75,0.30532070073064727,0.2860664312220691,-0.01925426950857817,4.015683208089365,3.7351037893426646,-0.2805794187467008
validation,12,complete_upstream18,level_ge_7m,6052,33,28,28,0,9,8,-1,0.8500946765774603,1.0017210918586577,0.15162641528119736,2.4377570478483914,2.259778508248031,-0.17797853960036036
validation,12,full_schedule,all,6540,34,6506,6472,34,5316,5399,83,0.31507131086568224,0.2929927450683551,-0.022078565797327143,4.015683208089365,3.7351037893426646,-0.2805794187467008
validation,12,full_schedule,level_ge_7m,6540,34,28,28,0,9,8,-1,0.8500946765774603,1.0017210918586577,0.15162641528119736,2.4377570478483914,2.259778508248031,-0.17797853960036036
validation,12,missing_upstream18,all,488,1,487,470,17,323,331,8,0.4395886768879799,0.3814432465692245,-0.05814543031875541,3.750935174645684,2.0391103124633707,-1.7118248621823131
validation,12,missing_upstream18,level_ge_7m,488,1,0,0,0,0,0,0,,,,,,
