phase,profile,horizon_h,subset,family,reference,observed_targets,pairs,failures,old_hits,new_hits,delta_hits,old_mae_m,new_mae_m,old_max_m,new_max_m
test,A,12,all,linear_trend_only,mixed_profile_candidate,1933,1915,18,1304,784,-520,0.49747435731090545,0.8154751001627529,7.792800339521805,10.551118847887528
test,A,12,all,linear_trend_only,profile_A_control,1933,1915,18,1314,784,-530,0.48703728990212314,0.8154751001627529,7.575214133637115,10.551118847887528
test,A,12,all,linear_trend_hybrid,mixed_profile_candidate,1933,1915,18,1304,1208,-96,0.49747435731090545,0.5057556908493873,7.792800339521805,8.991902752727224
test,A,12,all,linear_trend_hybrid,profile_A_control,1933,1915,18,1314,1208,-106,0.48703728990212314,0.5057556908493873,7.575214133637115,8.991902752727224
test,A,12,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,75,45,-30,1.3286731218781722,1.818952271550672,7.792800339521805,10.551118847887528
test,A,12,level_ge_7m,linear_trend_only,profile_A_control,237,236,1,91,45,-46,1.2469468675886748,1.818952271550672,7.575214133637115,10.551118847887528
test,A,12,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,75,91,16,1.3286731218781722,1.110717022896165,7.792800339521805,8.991902752727224
test,A,12,level_ge_7m,linear_trend_hybrid,profile_A_control,237,236,1,91,91,0,1.2469468675886748,1.110717022896165,7.575214133637115,8.991902752727224
test,B,1,all,linear_trend_only,mixed_profile_candidate,1944,1940,4,1931,1926,-5,0.04625830552081716,0.05448600935193802,1.5158225447286915,1.2707268585329912
test,B,1,all,linear_trend_only,profile_B_control,1944,1940,4,1933,1926,-7,0.04267803063082794,0.05448600935193802,1.5100564871323074,1.2707268585329912
test,B,1,all,linear_trend_hybrid,mixed_profile_candidate,1944,1940,4,1931,1935,4,0.04625830552081716,0.03849374970534464,1.5158225447286915,1.0790211541664672
test,B,1,all,linear_trend_hybrid,profile_B_control,1944,1940,4,1933,1935,2,0.04267803063082794,0.03849374970534464,1.5100564871323074,1.0790211541664672
test,B,1,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,230,233,3,0.10507021941064681,0.08498710865591096,1.5158225447286915,1.2707268585329912
test,B,1,level_ge_7m,linear_trend_only,profile_B_control,237,236,1,230,233,3,0.09411275751023761,0.08498710865591096,1.5100564871323074,1.2707268585329912
test,B,1,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,230,233,3,0.10507021941064681,0.07119308471295323,1.5158225447286915,1.0790211541664672
test,B,1,level_ge_7m,linear_trend_hybrid,profile_B_control,237,236,1,230,233,3,0.09411275751023761,0.07119308471295323,1.5100564871323074,1.0790211541664672
test,B,2,all,linear_trend_only,mixed_profile_candidate,1943,1937,6,1915,1904,-11,0.06880451771616918,0.09389324440075351,2.7234645501539516,2.2754036391369947
test,B,2,all,linear_trend_only,profile_B_control,1943,1937,6,1910,1904,-6,0.07247205676196612,0.09389324440075351,2.721435573404227,2.2754036391369947
test,B,2,all,linear_trend_hybrid,mixed_profile_candidate,1943,1937,6,1915,1924,9,0.06880451771616918,0.06124128525917342,2.7234645501539516,1.8810200913600212
test,B,2,all,linear_trend_hybrid,profile_B_control,1943,1937,6,1910,1924,14,0.07247205676196612,0.06124128525917342,2.721435573404227,1.8810200913600212
test,B,2,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,222,227,5,0.1790052843921942,0.1764986989609995,2.7234645501539516,2.2754036391369947
test,B,2,level_ge_7m,linear_trend_only,profile_B_control,237,236,1,218,227,9,0.17055488609880845,0.1764986989609995,2.721435573404227,2.2754036391369947
test,B,2,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,222,227,5,0.1790052843921942,0.1338390933975735,2.7234645501539516,1.8810200913600212
test,B,2,level_ge_7m,linear_trend_hybrid,profile_B_control,237,236,1,218,227,9,0.17055488609880845,0.1338390933975735,2.721435573404227,1.8810200913600212
test,B,3,all,linear_trend_only,mixed_profile_candidate,1942,1934,8,1881,1881,0,0.0984848429997664,0.13223248124346407,3.9207443853420045,3.330207234821282
test,B,3,all,linear_trend_only,profile_B_control,1942,1934,8,1893,1881,-12,0.0969247468811543,0.13223248124346407,3.971469992707828,3.330207234821282
