phase,profile,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
test,A,4,complete24,level_ge_7m,profile_A_control,1350,5,141,141,0,129,0.9148936170212766,0.9148936170212766,0.21401654763344402,-0.014772773930388377,0.8610170378343888,1.0126687812034216
test,A,4,complete24,level_ge_7m,profile_B_control,1350,5,141,141,0,129,0.9148936170212766,0.9148936170212766,0.21542542670658452,-0.02632521716014023,0.8142006315275215,1.11492535080016
test,A,4,complete24,level_ge_7m,mixed_profile_candidate,1350,5,141,141,0,127,0.900709219858156,0.900709219858156,0.21817461329975182,-0.005596108087970437,0.9707681531764454,1.1275417261449672
test,A,4,complete24,level_ge_7m,linear_trend_only,1350,5,141,141,0,123,0.8723404255319149,0.8723404255319149,0.2964443691706777,0.05542931726150776,1.009888332082735,1.696861901508897
test,A,4,complete24,level_ge_7m,linear_trend_hybrid,1350,5,141,141,0,119,0.8439716312056738,0.8439716312056738,0.24546827192376316,-0.02709960526359441,0.8089110139368053,1.272853284057355
test,A,4,missing24,all,profile_A_control,614,18,596,586,10,551,0.9402730375426621,0.924496644295302,0.17322591710923643,-0.03313940616967849,1.1060064429972427,4.579107233006882
test,A,4,missing24,all,profile_B_control,614,18,596,586,10,538,0.9180887372013652,0.9026845637583892,0.19737107037405,-0.02748289307836097,1.2059032491950852,4.745916441945315
test,A,4,missing24,all,mixed_profile_candidate,614,18,596,586,10,545,0.9300341296928327,0.9144295302013423,0.18925348430250144,-0.02913789557023754,1.303990659513822,4.7455033562984505
test,A,4,missing24,all,linear_trend_only,614,18,596,586,10,531,0.9061433447098977,0.8909395973154363,0.18720195697986106,0.011017186086857422,0.8285550149542721,2.9980843110809836
test,A,4,missing24,all,linear_trend_hybrid,614,18,596,586,10,558,0.9522184300341296,0.9362416107382551,0.1378056170666674,0.00798658416283186,0.7361867427452808,2.524798278141498
test,A,4,missing24,level_ge_7m,profile_A_control,614,18,96,95,1,70,0.7368421052631579,0.7291666666666666,0.5381123248309875,-0.1883686959245424,3.732097286452388,4.579107233006882
test,A,4,missing24,level_ge_7m,profile_B_control,614,18,96,95,1,72,0.7578947368421053,0.75,0.5633685294036319,-0.22257406004951727,3.911908739871886,4.745916441945315
test,A,4,missing24,level_ge_7m,mixed_profile_candidate,614,18,96,95,1,72,0.7578947368421053,0.75,0.5728043876745994,-0.24069566389836267,3.92262320661903,4.7455033562984505
test,A,4,missing24,level_ge_7m,linear_trend_only,614,18,96,95,1,79,0.8315789473684211,0.8229166666666666,0.36010538229262373,0.06925585076189587,2.6924326818454998,2.9980843110809836
test,A,4,missing24,level_ge_7m,linear_trend_hybrid,614,18,96,95,1,81,0.8526315789473684,0.84375,0.2890355161936186,-0.03861910983946424,2.0815796166651666,2.524798278141498
test,A,5,full_schedule,all,profile_A_control,1963,23,1940,1929,11,1856,0.96215655780197,0.9567010309278351,0.1529170486007049,-0.014256550282812017,0.8160040983192122,5.585721334594157
test,A,5,full_schedule,all,profile_B_control,1963,23,1940,1929,11,1838,0.9528252980819077,0.9474226804123711,0.16570596013149794,-0.021350561904082434,0.8906871392823486,5.577554864047173
test,A,5,full_schedule,all,mixed_profile_candidate,1963,23,1940,1929,11,1845,0.9564541213063764,0.9510309278350515,0.1592206798094355,-0.012761179648897093,0.807484587166888,5.4406707406415205
test,A,5,full_schedule,all,linear_trend_only,1963,23,1940,1929,11,1806,0.9362363919129082,0.9309278350515464,0.196757962077808,0.014485162023836786,0.8009001104686634,3.9500317569155943
test,A,5,full_schedule,all,linear_trend_hybrid,1963,23,1940,1929,11,1840,0.9538621047174702,0.9484536082474226,0.15506749817240917,-0.003643424297646922,0.7022363731626636,3.135079294508719
test,A,5,full_schedule,level_ge_7m,profile_A_control,1963,23,237,236,1,182,0.7711864406779662,0.7679324894514767,0.48868542525858694,-0.12688934444571706,3.2389097868595345,5.585721334594157
test,A,5,full_schedule,level_ge_7m,profile_B_control,1963,23,237,236,1,176,0.7457627118644068,0.7426160337552743,0.493738860571485,-0.14334329978595828,3.3334525282887677,5.577554864047173
test,A,5,full_schedule,level_ge_7m,mixed_profile_candidate,1963,23,237,236,1,178,0.7542372881355932,0.7510548523206751,0.4876970563733857,-0.12348052797019198,3.195954585959318,5.4406707406415205
test,A,5,full_schedule,level_ge_7m,linear_trend_only,1963,23,237,236,1,169,0.7161016949152542,0.7130801687763713,0.46988661632187917,0.06758416146391369,2.225923257035956,3.9500317569155943
test,A,5,full_schedule,level_ge_7m,linear_trend_hybrid,1963,23,237,236,1,179,0.7584745762711864,0.7552742616033755,0.3612412512673785,-0.03926052981650138,1.4953307576735317,3.135079294508719
test,A,5,complete24,all,profile_A_control,1349,5,1344,1344,0,1312,0.9761904761904762,0.9761904761904762,0.1266830212115693,0.0028053367910027918,0.5729876561764257,1.4578522016392146
test,A,5,complete24,all,profile_B_control,1349,5,1344,1344,0,1295,0.9635416666666666,0.9635416666666666,0.1382361068760217,-0.005357143374495761,0.663436915853125,1.234264047949761
test,A,5,complete24,all,mixed_profile_candidate,1349,5,1344,1344,0,1304,0.9702380952380952,0.9702380952380952,0.13267683454329443,-0.0004638474509651317,0.576868627167878,1.3596246628316564
