pet_mm_day,weather,correction_tau_h,lead_h,time,forecast_m,flow_m3_s,incremental_flow_m3_s,routed_upstream_flow_m3_s,rain_mm,soil_fraction,flow_correction_m3_s
1.0,icon,6.0,8,2026-09-22T01:00:00-03:00,22.13095003400104,11773.142350186854,1566.8461560740714,10213.576445825705,0.0,0.9265978768787542,-7.280251712922139
1.0,icon,6.0,9,2026-09-22T02:00:00-03:00,22.957026548171136,12505.890284340827,1449.7555569891633,11062.297327379256,0.0,0.9162331002043355,-6.1626000275921795
1.0,icon,6.0,10,2026-09-22T03:00:00-03:00,23.715440638176766,13193.11748067974,1333.6669113395908,11864.667097641317,0.0,0.9059842622755054,-5.216528301167175
1.0,icon,6.0,11,2026-09-22T04:00:00-03:00,24.341354709976848,13770.59908398968,1220.7977724215177,12554.217007442476,0.0,0.8958500662198715,-4.415695874312695
1.0,icon,6.0,12,2026-09-22T05:00:00-03:00,24.900079125154534,14293.884355577748,1112.7804349193186,13184.841726518709,0.0,0.8858292296716488,-3.7378058602805786
1.0,icon,12.0,1,2026-09-21T18:00:00-03:00,14.147035268228624,5596.832750826654,2078.437646802482,3544.340619247052,1.7,0.9889378977538612,-25.94551522288019
1.0,icon,12.0,2,2026-09-21T19:00:00-03:00,15.326107398088428,6399.5829830140165,2075.878472900345,4347.575536479162,0.5,0.9889378977538612,-23.871026365490998
1.0,icon,12.0,3,2026-09-21T20:00:00-03:00,16.51942550759574,7252.411445214549,2039.6526458663118,5234.7212038272755,0.1,0.9802072682648705,-21.96240447903931
1.0,icon,12.0,4,2026-09-21T21:00:00-03:00,17.66326216090949,8106.8494440836685,1976.0762447049497,6150.979586951488,0.0,0.9692428254534645,-20.206387572770144
1.0,icon,12.0,5,2026-09-21T22:00:00-03:00,18.82645456078871,9011.816942018697,1891.475272551571,7138.932443493289,0.0,0.9584010291578074,-18.590774026162542
1.0,icon,12.0,6,2026-09-21T23:00:00-03:00,19.959693101968895,9927.557869978407,1791.7331132816464,8152.929094503166,0.0,0.947680507473455,-17.10433780640674
1.0,icon,12.0,7,2026-09-22T00:00:00-03:00,21.08856325877396,10872.400174785089,1682.0497332631771,9206.08719198663,0.0,0.9370799038418676,-15.736750464717694
1.0,icon,12.0,8,2026-09-22T01:00:00-03:00,22.122740901513033,11765.944092530297,1566.8461560740714,10213.576445825705,0.0,0.9265978768787542,-14.47850936947892
1.0,icon,12.0,9,2026-09-22T02:00:00-03:00,22.949045749030205,12498.73201269087,1449.7555569891633,11062.297327379256,0.0,0.9162331002043355,-13.320871677547405
1.0,icon,12.0,10,2026-09-22T03:00:00-03:00,23.707748371074914,13186.078215395986,1333.6669113395908,11864.667097641317,0.0,0.9059842622755054,-12.255793584921435
1.0,icon,12.0,11,2026-09-22T04:00:00-03:00,24.333977604915212,13763.738905429336,1220.7977724215177,12554.217007442476,0.0,0.8958500662198715,-11.275874434656856
1.0,icon,12.0,12,2026-09-22T05:00:00-03:00,24.893041667357018,14287.24785614436,1112.7804349193186,13184.841726518709,0.0,0.8858292296716488,-10.37430529366762
1.0,mean,2.0,1,2026-09-21T18:00:00-03:00,14.163477694362122,5607.7486051446385,2078.820278894788,3544.340619247052,1.8666666666666665,0.9889378977538612,-15.412292997200623
1.0,mean,2.0,2,2026-09-21T19:00:00-03:00,15.351971974353944,6417.641653446112,2079.414145206227,4347.575536479162,1.6333333333333335,0.9889378977538612,-9.348028239276495
1.0,mean,2.0,3,2026-09-21T20:00:00-03:00,16.554769505862325,7278.276926065082,2049.2255879727877,5234.7212038272755,1.2,0.9889378977538612,-5.669865734980699
1.0,mean,2.0,4,2026-09-21T21:00:00-03:00,17.70831146090117,8141.227185488862,1993.686545942094,6150.979586951488,0.9,0.9889378977538612,-3.4389474047198987
1.0,mean,2.0,5,2026-09-21T22:00:00-03:00,18.879861756385523,9054.225492746527,1917.378876291339,7138.932443493289,0.0,0.9778757955077223,-2.0858270381018085
1.0,mean,2.0,6,2026-09-21T23:00:00-03:00,20.0194781696743,9976.7868023502,1825.1228258965007,8152.929094503166,0.0,0.9669374321802578,-1.2651180494663383
1.0,mean,2.0,7,2026-09-22T00:00:00-03:00,21.15255123114452,10926.916851697819,1721.5969925963473,9206.08719198663,0.0,0.9561214236475772,-0.767332885157178
1.0,mean,2.0,8,2026-09-22T01:00:00-03:00,22.18904941012127,11824.134500922766,1611.0234660181145,10213.576445825705,0.0,0.9454264012683806,-0.46541092105358156
1.0,mean,2.0,9,2026-09-22T02:00:00-03:00,23.01624468894942,12559.053178601162,1497.038137214889,11062.297327379256,0.0,0.9348510117107718,-0.2822859929840932
1.0,mean,2.0,10,2026-09-22T03:00:00-03:00,23.774430852187045,13247.146763196972,1382.6508806652082,11864.667097641317,0.0,0.9243939167810105,-0.17121510955227787
