observed_cluster_id,nominal_lead_h,first_exceedance_at,complete_observed_cluster,independence_certified,family,subset,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
f803fdacd0779dfe9e87b834,3,2026-08-13T08:30:00+00:00,False,False,reference,level_ge_7m,49,35,14,0.7142857142857143,22,0.6285714285714286,0.4363480433624314,0.3126633163024227,0.6089466706984088,0.6982696019921634,0.7492847927265354
f803fdacd0779dfe9e87b834,3,2026-08-13T08:30:00+00:00,False,False,julho_levels,level_ge_7m,49,35,14,0.7142857142857143,25,0.7142857142857143,0.42970315655236935,0.30207303241813016,0.6098066909720015,0.69743419066765,0.7547322603823936
f803fdacd0779dfe9e87b834,4,2026-08-13T08:30:00+00:00,False,False,reference,level_ge_7m,49,36,13,0.7346938775510204,12,0.3333333333333333,0.516965768080646,0.379138624134236,0.744252676061615,0.8059434792638929,0.8185286692893872
f803fdacd0779dfe9e87b834,4,2026-08-13T08:30:00+00:00,False,False,julho_levels,level_ge_7m,49,36,13,0.7346938775510204,14,0.3888888888888889,0.5106885744003148,0.3621741065456478,0.7300100146195634,0.7967037786964157,0.8087228902134624
f803fdacd0779dfe9e87b834,5,2026-08-13T08:30:00+00:00,False,False,reference,level_ge_7m,49,37,12,0.7551020408163265,12,0.32432432432432434,0.5761339927743724,0.4347851814149508,0.8448636118724273,0.9188884624175686,0.9547350273569108
f803fdacd0779dfe9e87b834,5,2026-08-13T08:30:00+00:00,False,False,julho_levels,level_ge_7m,49,37,12,0.7551020408163265,13,0.35135135135135137,0.5690438499562726,0.4094663158879559,0.8029241783690009,0.8919438537815542,0.9173765210466271
f803fdacd0779dfe9e87b834,6,2026-08-13T08:30:00+00:00,False,False,reference,level_ge_7m,49,38,11,0.7755102040816326,12,0.3157894736842105,0.6226490761451584,0.48292550564456793,0.9623378044426361,1.0192545558903099,1.0321538235361825
f803fdacd0779dfe9e87b834,6,2026-08-13T08:30:00+00:00,False,False,julho_levels,level_ge_7m,49,38,11,0.7755102040816326,12,0.3157894736842105,0.6062974819322325,0.4459322948240613,0.8816429545001683,0.9748639005032873,1.000946493904964
f803fdacd0779dfe9e87b834,7,2026-08-13T08:30:00+00:00,False,False,reference,level_ge_7m,49,39,10,0.7959183673469388,12,0.3076923076923077,0.6490619081520884,0.5238172696405677,1.022626051831406,1.077674847906097,1.0870256813516086
f803fdacd0779dfe9e87b834,7,2026-08-13T08:30:00+00:00,False,False,julho_levels,level_ge_7m,49,39,10,0.7959183673469388,14,0.358974358974359,0.6311796333541573,0.4733533458220927,0.9498122948678497,1.035423225542183,1.0461711073311548
