id,rede,nome,subbacia,registros_hoje,ultima_leitura,atraso_min,chuva_campo20,acumulado_campo21,nivel_campo45,codigo_usa_fonte_ANA_na_previsao_12h,telemetria_SIGMA_direta_na_previsao_12h,fonte
16931,cemaden,CEMADEN - Veranópolis - G2-432280603A (663 m),Baixo Antas,38,2026-09-21T14:10:00-03:00,18.6,1.8,135.8,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16931.txt
16935,cemaden,CEMADEN - Santa Tereza - G2-431725102A (81 m),Baixo Antas,49,2026-09-21T14:00:00-03:00,28.6,4.0,161.4,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16935.txt
16936,cemaden,CEMADEN - Santa Tereza - G2-431725103A (479 m),Baixo Antas,44,2026-09-21T14:00:00-03:00,28.6,25.6,90.6,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16936.txt
16938,cemaden,CEMADEN - Cotiporã - G2-430595901A (601 m),Carreiro,15,2026-09-21T14:10:00-03:00,18.6,-999.9,0.0,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16938.txt
16939,cemaden,CEMADEN - Cotiporã - G2-430595902A (590 m),Carreiro,40,2026-09-21T14:10:00-03:00,18.6,7.6,76.8,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16939.txt
16940,cemaden,CEMADEN - Veranópolis - G2-432280601A (605 m),Baixo Antas,48,2026-09-21T14:10:00-03:00,18.6,3.8,106.2,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16940.txt
16952,cemaden,CEMADEN - Guaporé - G2-430940701A (473 m),Carreiro,39,2026-09-21T14:00:00-03:00,28.6,1.6,129.2,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16952.txt
17558,cemaden,CEMADEN - Bento Gonçalves - Tuiuty (315 m),Baixo Antas,50,2026-09-21T14:10:00-03:00,18.6,2.4,124.4,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17558.txt
17559,cemaden,CEMADEN - Bento Gonçalves - FUNDAPARQUE (617 m),Baixo Antas,49,2026-09-21T14:10:00-03:00,18.6,3.0,144.4,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17559.txt
17560,cemaden,CEMADEN - Bento Gonçalves - EMBRAPA UVA (626 m),Baixo Antas,48,2026-09-21T14:10:00-03:00,18.6,2.8,139.0,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17560.txt
