pet_mm_day,weather,correction_tau_h,lead_h,time,forecast_m,flow_m3_s,incremental_flow_m3_s,routed_upstream_flow_m3_s,rain_mm,soil_fraction,flow_correction_m3_s
3.0,gfs,6.0,2,2026-09-21T17:00:00-03:00,11.908409099266631,4390.498606245502,1994.273354383816,2831.447888786251,1.0,0.9860985557405171,-435.22263692456556
3.0,gfs,6.0,3,2026-09-21T18:00:00-03:00,13.065117289944155,5112.0718412765245,2026.4738743220537,3454.005975369818,1.0,0.9860042210948219,-368.40800841534775
3.0,gfs,6.0,4,2026-09-21T19:00:00-03:00,14.094777504942117,5788.408558842426,2019.3198077429006,4080.9393975264643,0.8,0.9860055599943026,-311.85064642693936
3.0,gfs,6.0,5,2026-09-21T20:00:00-03:00,14.935914287228922,6363.971591935858,1979.3524864643339,4648.594978567252,0.3,0.9794520516517048,-263.9758730957287
3.0,gfs,6.0,6,2026-09-21T21:00:00-03:00,15.628256442610423,6852.903376611507,1913.2991081956725,5163.055020803413,0.2,0.970545881602657,-223.45075238757826
3.0,gfs,6.0,7,2026-09-21T22:00:00-03:00,16.17544429950779,7248.84805576621,1827.5842509934337,5610.410783081918,0.2,0.9617901534969718,-189.14697830914275
3.0,gfs,6.0,8,2026-09-21T23:00:00-03:00,16.658522795257554,7605.2867939673315,1728.004395721679,6037.391858702624,0.1,0.9506585511861603,-160.1094604569707
3.0,gfs,6.0,9,2026-09-22T00:00:00-03:00,17.07414813420811,7917.059698956537,1619.5678211546588,6433.0216100608,0.0,0.9371657752163924,-135.5297322589221
3.0,gfs,6.0,10,2026-09-22T01:00:00-03:00,17.38379026221744,8152.370485559418,1506.4804201434863,6760.613506952426,0.1,0.9263990620551646,-114.72344153649551
3.0,gfs,6.0,11,2026-09-22T02:00:00-03:00,17.574335784022452,8298.45491286321,1392.173095201072,7003.393114339337,0.1,0.9157900387867859,-97.11129667720024
3.0,gfs,6.0,12,2026-09-22T03:00:00-03:00,17.7935093591426,8467.687124672913,1279.3297779126701,7270.560284677924,0.0,0.9027921545166897,-82.20293791768063
3.0,gfs,12.0,1,2026-09-21T16:00:00-03:00,10.638579524656484,3646.734645784533,1916.2815139009786,2301.0546175767035,0.3,0.9794520333492778,-570.6014856931492
3.0,gfs,12.0,2,2026-09-21T17:00:00-03:00,11.759704880324168,4300.742533278892,1994.273354383816,2831.447888786251,1.0,0.9860985557405171,-524.9787098911756
3.0,gfs,12.0,3,2026-09-21T18:00:00-03:00,12.885717450387876,4997.476119857188,2026.4738743220537,3454.005975369818,1.0,0.9860042210948219,-483.003729834684
3.0,gfs,12.0,4,2026-09-21T19:00:00-03:00,13.896718059269192,5655.874321389834,2019.3198077429006,4080.9393975264643,0.8,0.9860055599943026,-444.38488387953157
3.0,gfs,12.0,5,2026-09-21T20:00:00-03:00,14.726971139324805,6219.093634672523,1979.3524864643339,4648.594978567252,0.3,0.9794520516517048,-408.85383035906347
3.0,gfs,12.0,6,2026-09-21T21:00:00-03:00,15.414059694392323,6700.190445977424,1913.2991081956725,5163.055020803413,0.2,0.970545881602657,-376.16368302166114
3.0,gfs,12.0,7,2026-09-21T22:00:00-03:00,15.95993017059736,7091.9077385248775,1827.5842509934337,5610.410783081918,0.2,0.9617901534969718,-346.08729555047455
3.0,gfs,12.0,8,2026-09-21T23:00:00-03:00,16.445043116820404,7446.98057117892,1728.004395721679,6037.391858702624,0.1,0.9506585511861603,-318.4156832453819
3.0,gfs,12.0,9,2026-09-22T00:00:00-03:00,16.865064266155095,7759.632860315166,1619.5678211546588,6433.0216100608,0.0,0.9371657752163924,-292.9565709002934
3.0,gfs,12.0,10,2026-09-22T01:00:00-03:00,17.180461815941253,7997.560870310139,1506.4804201434863,6760.613506952426,0.1,0.9263990620551646,-269.5330567857743
3.0,gfs,12.0,11,2026-09-22T02:00:00-03:00,17.377525217574135,8147.583826086689,1392.173095201072,7003.393114339337,0.1,0.9157900387867859,-247.98238345371988
3.0,gfs,12.0,12,2026-09-22T03:00:00-03:00,17.60458499414488,8321.735255767531,1279.3297779126701,7270.560284677924,0.0,0.9027921545166897,-228.1548068230621
3.0,ecmwf,2.0,1,2026-09-21T16:00:00-03:00,11.043714464061004,3878.3981114278363,1916.2952242983863,2301.0546175767035,0.4,0.9819133769394136,-338.9517304472534
3.0,ecmwf,2.0,2,2026-09-21T17:00:00-03:00,12.283122723669363,4619.737000831447,1993.873728724108,2831.447888786251,0.4,0.9779268923391303,-205.5846166789113
3.0,ecmwf,2.0,3,2026-09-21T18:00:00-03:00,13.438555134467384,5353.721937855827,2024.4093356670369,3454.005975369818,0.4,0.9740296988984093,-124.69337318102893
3.0,ecmwf,2.0,4,2026-09-21T19:00:00-03:00,14.444513305239674,6025.2367151008275,2019.9276714716464,4080.9393975264643,3.4,0.9861755153848473,-75.63035389728306
3.0,ecmwf,2.0,5,2026-09-21T20:00:00-03:00,15.263975905353925,6593.957580094885,1991.234729971252,4648.594978567252,3.4,0.9860031288001821,-45.872128443619026
3.0,ecmwf,2.0,6,2026-09-21T21:00:00-03:00,15.945842564954262,7081.6938310506475,1946.4616625745657,5163.055020803413,3.4,0.9860055754973315,-27.82285232733091
3.0,ecmwf,2.0,7,2026-09-21T22:00:00-03:00,16.488218356360942,7478.896505274724,1885.3611351699892,5610.410783081918,0.5,0.9843560166903911,-16.875412977183192
3.0,ecmwf,2.0,8,2026-09-21T23:00:00-03:00,16.967777589496862,7836.821355826937,1809.6649524902873,6037.391858702624,0.5,0.9827652097384656,-10.235455365974058
3.0,ecmwf,2.0,9,2026-09-22T00:00:00-03:00,17.379292500496867,8148.933970189215,1722.1204776239979,6433.0216100608,0.5,0.9812234766153798,-6.208117495583458
3.0,ecmwf,2.0,10,2026-09-22T01:00:00-03:00,17.68356843445493,8382.63751063501,1625.7894172827534,6760.613506952426,0.0,0.9672968901141289,-3.765413600169777
3.0,ecmwf,2.0,11,2026-09-22T02:00:00-03:00,17.867113345374847,8524.80637090961,1523.697095365274,7003.393114339337,0.0,0.9535679648146317,-2.283838795001897
3.0,ecmwf,2.0,12,2026-09-22T03:00:00-03:00,18.076206354460197,8687.853541383189,1418.6784749562744,7270.560284677924,0.0,0.9400338952949944,-1.3852182510098063
3.0,ecmwf,6.0,1,2026-09-21T16:00:00-03:00,10.738186026122447,3703.1950478294098,1916.2952242983863,2301.0546175767035,0.4,0.9819133769394136,-514.1547940456799
3.0,ecmwf,6.0,2,2026-09-21T17:00:00-03:00,11.90774955522361,4390.0989805857935,1993.873728724108,2831.447888786251,0.4,0.9779268923391303,-435.22263692456556
3.0,ecmwf,6.0,3,2026-09-21T18:00:00-03:00,13.06189866814468,5110.007302621508,2024.4093356670369,3454.005975369818,0.4,0.9740296988984093,-368.40800841534775
3.0,ecmwf,6.0,4,2026-09-21T19:00:00-03:00,14.095681957638517,5789.0164225711715,2019.9276714716464,4080.9393975264643,3.4,0.9861755153848473,-311.85064642693936
3.0,ecmwf,6.0,5,2026-09-21T20:00:00-03:00,14.952971338761838,6375.853835442776,1991.234729971252,4648.594978567252,3.4,0.9860031288001821,-263.9758730957287
3.0,ecmwf,6.0,6,2026-09-21T21:00:00-03:00,15.674533231846958,6886.0659309904,1946.4616625745657,5163.055020803413,3.4,0.9860055754973315,-223.45075238757826
3.0,ecmwf,6.0,7,2026-09-21T22:00:00-03:00,16.254343443929734,7306.624939942765,1885.3611351699892,5610.410783081918,0.5,0.9843560166903911,-189.14697830914275
