phase,horizon_h,target_date,scheduled_rows,observed,unknown_truth,pairs,failures,both_hit,hit_to_miss,miss_to_hit,both_miss,control_hits,augmented_hits,control_mae,augmented_mae,sum_absolute_error_change,control_under_halfmeter,augmented_under_halfmeter,control_over_halfmeter,augmented_over_halfmeter
test,3,2026-08-31,18,18,0,18,0,18,0,0,0,18,18,0.14382017977780265,0.12630887947384592,-0.3152034054712214,0,0,0,0
test,4,2026-07-02,3,3,0,3,0,2,1,0,0,3,2,0.265381479652189,0.2691875597790678,0.011418240380636213,0,0,0,1
test,4,2026-07-03,24,24,0,24,0,24,0,0,0,24,24,0.15803695080585622,0.1509177347801819,-0.17086118461618405,0,0,0,0
test,4,2026-07-04,8,8,0,8,0,8,0,0,0,8,8,0.11454781048318541,0.11588240985610543,0.01067679498336016,0,0,0,0
test,4,2026-07-21,2,2,0,2,0,0,0,0,2,0,0,2.3981593494151103,2.315797752834891,-0.16472319316043826,2,2,0,0
test,4,2026-07-22,23,23,0,22,1,8,0,1,13,8,9,1.1581989546737192,1.0336235376087133,-2.740659175430139,13,12,1,1
test,4,2026-07-23,24,24,0,24,0,13,0,4,7,13,17,0.5100372942099135,0.42122928029138335,-2.1313923340447225,0,0,11,7
test,4,2026-07-24,12,12,0,12,0,12,0,0,0,12,12,0.08674024044653783,0.06018535625467902,-0.3186586103023057,0,0,0,0
test,4,2026-07-28,7,7,0,7,0,3,0,1,3,3,4,0.44373899040529824,0.3978263441615542,-0.32138852370620796,3,3,1,0
test,4,2026-07-29,24,24,0,24,0,10,1,3,10,11,13,0.5092390887030142,0.4677126221801497,-0.9966351965487483,2,3,11,8
test,4,2026-07-30,24,24,0,24,0,24,0,0,0,24,24,0.12310549997739972,0.12190886950542135,-0.02871913132748105,0,0,0,0
test,4,2026-07-31,19,19,0,19,0,19,0,0,0,19,19,0.1312486621350156,0.12690021283387232,-0.08262053672172254,0,0,0,0
test,4,2026-08-13,18,18,0,18,0,16,0,1,1,16,17,0.21270518589074308,0.26197514298107316,0.8868592276259415,1,1,1,0
test,4,2026-08-14,24,24,0,24,0,24,0,0,0,24,24,0.15105436888633783,0.11611096837384087,-0.8386416122999272,0,0,0,0
test,4,2026-08-15,7,7,0,7,0,7,0,0,0,7,7,0.11720698937850356,0.10336695904790931,-0.09688021231415966,0,0,0,0
test,4,2026-08-31,18,18,0,18,0,17,0,1,0,17,18,0.21953236989910702,0.18214757366839956,-0.6729263321527341,1,0,0,0
test,5,2026-07-02,3,3,0,3,0,3,0,0,0,3,3,0.12769777660706735,0.12071275429705815,-0.020955066930027577,0,0,0,0
test,5,2026-07-03,24,24,0,24,0,23,1,0,0,24,23,0.2240264160340504,0.16647748283212793,-1.3811743968461396,0,0,0,1
test,5,2026-07-04,8,8,0,8,0,8,0,0,0,8,8,0.16126202522833455,0.181553582017006,0.1623324543093716,0,0,0,0
test,5,2026-07-21,2,2,0,2,0,0,0,0,2,0,0,2.802647042542851,3.0618940493175257,0.5184940135493497,2,2,0,0
test,5,2026-07-22,23,23,0,22,1,5,0,0,17,5,5,1.5722423076357182,1.5378833204859779,-0.7558977172942694,14,14,3,3
test,5,2026-07-23,24,24,0,24,0,9,0,4,11,9,13,0.6348519296096625,0.5681023720271478,-1.6019893819803546,0,0,15,11
test,5,2026-07-24,12,12,0,12,0,12,0,0,0,12,12,0.0893691680723893,0.07689341487583083,-0.14970903835870164,0,0,0,0
test,5,2026-07-28,7,7,0,7,0,1,2,0,4,3,1,0.6482714568807004,0.8977162873904677,1.7461138135683711,4,6,0,0
test,5,2026-07-29,24,24,0,24,0,8,3,2,11,11,10,0.5940867184947588,0.5414592483996921,-1.2630592822816027,1,4,12,10
test,5,2026-07-30,24,24,0,24,0,24,0,0,0,24,24,0.1657100657440338,0.16452780022244085,-0.028374372518230828,0,0,0,0
test,5,2026-07-31,19,19,0,19,0,19,0,0,0,19,19,0.15810348986869918,0.16717221319224385,0.1723057431473487,0,0,0,0
test,5,2026-08-13,18,18,0,18,0,11,2,2,3,13,13,0.33196533107437287,0.37070934361882035,0.697392225800054,3,3,2,2
test,5,2026-08-14,24,24,0,24,0,22,0,2,0,22,24,0.19015504981196563,0.184539002936574,-0.1347851250093992,2,0,0,0
test,5,2026-08-15,7,7,0,7,0,7,0,0,0,7,7,0.1702552519345671,0.1899078070685034,0.1375678859375542,0,0,0,0
test,5,2026-08-31,18,18,0,18,0,14,0,1,3,14,15,0.2789458233777,0.2687279139489328,-0.18392236971781006,4,3,0,0
test,6,2026-07-02,3,3,0,3,0,3,0,0,0,3,3,0.23139665629941675,0.11142414555861861,-0.3599175322223944,0,0,0,0
test,6,2026-07-03,24,24,0,24,0,15,0,8,1,15,23,0.407256104703188,0.23305739495847874,-4.180769033873023,2,0,7,1
test,6,2026-07-04,8,8,0,8,0,8,0,0,0,8,8,0.15916643755245596,0.17710246760797488,0.14348824044415132,0,0,0,0
test,6,2026-07-21,2,2,0,2,0,0,0,0,2,0,0,3.6840983187666434,3.5249198502708907,-0.31835693699150536,2,2,0,0
test,6,2026-07-22,23,23,0,22,1,1,0,0,21,1,1,2.271108489869941,2.0841113958666084,-4.113936068073317,16,16,5,5
test,6,2026-07-23,24,24,0,24,0,6,0,0,18,6,6,0.7971624439922276,0.7333554632080589,-1.5313675388200494,0,0,18,18
test,6,2026-07-24,12,12,0,12,0,12,0,0,0,12,12,0.10824144261610491,0.09727161842644898,-0.13163789027587125,0,0,0,0
test,6,2026-07-28,7,7,0,7,0,1,0,0,6,1,1,1.0042158183185927,0.9206646265019935,-0.5848583427161946,6,6,0,0
test,6,2026-07-29,24,24,0,24,0,7,3,0,14,10,7,0.6198156665082609,0.6799102771994786,1.442270656589228,3,4,11,13
test,6,2026-07-30,24,24,0,24,0,24,0,0,0,24,24,0.18666762407165552,0.21279556474054387,0.6270705760533204,0,0,0,0
test,6,2026-07-31,19,19,0,19,0,19,0,0,0,19,19,0.20678283153810284,0.18301070718002005,-0.451670362803573,0,0,0,0
test,6,2026-08-13,18,18,0,18,0,7,2,3,6,9,10,0.44213795063960837,0.5060744605900452,1.150857179107863,6,5,3,3
test,6,2026-08-14,24,24,0,24,0,21,0,2,1,21,23,0.2571229774344489,0.23360490451797775,-0.5644337499953078,3,1,0,0
test,6,2026-08-15,7,7,0,7,0,7,0,0,0,7,7,0.17809699811708526,0.2177762498551343,0.2777547621663432,0,0,0,0
test,6,2026-08-31,18,18,0,18,0,13,0,0,5,13,13,0.346313867360279,0.3644929078914896,0.32722272956179044,4,4,1,1
test,7,2026-07-02,3,3,0,3,0,1,0,1,1,1,2,0.5221997984485597,0.5209807282816709,-0.0036572105006662525,2,1,0,0
test,7,2026-07-03,24,24,0,24,0,16,4,3,1,20,19,0.2986706888463067,0.27664364167149963,-0.5286491321953708,3,4,1,1
test,7,2026-07-04,8,8,0,8,0,8,0,0,0,8,8,0.23628567207360207,0.2433628662245676,0.056617553207724214,0,0,0,0
test,7,2026-07-21,2,2,0,2,0,0,0,0,2,0,0,2.846334086114534,3.3858549762310903,1.079041780233113,2,2,0,0
test,7,2026-07-22,23,23,0,23,0,0,0,0,23,0,0,2.4945592578572393,2.2708874188259403,-5.144452297719862,16,16,7,7
test,7,2026-07-23,24,24,0,23,1,5,0,1,17,5,6,1.2702698454860322,0.7043104060360746,-13.01706710734902,0,0,18,17
test,7,2026-07-24,12,12,0,12,0,11,1,0,0,12,11,0.13658226834602286,0.14980008323991592,0.15861377872671678,0,0,0,1
test,7,2026-07-28,7,7,0,7,0,0,0,2,5,0,2,1.026286922206393,0.9861068636986633,-0.28126040955410847,7,5,0,0
test,7,2026-07-29,24,24,0,24,0,3,2,3,16,5,6,0.9603935479622625,1.0350936551949121,1.792802573583593,6,5,13,13
test,7,2026-07-30,24,24,0,24,0,23,0,1,0,23,24,0.18813579201163008,0.16617077192054408,-0.5271604821860638,0,0,1,0
test,7,2026-07-31,19,19,0,19,0,17,0,0,2,17,17,0.28858835756148987,0.27900671157274093,-0.18205127378622965,0,0,2,2
test,7,2026-08-13,18,18,0,18,0,6,1,1,10,7,7,0.5835204781873474,0.6429173709606785,1.0691440699199601,10,10,1,1
test,7,2026-08-14,24,24,0,24,0,19,0,1,4,19,20,0.2933414043395316,0.22893241253524257,-1.5458158033029363,5,4,0,0
test,7,2026-08-15,7,7,0,7,0,6,0,0,1,6,6,0.237993240370349,0.26800446446580156,0.21007856866816788,0,0,1,1
test,7,2026-08-31,18,18,0,18,0,6,3,3,6,9,9,0.5265574395048847,0.4986538898304819,-0.5022638941392472,3,5,6,4
test,8,2026-07-02,3,3,0,3,0,1,0,1,1,1,2,0.5793780043432438,0.520412249872566,-0.17689726341203382,2,1,0,0
test,8,2026-07-03,24,24,0,24,0,18,0,4,2,18,22,0.3347126628332209,0.24500070396416165,-2.153087012857421,5,1,1,1
test,8,2026-07-04,8,8,0,8,0,6,2,0,0,8,6,0.24580131657465265,0.25817949959895625,0.09902546419442881,0,0,0,2
test,8,2026-07-21,2,2,0,2,0,0,0,0,2,0,0,3.2821657745778614,3.389120095736032,0.21390864231634144,2,2,0,0
test,8,2026-07-22,23,23,0,23,0,1,0,1,21,1,2,2.966582509502839,2.6735107048998317,-6.740651505869139,16,15,6,6
test,8,2026-07-23,24,24,0,23,1,4,0,1,18,4,5,1.5324589655904348,0.8754361944441353,-15.111523736364894,0,0,19,18
test,8,2026-07-24,12,12,0,12,0,10,0,2,0,10,12,0.18856753236150273,0.18232682616858176,-0.07488847431505175,0,0,2,0
test,8,2026-07-28,7,7,0,7,0,0,0,0,7,0,0,1.5272649779365295,1.2584270112207376,-1.8818657670105434,7,7,0,0
test,8,2026-07-29,24,24,0,24,0,2,3,0,19,5,2,1.1210507317412723,1.1710298386979427,1.1994985669600826,7,9,12,13
test,8,2026-07-30,24,24,0,24,0,22,0,2,0,22,24,0.23289345934941488,0.17834444297965443,-1.3091763928742512,0,0,2,0
test,8,2026-07-31,19,19,0,19,0,18,0,0,1,18,18,0.20373227446336875,0.26279426181316357,1.1221777596461013,0,0,1,1
test,8,2026-08-13,18,18,0,18,0,4,1,0,13,5,4,0.5948264562608244,0.6407486739466525,0.8265999183449058,12,13,1,1
test,8,2026-08-14,24,24,0,24,0,19,0,1,4,19,20,0.27597680169830874,0.22474708693846232,-1.2295131542363142,5,4,0,0
test,8,2026-08-15,7,7,0,7,0,5,1,0,1,6,5,0.2842822700943893,0.3286779531982495,0.3107697817270214,0,0,1,2
test,8,2026-08-31,18,18,0,18,0,9,2,3,4,11,12,0.48383546323533544,0.4236462529266238,-1.0834057855568089,3,2,4,4
test,9,2026-07-02,3,3,0,3,0,0,0,0,3,0,0,0.9474638926824778,0.7351665142102389,-0.6368921354167165,3,3,0,0
test,9,2026-07-03,24,24,0,24,0,14,0,9,1,14,23,0.48882297451605633,0.2305800069814398,-6.197831220830795,10,1,0,0
test,9,2026-07-04,8,8,0,8,0,5,0,2,1,5,7,0.331703143415194,0.3249248288048968,-0.05422651688237767,1,0,2,1
test,9,2026-07-21,2,2,0,2,0,0,0,0,2,0,0,4.01653874709603,3.986345996991118,-0.06038550020982436,2,2,0,0
test,9,2026-07-22,23,23,0,23,0,1,0,1,21,1,2,3.18345519937775,3.1755453074357907,-0.18192751466504653,17,16,5,5
test,9,2026-07-23,24,24,0,23,1,3,0,1,19,3,4,1.6869878936881468,0.9870421336618019,-16.09875248060594,0,0,20,19
test,9,2026-07-24,12,12,0,12,0,10,0,1,1,10,11,0.23541356744778694,0.2639343874502764,0.3422498400298739,0,0,2,1
test,9,2026-07-28,7,7,0,7,0,0,0,0,7,0,0,1.6378818666214872,1.904187035091738,1.8641361792917568,7,7,0,0
test,9,2026-07-29,24,24,0,24,0,1,0,1,22,1,2,1.3170062258296407,1.4857136416966679,4.048977980808651,11,10,12,12
test,9,2026-07-30,24,24,0,24,0,19,0,3,2,19,22,0.29942393560838193,0.2255439773427804,-1.7731189983744375,0,0,5,2
test,9,2026-07-31,19,19,0,19,0,15,2,2,0,17,17,0.22631811846118516,0.26508588123247717,0.7365874926545484,0,2,2,0
test,9,2026-08-13,18,18,0,18,0,6,2,2,8,8,8,0.7002247311939205,0.7652027757158186,1.1696048013941676,10,9,0,1
test,9,2026-08-14,24,24,0,24,0,19,0,0,5,19,19,0.38752810126920617,0.273827701794088,-2.728809587402835,5,5,0,0
test,9,2026-08-15,7,7,0,7,0,4,1,1,1,5,5,0.38984504308988477,0.371083097682666,-0.13133361785053133,0,0,2,2
test,9,2026-08-31,18,18,0,18,0,5,6,2,5,11,7,0.5250929216346507,0.5496943728286927,0.4428261214927538,4,2,3,9
test,10,2026-07-02,3,3,0,3,0,0,0,0,3,0,0,0.8384859647409515,0.9341039931693675,0.28685408528524814,3,3,0,0
