phase,horizon_h,group,recent_rows,june_rows,recent_weight,june_weight,june_weight_fraction,recent_mean_delta,june_mean_delta,recent_max_delta,june_max_delta
test,8,all,10822,160,13128,436,0.03214391035092893,-0.0004825817778599168,0.32875000000000004,6.73,7.87
test,8,target_ge7,255,126,831,382,0.314921681780709,0.35898039215686267,0.22706349206349213,6.73,7.87
test,8,target_ge9,137,79,595,333,0.3588362068965517,0.5445255474452553,0.4579746835443039,6.73,7.87
test,8,abs_delta_ge1,1016,59,3232,273,0.07788873038516406,0.4977165354330708,1.287627118644068,6.73,7.87
test,9,all,10821,159,13363,437,0.03166666666666667,-0.00012406431937898673,0.37238993710691826,7.119999999999999,8.34
test,9,target_ge7,255,126,843,384,0.31295843520782396,0.43450980392156857,0.26761904761904776,7.119999999999999,8.34
test,9,target_ge9,137,79,603,335,0.35714285714285715,0.6613138686131385,0.5437974683544304,7.119999999999999,8.34
test,9,abs_delta_ge1,1134,60,3594,278,0.07179752066115702,0.4171428571428571,1.4315,7.119999999999999,8.34
test,10,all,10818,158,13556,440,0.03143755358673907,0.0003085135884636697,0.4165822784810126,7.469999999999999,8.74
test,10,target_ge7,255,126,863,388,0.3101518784972022,0.5154901960784313,0.3096031746031748,7.469999999999999,8.74
test,10,target_ge9,137,79,611,339,0.3568421052631579,0.782773722627737,0.6320253164556964,7.469999999999999,8.74
test,10,abs_delta_ge1,1232,62,3896,288,0.06883365200764818,0.3496103896103896,1.5282258064516132,7.469999999999999,8.74
test,11,all,10817,157,13701,441,0.031183708103521425,0.0007504391236017344,0.46114649681528674,7.789999999999999,9.07
test,11,target_ge7,255,126,877,390,0.30781373322809785,0.6001960784313723,0.3534126984126985,7.789999999999999,9.07
test,11,target_ge9,137,79,619,341,0.35520833333333335,0.908905109489051,0.7234177215189874,7.789999999999999,9.07
test,11,abs_delta_ge1,1305,63,4123,293,0.06634963768115942,0.286168582375479,1.628412698412698,7.789999999999999,9.07
test,12,all,10814,156,13812,446,0.03128068452798429,0.0012194840022193463,0.5059615384615387,8.09,9.47
test,12,target_ge7,255,126,895,396,0.3067389620449264,0.6890196078431372,0.40039682539682553,8.09,9.47
test,12,target_ge9,137,79,627,345,0.3549382716049383,1.03992700729927,0.8194936708860758,8.09,9.47
test,12,abs_delta_ge1,1362,66,4302,306,0.06640625,0.22222466960352427,1.6725757575757576,8.09,9.47
