phase,horizon_h,subset,axis,stratum,scheduled_rows,observed,unknown_truth,pairs,failures,both_hit,hit_to_miss,miss_to_hit,both_miss,control_hits,augmented_hits,control_mae,augmented_mae,sum_absolute_error_change,control_under_halfmeter,augmented_under_halfmeter,control_over_halfmeter,augmented_over_halfmeter
test,5,level_ge_7m,known_trend,unknown,2,2,0,1,1,1,0,0,0,1,1,0.4393235353151219,0.2935614158046782,-0.1457621195104437,0,0,0,0
test,5,level_ge_7m,upstream,missing,97,97,0,96,1,59,1,6,30,60,65,0.6799170932315404,0.6441574919571603,-3.432921722340482,18,16,18,15
test,5,level_ge_7m,upstream,complete,140,140,0,140,0,107,7,5,21,114,112,0.2915012986669781,0.30112459229352095,1.3472611077159957,12,16,14,12
test,5,level_ge_7m,transition,both_hit,166,166,0,166,0,166,0,0,0,166,166,0.18026420582394653,0.17580774377709363,-0.7397726997775793,0,0,0,0
test,5,level_ge_7m,transition,hit_to_miss,8,8,0,8,0,0,8,0,0,8,0,0.36433651525534105,0.6431570752560388,2.230564480005582,0,7,0,1
test,5,level_ge_7m,transition,both_miss,51,51,0,51,0,0,0,0,51,0,0,1.3161787188925114,1.2707927370895795,-2.314685071949527,25,25,26,26
test,5,level_ge_7m,transition,missing_forecast,1,1,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0
test,5,level_ge_7m,transition,miss_to_hit,11,11,0,11,0,0,0,11,0,0,11,0.5562325282971718,0.4415264080332662,-1.261767322902962,5,0,6,0
test,6,all,total,all,1962,1939,23,1927,12,1726,20,36,145,1746,1762,0.20676128900797808,0.20034593331491557,-12.36239042053142,98,104,83,61
test,6,all,target_level,below7,1702,1702,0,1691,11,1582,15,23,71,1597,1605,0.15198120040430763,0.14956008443228935,-4.094107108682881,56,66,38,20
test,6,all,target_level,7to9,120,120,0,120,0,93,2,13,12,95,106,0.32168196200153637,0.2834623499479606,-4.586353446429097,14,9,11,5
test,6,all,target_level,unknown,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,6,all,target_level,atleast9,117,117,0,116,1,51,3,0,62,54,51,0.8864392982284932,0.8546985235266014,-3.681929865419442,28,29,34,36
test,6,all,known_trend,stable,1129,1123,6,1123,0,1054,6,19,44,1060,1073,0.14889275194761806,0.14442720749407398,-5.014806421329982,35,34,28,16
test,6,all,known_trend,falling,468,463,5,463,0,404,6,2,51,410,406,0.2296447226784855,0.22787278390942273,-0.8204076500760609,32,37,21,20
test,6,all,known_trend,rising,337,336,1,336,0,264,8,15,49,272,279,0.36651468369245743,0.3473499828351872,-6.439339488042787,31,33,33,24
test,6,all,known_trend,unknown,28,17,11,5,12,4,0,0,1,4,4,0.3496006320788406,0.33203325986232224,-0.0878368610825917,0,0,1,1
test,6,all,upstream,missing,604,586,18,576,10,499,2,14,61,501,513,0.2807925226746807,0.255638681207626,-14.488612685023506,32,31,43,32
test,6,all,upstream,complete,1358,1353,5,1351,2,1227,18,22,84,1245,1249,0.17519800951721512,0.1767718231844928,2.1262222644920863,66,73,40,29
test,6,all,transition,both_hit,1726,1726,0,1726,0,1726,0,0,0,1726,1726,0.1264384329469097,0.12357969895956503,-4.934174862156926,0,0,0,0
test,6,all,transition,miss_to_hit,36,36,0,36,0,0,0,36,0,0,36,0.585196916348662,0.3800559828716524,-7.385073605172344,11,0,25,0
test,6,all,transition,both_miss,145,145,0,145,0,0,0,0,145,0,0,1.0438466669856492,1.017409703687906,-3.833359678172766,87,87,58,58
test,6,all,transition,hit_to_miss,20,20,0,20,0,0,20,0,0,20,0,0.38857064752682985,0.5780815337753605,3.7902177249706153,0,17,0,3
test,6,all,transition,unknown_truth,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,6,all,transition,missing_forecast,12,12,0,0,12,0,0,0,0,0,0,,,0,0,0,0,0
test,6,level_ge_7m,total,all,237,237,0,236,1,144,5,13,74,149,157,0.5992745509944473,0.564239452215428,-8.268283311848538,42,38,45,41
test,6,level_ge_7m,target_level,7to9,120,120,0,120,0,93,2,13,12,95,106,0.32168196200153637,0.2834623499479606,-4.586353446429097,14,9,11,5
test,6,level_ge_7m,target_level,atleast9,117,117,0,116,1,51,3,0,62,54,51,0.8864392982284932,0.8546985235266014,-3.681929865419442,28,29,34,36
test,6,level_ge_7m,known_trend,stable,74,74,0,74,0,61,0,3,10,61,64,0.3887384146691791,0.37250460499937876,-1.2013019155652174,10,7,3,3
test,6,level_ge_7m,known_trend,rising,81,81,0,81,0,25,5,9,42,30,34,0.9627023599070309,0.9112469114989589,-4.167891321053834,27,27,24,20
test,6,level_ge_7m,known_trend,falling,80,80,0,80,0,58,0,1,21,58,59,0.42406082345208806,0.38970700300998434,-2.7483056353683004,5,4,17,17
test,6,level_ge_7m,known_trend,unknown,2,2,0,1,1,0,0,0,1,0,0,0.7583943205337604,0.6076098806725732,-0.15078443986118728,0,0,1,1
test,6,level_ge_7m,upstream,missing,97,97,0,96,1,44,0,9,43,44,53,0.9511650105711896,0.8418242548370983,-10.496712550472752,22,19,30,24
test,6,level_ge_7m,upstream,complete,140,140,0,140,0,100,5,4,31,105,104,0.3579782358561097,0.3738955875605684,2.228429238624213,20,19,15,17
test,6,level_ge_7m,transition,both_hit,144,144,0,144,0,144,0,0,0,144,144,0.18830837795678793,0.19040842138306033,0.30240625338322324,0,0,0,0
