phase,profile,horizon_h,subset,family,carreiro_availability,classified_rows,unknown_truth,observed_targets,pairs,failures,hits,sum_abs_error_m,mae_m,bias_m,max_abs_m
test,A,3,all,mixed_profile_candidate,complete,1405,5,1400,1395,5,1367,134.33236579388233,0.0962956027196289,0.004027448071364139,1.0753632970139049
test,A,3,all,mixed_profile_candidate,partial,16,0,16,16,0,16,1.8053599601478059,0.11283499750923787,0.05943267203332003,0.32081746903793373
test,A,3,all,mixed_profile_candidate,fully_missing,544,18,526,522,4,486,78.20367797801802,0.14981547505367437,0.0027870494177612204,3.5417724438313964
test,A,3,all,carreiro_missing_exposure,complete,1405,5,1400,1395,5,1368,134.62796748380458,0.09650750357261977,0.004983758843511388,0.9779057633980326
test,A,3,all,carreiro_missing_exposure,partial,16,0,16,16,0,16,1.859568545338063,0.11622303408362894,0.052185340076846554,0.32322259878007564
test,A,3,all,carreiro_missing_exposure,fully_missing,544,18,526,522,4,483,77.02672264844662,0.14756077135717743,-0.0010508681887773982,3.569719370791849
test,A,3,level_ge_7m,profile_A_control,complete,147,5,142,142,0,136,21.89532360204743,0.15419241973272838,-0.009339708535082389,0.9541938231108986
test,A,3,level_ge_7m,profile_A_control,partial,16,0,16,16,0,16,1.871482270790933,0.11696764192443332,0.0831595448292205,0.34839090611624
test,A,3,level_ge_7m,profile_A_control,fully_missing,97,18,79,78,1,58,35.99304029527109,0.4614492345547576,-0.18025838140350628,3.8502978392165037
test,A,3,level_ge_7m,profile_B_control,complete,147,5,142,142,0,136,20.97238780502761,0.1476928718663916,-0.003641382097772714,0.7451468353396038
test,A,3,level_ge_7m,profile_B_control,partial,16,0,16,16,0,16,1.5729462317306098,0.09830913948316311,0.04144225163355464,0.2750420705625025
test,A,3,level_ge_7m,profile_B_control,fully_missing,97,18,79,78,1,59,31.591084303485317,0.4050139013267348,-0.15176121606789533,3.591469992707828
test,A,3,level_ge_7m,mixed_profile_candidate,complete,147,5,142,142,0,135,20.507811834445164,0.1444212101017265,-0.010512252389214603,0.8009367996348562
test,A,3,level_ge_7m,mixed_profile_candidate,partial,16,0,16,16,0,16,1.8053599601478059,0.11283499750923787,0.05943267203332003,0.32081746903793373
test,A,3,level_ge_7m,mixed_profile_candidate,fully_missing,97,18,79,78,1,60,32.21073316983753,0.41295811756201967,-0.13737819572062818,3.5417724438313964
