phase,profile,horizon_h,population,subset,reference,relation,observed_targets,pairs,failures,reference_hits,exposed_hits,hits_delta,reference_mae_m,exposed_mae_m,mae_m_delta,reference_bias_m,exposed_bias_m,bias_m_delta,reference_p98_abs_m,exposed_p98_abs_m,p98_abs_m_delta,reference_max_abs_m,exposed_max_abs_m,max_abs_m_delta
test,A,4,complete24,level_ge_7m,profile_A_control,matching_profile,141,141,0,129,126,-3,0.21401654763344402,0.23746850187314228,0.02345195423969826,-0.014772773930388377,-0.01176643221078176,0.0030063417196066165,0.8610170378343888,1.081185535061373,0.22016849722698428,1.0126687812034216,1.3416352072626214,0.3289664260591998
test,A,4,complete24,level_ge_7m,profile_B_control,cross_profile,141,141,0,129,126,-3,0.21542542670658452,0.23746850187314228,0.022043075166557763,-0.02632521716014023,-0.01176643221078176,0.014558784949358469,0.8142006315275215,1.081185535061373,0.2669849035338515,1.11492535080016,1.3416352072626214,0.22670985646246145
test,A,4,missing24,all,mixed_profile_candidate,primary_unmasked,596,586,10,545,545,0,0.18925348430250144,0.18387488634748922,-0.005378597955012221,-0.02913789557023754,-0.020589759381321255,0.008548136188916287,1.303990659513822,1.1388546776108623,-0.16513598190295964,4.7455033562984505,4.495891280183935,-0.24961207611451552
test,A,4,missing24,all,profile_A_control,matching_profile,596,586,10,551,545,-6,0.17322591710923643,0.18387488634748922,0.010648969238252787,-0.03313940616967849,-0.020589759381321255,0.012549646788357235,1.1060064429972427,1.1388546776108623,0.03284823461361963,4.579107233006882,4.495891280183935,-0.0832159528229468
test,A,4,missing24,all,profile_B_control,cross_profile,596,586,10,538,545,7,0.19737107037405,0.18387488634748922,-0.013496184026560776,-0.02748289307836097,-0.020589759381321255,0.006893133697039713,1.2059032491950852,1.1388546776108623,-0.06704857158422284,4.745916441945315,4.495891280183935,-0.25002516176138023
test,A,4,missing24,level_ge_7m,mixed_profile_candidate,primary_unmasked,96,95,1,72,72,0,0.5728043876745994,0.5511230294519467,-0.021681358222652714,-0.24069566389836267,-0.19303591622809843,0.047659747670264235,3.92262320661903,3.648822659394896,-0.27380054722413405,4.7455033562984505,4.495891280183935,-0.24961207611451552
test,A,4,missing24,level_ge_7m,profile_A_control,matching_profile,96,95,1,70,72,2,0.5381123248309875,0.5511230294519467,0.013010704620959213,-0.1883686959245424,-0.19303591622809843,-0.004667220303556041,3.732097286452388,3.648822659394896,-0.083274627057492,4.579107233006882,4.495891280183935,-0.0832159528229468
test,A,4,missing24,level_ge_7m,profile_B_control,cross_profile,96,95,1,72,72,0,0.5633685294036319,0.5511230294519467,-0.012245499951685224,-0.22257406004951727,-0.19303591622809843,0.02953814382141884,3.911908739871886,3.648822659394896,-0.2630860804769899,4.745916441945315,4.495891280183935,-0.25002516176138023
test,A,5,full_schedule,all,mixed_profile_candidate,primary_unmasked,1940,1929,11,1845,1841,-4,0.1592206798094355,0.15873697733313114,-0.0004837024763043596,-0.012761179648897093,-0.008089718806485839,0.004671460842411254,0.807484587166888,0.7905179211030355,-0.016966666063852442,5.4406707406415205,5.360948850950573,-0.07972188969094773
test,A,5,full_schedule,all,profile_A_control,matching_profile,1940,1929,11,1856,1841,-15,0.1529170486007049,0.15873697733313114,0.005819928732426233,-0.014256550282812017,-0.008089718806485839,0.0061668314763261775,0.8160040983192122,0.7905179211030355,-0.02548617721617663,5.585721334594157,5.360948850950573,-0.2247724836435845
test,A,5,full_schedule,all,profile_B_control,cross_profile,1940,1929,11,1838,1841,3,0.16570596013149794,0.15873697733313114,-0.006968982798366802,-0.021350561904082434,-0.008089718806485839,0.013260843097596595,0.8906871392823486,0.7905179211030355,-0.10016921817931301,5.577554864047173,5.360948850950573,-0.21660601309659988
test,A,5,full_schedule,level_ge_7m,mixed_profile_candidate,primary_unmasked,237,236,1,178,179,1,0.4876970563733857,0.47391785890163957,-0.013779197471746107,-0.12348052797019198,-0.09994801532401143,0.023532512646180545,3.195954585959318,3.1085045299338914,-0.08745005602542655,5.4406707406415205,5.360948850950573,-0.07972188969094773
