phase,profile,horizon_h,subset,partition,category,pairs,gained,lost,both_hit,both_miss,net_hits
test,B,3,level_ge_7m,future_response,falling,72,0,0,64,8,0
test,B,3,level_ge_7m,future_response,stable,109,0,1,107,1,-1
test,B,3,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,B,4,all,known_trend,rising,339,4,4,299,32,0
test,B,4,all,known_trend,falling,465,2,2,441,20,0
test,B,4,all,known_trend,stable,1124,1,1,1114,8,0
test,B,4,all,known_trend,unknown,4,0,0,4,0,0
test,B,4,all,future_response,rising,375,5,5,327,38,0
test,B,4,all,future_response,falling,396,2,0,381,13,2
test,B,4,all,future_response,stable,1161,0,2,1150,9,-2
test,B,4,all,future_response,unknown,0,0,0,0,0,0
test,B,4,level_ge_7m,known_trend,rising,80,3,0,47,30,3
test,B,4,level_ge_7m,known_trend,falling,85,2,0,71,12,2
test,B,4,level_ge_7m,known_trend,stable,70,1,1,66,2,0
test,B,4,level_ge_7m,known_trend,unknown,1,0,0,1,0,0
test,B,4,level_ge_7m,future_response,rising,64,4,0,33,27,4
test,B,4,level_ge_7m,future_response,falling,91,2,0,76,13,2
test,B,4,level_ge_7m,future_response,stable,81,0,1,76,4,-1
test,B,4,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,B,5,all,known_trend,rising,339,5,3,284,47,2
test,B,5,all,known_trend,falling,464,1,1,430,32,0
test,B,5,all,known_trend,stable,1123,2,3,1103,15,-1
test,B,5,all,known_trend,unknown,4,0,0,4,0,0
test,B,5,all,future_response,rising,416,7,4,352,53,3
test,B,5,all,future_response,falling,486,0,0,464,22,0
test,B,5,all,future_response,stable,1028,1,3,1005,19,-2
test,B,5,all,future_response,unknown,0,0,0,0,0,0
test,B,5,level_ge_7m,known_trend,rising,83,3,1,39,40,2
test,B,5,level_ge_7m,known_trend,falling,82,0,0,64,18,0
test,B,5,level_ge_7m,known_trend,stable,70,0,2,62,6,-2
test,B,5,level_ge_7m,known_trend,unknown,1,0,0,1,0,0
test,B,5,level_ge_7m,future_response,rising,69,3,1,28,37,2
test,B,5,level_ge_7m,future_response,falling,98,0,0,80,18,0
test,B,5,level_ge_7m,future_response,stable,69,0,2,58,9,-2
test,B,5,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,B,6,all,known_trend,rising,339,2,5,278,54,-3
test,B,6,all,known_trend,falling,463,0,3,407,53,-3
test,B,6,all,known_trend,stable,1122,3,6,1071,42,-3
test,B,6,all,known_trend,unknown,4,0,0,3,1,0
test,B,6,all,future_response,rising,453,2,6,356,89,-4
test,B,6,all,future_response,falling,586,2,2,549,33,0
test,B,6,all,future_response,stable,889,1,6,854,28,-5
test,B,6,all,future_response,unknown,0,0,0,0,0,0
test,B,6,level_ge_7m,known_trend,rising,85,1,4,39,41,-3
test,B,6,level_ge_7m,known_trend,falling,80,0,2,58,20,-2
test,B,6,level_ge_7m,known_trend,stable,70,0,2,61,7,-2
test,B,6,level_ge_7m,known_trend,unknown,1,0,0,0,1,0
test,B,6,level_ge_7m,future_response,rising,78,0,1,38,39,-1
test,B,6,level_ge_7m,future_response,falling,103,0,2,81,20,-2
test,B,6,level_ge_7m,future_response,stable,55,1,5,39,10,-4
test,B,6,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,B,7,all,known_trend,rising,339,1,2,271,65,-1
test,B,7,all,known_trend,falling,462,2,0,388,72,2
test,B,7,all,known_trend,stable,1121,1,2,1030,88,-1
test,B,7,all,known_trend,unknown,4,0,0,3,1,0
test,B,7,all,future_response,rising,490,1,2,380,107,-1
test,B,7,all,future_response,falling,667,2,0,592,73,2
test,B,7,all,future_response,stable,769,1,2,720,46,-1
test,B,7,all,future_response,unknown,0,0,0,0,0,0
test,B,7,level_ge_7m,known_trend,rising,88,0,2,34,52,-2
test,B,7,level_ge_7m,known_trend,falling,78,0,0,50,28,0
test,B,7,level_ge_7m,known_trend,stable,69,0,0,53,16,0
test,B,7,level_ge_7m,known_trend,unknown,1,0,0,0,1,0
test,B,7,level_ge_7m,future_response,rising,83,0,1,33,49,-1
test,B,7,level_ge_7m,future_response,falling,107,0,0,76,31,0
test,B,7,level_ge_7m,future_response,stable,46,0,1,28,17,-1
test,B,7,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,B,8,all,known_trend,rising,339,1,1,257,80,0
test,B,8,all,known_trend,falling,462,5,0,360,97,5
test,B,8,all,known_trend,stable,1119,8,3,989,119,5
test,B,8,all,known_trend,unknown,4,0,0,3,1,0
test,B,8,all,future_response,rising,516,5,1,375,135,4
test,B,8,all,future_response,falling,736,4,1,619,112,3
