phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,4,all,missing24,levels45_original,636,634,594,40,554,0.9326599326599326,0.8738170347003155,0.1941960296586179,0.14833261627044964,0.61350232058913,0.8689498929970703
validation,4,all,missing24,levels45_augmented,636,634,594,40,575,0.968013468013468,0.9069400630914827,0.11865605423459127,0.040148379690717516,0.552317635896746,0.9364392880213397
validation,4,all,missing24,rain108_original,636,634,594,40,555,0.9343434343434344,0.8753943217665615,0.15842686542602047,0.01913306799952483,0.9741242065093557,1.9652643666687286
validation,4,all,missing24,rain108_augmented,636,634,594,40,553,0.930976430976431,0.8722397476340694,0.15503622694381594,0.015458667518807093,0.9461460301313891,1.8132254391780682
validation,4,level_ge_7m,full_schedule,observed_control,6548,28,28,0,26,0.9285714285714286,0.9285714285714286,0.16646123882897323,0.001845246880732779,0.532564298850716,0.560207741268413
validation,4,level_ge_7m,full_schedule,augmented,6548,28,28,0,26,0.9285714285714286,0.9285714285714286,0.24035275354071603,0.17677014017609885,0.8219883985171228,0.8487322721377595
validation,4,level_ge_7m,full_schedule,core_original,6548,28,28,0,22,0.7857142857142857,0.7857142857142857,0.3125724089794089,0.19272079773185494,0.7199875722394385,0.7701679425670251
validation,4,level_ge_7m,full_schedule,core_augmented,6548,28,28,0,25,0.8928571428571429,0.8928571428571429,0.28383949736198594,0.181172486549043,0.6306014673784797,0.7191871101207665
validation,4,level_ge_7m,full_schedule,levels45_original,6548,28,28,0,27,0.9642857142857143,0.9642857142857143,0.13242030278198944,0.03809742234517161,0.48550126201092364,0.5189399170521671
validation,4,level_ge_7m,full_schedule,levels45_augmented,6548,28,28,0,26,0.9285714285714286,0.9285714285714286,0.19458015699372772,0.09855901680303705,0.5491295792195182,0.5542125988354503
validation,4,level_ge_7m,full_schedule,rain108_original,6548,28,28,0,25,0.8928571428571429,0.8928571428571429,0.27343945144231363,0.14055974427676848,0.7631794467119568,1.0018448604702561
