phase,horizon_h,contrast,reference,candidate,reference_hits,candidate_hits,change_hits,reference_mae_m,candidate_mae_m,change_mae_m,reference_bias_m,candidate_bias_m,change_bias_m,reference_p98_abs_m,candidate_p98_abs_m,change_p98_abs_m,reference_max_abs_m,candidate_max_abs_m,change_max_abs_m
validation,3,year45,levels45_original,levels45_augmented,28,28,0,0.12987920650615734,0.17334437183866683,0.04346516533250949,0.05262594939147421,0.1244908652881305,0.07186491589665628,0.3742765701026477,0.45094175292138783,0.07666518281874013,0.4355718196940259,0.4668114195746167,0.031239599880590774
validation,3,year108,rain108_original,rain108_augmented,24,28,4,0.24068052060702896,0.18790577601736613,-0.05277474458966283,0.0730689222027864,0.08905608050044776,0.01598715829766137,0.6134986564444408,0.405472391863708,-0.2080262645807328,0.6369586233543423,0.42028925796775773,-0.21666936538658454
validation,3,rain_with_aux_original,levels45_original,observed_control,28,26,-2,0.12987920650615734,0.16960676474370254,0.0397275582375452,0.05262594939147421,0.0480847892416398,-0.004541160149834411,0.3742765701026477,0.5556545652840782,0.1813779951814305,0.4355718196940259,0.6140799441250824,0.17850812443105646
validation,3,rain_with_aux_augmented,levels45_augmented,augmented,28,25,-3,0.17334437183866683,0.20403266818776372,0.030688296349096894,0.1244908652881305,0.11297069730980801,-0.01152016797832249,0.45094175292138783,0.5821260406297245,0.13118428770833668,0.4668114195746167,0.5932292719987533,0.1264178524241366
validation,3,rain_without_aux_original,core_original,rain108_original,24,24,0,0.21344794759956157,0.24068052060702896,0.027232573007467398,0.08358062133262248,0.0730689222027864,-0.010511699129836086,0.5789384330759704,0.6134986564444408,0.03456022336847042,0.6036826012244667,0.6369586233543423,0.03327602212987557
validation,3,rain_without_aux_augmented,core_augmented,rain108_augmented,27,28,1,0.19104831910612788,0.18790577601736613,-0.0031425430887617456,0.08570414595577251,0.08905608050044776,0.00335193454467525,0.4386813461486111,0.405472391863708,-0.033208954284903114,0.5030409911690628,0.42028925796775773,-0.08275173320130502
validation,3,aux_with_rain_original,rain108_original,observed_control,24,26,2,0.24068052060702896,0.16960676474370254,-0.07107375586332643,0.0730689222027864,0.0480847892416398,-0.024984132961146592,0.6134986564444408,0.5556545652840782,-0.0578440911603626,0.6369586233543423,0.6140799441250824,-0.0228786792292599
validation,3,aux_with_rain_augmented,rain108_augmented,augmented,28,25,-3,0.18790577601736613,0.20403266818776372,0.01612689217039759,0.08905608050044776,0.11297069730980801,0.023914616809360245,0.405472391863708,0.5821260406297245,0.17665364876601652,0.42028925796775773,0.5932292719987533,0.17294001403099557
validation,3,aux_without_rain_original,core_original,levels45_original,24,28,4,0.21344794759956157,0.12987920650615734,-0.08356874109340423,0.08358062133262248,0.05262594939147421,-0.030954671941148267,0.5789384330759704,0.3742765701026477,-0.20466186297332267,0.6036826012244667,0.4355718196940259,-0.1681107815304408
validation,3,aux_without_rain_augmented,core_augmented,levels45_augmented,27,28,1,0.19104831910612788,0.17334437183866683,-0.01770394726746105,0.08570414595577251,0.1244908652881305,0.038786719332357986,0.4386813461486111,0.45094175292138783,0.012260406772776733,0.5030409911690628,0.4668114195746167,-0.036229571594446064
validation,4,year120,observed_control,augmented,26,26,0,0.16646123882897323,0.24035275354071603,0.0738915147117428,0.001845246880732779,0.17677014017609885,0.17492489329536606,0.532564298850716,0.8219883985171228,0.2894240996664068,0.560207741268413,0.8487322721377595,0.2885245308693465
validation,4,year33,core_original,core_augmented,22,25,3,0.3125724089794089,0.28383949736198594,-0.028732911617422974,0.19272079773185494,0.181172486549043,-0.011548311182811938,0.7199875722394385,0.6306014673784797,-0.08938610486095888,0.7701679425670251,0.7191871101207665,-0.05098083244625862
validation,4,year45,levels45_original,levels45_augmented,27,26,-1,0.13242030278198944,0.19458015699372772,0.06215985421173828,0.03809742234517161,0.09855901680303705,0.06046159445786544,0.48550126201092364,0.5491295792195182,0.06362831720859458,0.5189399170521671,0.5542125988354503,0.03527268178328313
