phase,horizon_h,interaction,left,right,difference_of_effects_hits,difference_of_effects_mae_m,difference_of_effects_max_abs_m
test,5,rain_aux_original,rain_without_aux_original,rain_with_aux_original,3,-0.04354903558553108,-0.5857181039298247
test,5,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,4,0.009272379199099567,0.16200794402954255
test,6,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,5,-0.021312272190429637,-0.5364243377206668
test,6,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,9,-0.023852013479191858,-0.4928666578558074
test,6,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,-3,-0.011544878814129134,-0.6440289690906313
test,6,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,1,-0.014084620102891354,-0.600471289225772
test,6,rain_aux_original,rain_without_aux_original,rain_with_aux_original,8,-0.048044250671533284,-0.3207509015648684
test,6,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,4,-0.04550450938277106,-0.3643085814297278
test,7,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,-10,-0.0010705451355150775,-1.0633672521632196
test,7,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,-6,-0.021874056175922085,-1.1868743232116241
test,7,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,3,-0.0006159672280712236,-0.6759233276197083
test,7,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,7,-0.02141947826847823,-0.7994303986681128
test,7,rain_aux_original,rain_without_aux_original,rain_with_aux_original,3,-0.055878371201808164,0.3693630843046778
test,7,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,-1,-0.035074860161401156,0.4928701553530823
test,8,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,9,-0.08722411712040479,-1.7718045218314282
test,8,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,14,-0.08851854531294212,-1.8795870625856024
test,8,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,1,-0.04278831558209406,-0.565433806580705
test,8,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,6,-0.044082743774631394,-0.6732163473348791
test,8,rain_aux_original,rain_without_aux_original,rain_with_aux_original,11,-0.04096048142031994,0.22251356988981907
test,8,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,6,-0.039666053227782605,0.3302961106439932
test,9,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,17,-0.060729046755103266,-1.1643724371370752
test,9,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,15,-0.06156514924880052,-1.7343587754707839
test,9,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,-2,-0.018180644153721226,-0.09181594722465469
test,9,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,-4,-0.01901674664741848,-0.6618022855583634
test,9,rain_aux_original,rain_without_aux_original,rain_with_aux_original,10,-0.07664871045848098,-0.9757805855970325
test,9,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,12,-0.07581260796478373,-0.4057942472633238
test,10,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,16,0.0027207736873330335,-1.358041162355324
test,10,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,0,-0.06515691656524436,-1.4603627004698128
test,10,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,-2,-0.014652634046060542,-0.2742145076807132
