role,period,horizon_h,population,subset,family,observed_targets,pairs,failures,raw_hits,normalized_hits,hits_delta,raw_mae_m,normalized_mae_m,mae_m_delta,raw_bias_m,normalized_bias_m,bias_m_delta,raw_p98_abs_m,normalized_p98_abs_m,p98_abs_m_delta,raw_max_abs_m,normalized_max_abs_m,max_abs_m_delta
original_2025_2026,validation,3,full_schedule,level_ge_7m,plus2020,28,28,0,26,26,0,0.1502673038111546,0.14103129977389464,-0.009236004037259965,0.09533394613663794,0.09994658952576055,0.004612643389122609,0.5406408494591053,0.5621810374712696,0.021540188012164285,0.5506832464500686,0.6137224301475488,0.06303918369748018
original_2025_2026,validation,3,complete24,all,original,5886,5886,0,5861,5860,-1,0.03993262475489892,0.040485920397918186,0.0005532956430192651,0.004508093784665101,0.003856530024163189,-0.0006515637605019114,0.22687183754540666,0.22965318576254048,0.0027813482171338277,1.537354044244438,1.576166597600027,0.038812553355588975
original_2025_2026,validation,3,complete24,all,plus2020,5886,5886,0,5869,5869,0,0.04592558613209309,0.04633252565770313,0.00040693952561003666,0.0012754001617391814,0.0020499906151820717,0.0007745904534428904,0.23183086066858477,0.222597904676751,-0.009232955991833769,1.3431559959292265,1.3696499190390323,0.026493923109805806
original_2025_2026,validation,3,complete24,level_ge_7m,original,28,28,0,26,26,0,0.16960676474370254,0.17053312448485594,0.0009263597411534041,0.0480847892416398,0.05278913967713853,0.00470435043549873,0.5556545652840782,0.5718399857851914,0.016185420501113157,0.6140799441250824,0.6316653597274993,0.017585415602416887
original_2025_2026,validation,3,complete24,level_ge_7m,plus2020,28,28,0,26,26,0,0.1502673038111546,0.14103129977389464,-0.009236004037259965,0.09533394613663794,0.09994658952576055,0.004612643389122609,0.5406408494591053,0.5621810374712696,0.021540188012164285,0.5506832464500686,0.6137224301475488,0.06303918369748018
original_2025_2026,validation,3,missing24,all,original,629,590,39,583,581,-2,0.09840263197777305,0.0953510974448364,-0.0030515345329366478,0.03949709393990832,0.03385361353206883,-0.005643480407839491,0.4597995446900129,0.452103797747238,-0.0076957469427748615,0.9561634130213972,0.9661699313222332,0.010006518300835987
original_2025_2026,validation,3,missing24,all,plus2020,629,590,39,566,566,0,0.11785809935955158,0.11925676487655719,0.0013986655170056123,-0.006824312806828807,-0.001707922337047366,0.0051163904697814405,0.6359195125056528,0.6232805355994051,-0.012638976906247712,1.5437613425998904,1.4097378439307717,-0.13402349866911867
original_2025_2026,validation,3,missing24,level_ge_7m,original,0,0,0,0,0,0,,,,,,,,,,,,
original_2025_2026,validation,3,missing24,level_ge_7m,plus2020,0,0,0,0,0,0,,,,,,,,,,,,
original_2025_2026,validation,4,full_schedule,all,original,6514,6474,40,6431,6432,1,0.06104765754702062,0.06123232267757822,0.00018466513055759998,0.014452144778230811,0.013718337307140342,-0.00073380747109047,0.34029778549374,0.34295527429018813,0.0026574887964481153,1.8219056508267162,1.8541260734088905,0.03222042258217428
original_2025_2026,validation,4,full_schedule,all,plus2020,6514,6474,40,6398,6405,7,0.0691378063439237,0.06874768131543231,-0.00039012502849139485,0.0006965687631171053,-0.00017920262012547088,-0.0008757713832425761,0.3526391332466202,0.3395334266768579,-0.013105706569762343,1.7827902731617415,1.700231612007255,-0.08255866115448662
