horizon_h,subset,component,n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
6,all,anchor_curve_error_m,1925,1923,0.9989610389610389,0.046380545390551954,-0.0003193759461495747,0.09610738208969238,0.1803341402100853,0.713621507643091
6,high,total_error_m,234,115,0.49145299145299143,0.7454651845628175,0.28034414954520637,1.692492439017019,2.8855910510183165,4.190778631942209
6,high,flow_conversion_error_m,234,125,0.5341880341880342,0.6716370195277662,0.2617114946211431,1.641416039538553,2.6760266024894674,4.125678480389237
6,high,anchor_curve_error_m,234,232,0.9914529914529915,0.1125542913634492,0.01863265492406341,0.18848750043867651,0.41537495430258065,0.713621507643091
7,all,total_error_m,1923,1403,0.7295891835673427,0.396816083429904,0.042740963739680345,0.7781615539484779,1.641590576536067,4.913469515100857
7,all,flow_conversion_error_m,1923,1376,0.7155486219448778,0.39852708962275807,0.043073441594450014,0.7921898249889991,1.531610794102255,4.819918697208884
7,all,anchor_curve_error_m,1923,1919,0.9979199167966719,0.051136162610216904,-0.00033247785476962424,0.10315282495543796,0.20524322314024512,0.7544316992837166
7,high,total_error_m,234,108,0.46153846153846156,0.8290090411120603,0.32715516342610956,1.8371314905159326,3.1416538409041577,4.913469515100857
7,high,flow_conversion_error_m,234,120,0.5128205128205128,0.7454991676930219,0.30475316754036796,1.6978404595606464,2.9294227548345777,4.819918697208884
7,high,anchor_curve_error_m,234,230,0.9829059829059829,0.12706169240949589,0.022401995885741717,0.21411743287353072,0.4429075871446152,0.7544316992837166
8,all,total_error_m,1921,1324,0.6892243623112962,0.4297377053864959,0.05167518602528941,0.850598872858725,1.7826455054864265,5.290344913970436
8,all,flow_conversion_error_m,1921,1308,0.6808953669963561,0.43228680778343415,0.05204891289609714,0.8585783925997923,1.6480414675272148,5.282424752139338
8,all,anchor_curve_error_m,1921,1917,0.9979177511712649,0.05537662454378535,-0.0003737268708077145,0.10919180768852321,0.2323562695846696,0.7904368498406269
8,high,total_error_m,234,95,0.405982905982906,0.9038612663386382,0.3381117076547277,1.9518974871801826,3.6026330322091384,5.290344913970436
8,high,flow_conversion_error_m,234,116,0.49572649572649574,0.8134867042920945,0.3116596955945592,1.9256654528147497,3.4187203827885013,5.282424752139338
8,high,anchor_curve_error_m,234,230,0.9829059829059829,0.14158767163384742,0.026452012060168572,0.24689321301990622,0.46076050583277733,0.7904368498406269
9,all,total_error_m,1919,1281,0.6675351745700886,0.4658910252166324,0.05545207505348069,0.9141075570655828,1.9006182216885226,6.286673602768847
9,all,flow_conversion_error_m,1919,1247,0.6498176133402814,0.46854453314323624,0.05587451950321879,0.9258962553544331,1.7425040144954216,6.267946958081652
