model,phase,lead_h_nominal,regime,n,hits,accuracy_percent,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m,invalid_pairs_in_model_horizon,goal_prospectively_verified
arvores_previsao_chuva,test,2.0,rising_at_least_015m_per_h,205,201,98.04878048780488,0.11916964545221446,-0.002852682086250795,0.258084452684535,0.4615461291301536,0.6003307976205923,0,False
arvores_previsao_chuva,test,2.0,falling_at_least_015m_per_h,211,211,100.0,0.052336453898051326,0.01596291587330159,0.11078060772139597,0.14756553499471603,0.1856147224660587,0,False
arvores_previsao_chuva,test,3.0,all,1346,1336,99.25705794947994,0.06604189170818238,0.0008844305627222859,0.14650642696794502,0.35888690770946746,0.8437039811790559,0,False
arvores_previsao_chuva,test,3.0,level_ge_7m,142,135,95.07042253521126,0.1448051308058328,-0.005411777519359524,0.33000763153113427,0.5822494473735906,0.8437039811790559,0,False
arvores_previsao_chuva,test,3.0,rising_at_least_015m_per_h,208,198,95.1923076923077,0.1459371332900993,-0.028246035519812925,0.34260020535646996,0.564753247435788,0.8437039811790559,0,False
arvores_previsao_chuva,test,3.0,falling_at_least_015m_per_h,196,196,100.0,0.06901666773665678,0.027062408203104064,0.12381476731336005,0.226072555662486,0.3028145960368551,0,False
arvores_previsao_chuva,test,4.0,all,1345,1321,98.21561338289963,0.09168131118710222,0.005552063472554783,0.21439243420537682,0.4750864809794257,1.0953486015229128,0,False
arvores_previsao_chuva,test,4.0,level_ge_7m,141,123,87.23404255319149,0.22084396934848666,-0.015012278725199533,0.5466150218701449,0.879226615369771,1.0953486015229128,0,False
arvores_previsao_chuva,test,4.0,rising_at_least_015m_per_h,205,189,92.1951219512195,0.1821048678952684,-0.02924510638570541,0.4320559978675787,0.7758464874130071,1.0953486015229128,0,False
arvores_previsao_chuva,test,4.0,falling_at_least_015m_per_h,187,187,100.0,0.08018961369221676,0.02044082575994891,0.1611963203076183,0.2502118620709531,0.38813757997771603,0,False
arvores_previsao_chuva,test,5.0,all,1344,1298,96.57738095238095,0.12985514201917617,0.006784746274301925,0.3186349315262313,0.5859047840943571,1.3589401009328235,0,False
arvores_previsao_chuva,test,5.0,level_ge_7m,140,109,77.85714285714286,0.3326372999641726,0.016874050254054154,0.8395589235578318,1.0801203300841982,1.3589401009328235,0,False
arvores_previsao_chuva,test,5.0,rising_at_least_015m_per_h,201,174,86.56716417910448,0.237768341021322,-0.04951632558285636,0.5557344406593092,0.9909223156324902,1.3589401009328235,0,False
arvores_previsao_chuva,test,5.0,falling_at_least_015m_per_h,163,163,100.0,0.08465859957517592,0.02457092103352378,0.18834061828276952,0.329010802298483,0.3951658203935917,0,False
arvores_previsao_chuva,test,6.0,all,1343,1237,92.1072226358898,0.18169918844503566,-0.012742557687990553,0.4479927427213651,0.8600833351723257,2.0672389866011986,0,False
arvores_previsao_chuva,test,6.0,level_ge_7m,140,101,72.14285714285714,0.4241343967180846,-0.008721193187869687,1.0785709041772893,1.7315905759627825,2.0672389866011986,0,False
