plant,time,field,earlier_m,later_m,delta_m,earlier_collected_at,later_collected_at
JIUHMC,2026-09-21T00:00:00-03:00,val_nivelmontante,148.72,148.72,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T00:00:00-03:00,val_niveljusante,106.58,106.58,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T23:00:00-03:00,val_nivelmontante,148.71,148.71,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T23:00:00-03:00,val_niveljusante,106.57,106.57,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T22:00:00-03:00,val_nivelmontante,148.71,148.71,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T22:00:00-03:00,val_niveljusante,106.63,106.63,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T21:00:00-03:00,val_nivelmontante,148.69,148.69,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T21:00:00-03:00,val_niveljusante,106.63,106.63,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T20:00:00-03:00,val_nivelmontante,148.68,148.68,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T20:00:00-03:00,val_niveljusante,106.72,106.72,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T19:00:00-03:00,val_nivelmontante,148.68,148.68,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T19:00:00-03:00,val_niveljusante,106.97,106.97,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T18:00:00-03:00,val_nivelmontante,148.75,148.75,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
