h,model,origin,time,forecast_m,raw_forecast_m,assimilation_m,gain,validation_score,lower_error_envelope_m,upper_error_envelope_m,historical_similar_n,recent_completed_n,historical_mae_m,historical_rising_mae_m,historical_high_mae_m
4,propagacao_distribuida,2026-09-21T13:00:00-03:00,2026-09-21T17:00:00-03:00,11.14464512607732,11.14464512607732,0.0,0.0,0.33203019623839664,10.686753034756844,13.179119419876887,281,10,0.11615878554192123,0.23528724609115062,0.3200941621056436
4,propagacao_previsao_chuva,2026-09-21T13:00:00-03:00,2026-09-21T17:00:00-03:00,11.089332044186154,11.089332044186154,0.0,0.0,0.34685581490062933,10.590192499304221,13.232397991451975,280,10,0.11720513658951306,0.23753292062138368,0.31906817271580534
5,nivel_montante,2026-09-21T13:00:00-03:00,2026-09-21T18:00:00-03:00,9.298607442190596,9.298607442190596,0.0,0.0,0.3118206713450863,8.797969454418409,12.161266764624576,270,9,0.15940580598713533,0.36609153391615945,0.363959248904006
5,nivel_barragens,2026-09-21T13:00:00-03:00,2026-09-21T18:00:00-03:00,9.467291626274804,9.467291626274804,0.0,0.0,0.26420326113642306,8.892794058240861,12.344054022331777,274,9,0.14906163136121423,0.3275571246857294,0.39412418681407235
5,barragens_chuva,2026-09-21T13:00:00-03:00,2026-09-21T18:00:00-03:00,12.35116996857657,11.379121870037132,0.9720480985394396,0.5,0.3625520140576949,11.65744154482579,14.874463867900861,272,9,0.15625611181642965,0.34934595357586085,0.4912747159463953
5,integrado,2026-09-21T13:00:00-03:00,2026-09-21T18:00:00-03:00,11.239637474140972,11.239637474140972,0.0,0.0,0.3558910441865356,10.611197795969057,13.740551631933176,267,9,0.13654998616396813,0.31330317645772043,0.42270598361061346
5,propagacao_distribuida,2026-09-21T13:00:00-03:00,2026-09-21T18:00:00-03:00,11.809689659058856,11.340725023729352,0.4689646353295041,0.25,0.35601577512873644,11.165273000506199,14.30055931170243,266,9,0.14177848862537168,0.32266495099854237,0.3993144242658294
5,propagacao_previsao_chuva,2026-09-21T13:00:00-03:00,2026-09-21T18:00:00-03:00,11.748678443015647,11.239086558014009,0.5095918850016383,0.25,0.3660376440473928,11.085994045355182,14.412659756740078,266,9,0.1416979688777976,0.3262659940506668,0.3938898472450355
6,nivel_montante,2026-09-21T13:00:00-03:00,2026-09-21T19:00:00-03:00,9.415752295007286,9.415752295007286,0.0,0.0,0.3467337542804483,8.78445443833743,12.871467436487327,258,8,0.21484260988107237,0.45333234596167515,0.4980554676467954
6,nivel_barragens,2026-09-21T13:00:00-03:00,2026-09-21T19:00:00-03:00,9.621822448629706,9.621822448629706,0.0,0.0,0.3291198558727392,8.862022771904183,13.08058408355806,263,8,0.19334262247400955,0.39357695276817983,0.5335701696948623
6,barragens_chuva,2026-09-21T13:00:00-03:00,2026-09-21T19:00:00-03:00,12.566657551686516,11.817102460836765,0.7495550908497516,0.25,0.4433373700401356,11.794506768705098,15.640501724010669,259,8,0.18330301375941233,0.38486612290551037,0.5196317665828597
6,integrado,2026-09-21T13:00:00-03:00,2026-09-21T19:00:00-03:00,11.49518511352452,11.49518511352452,0.0,0.0,0.39185459531458,10.740197141473043,14.506251752653775,258,8,0.17845285463305177,0.3679346400185522,0.554974494695179
6,propagacao_distribuida,2026-09-21T13:00:00-03:00,2026-09-21T19:00:00-03:00,11.489182723724785,11.489182723724785,0.0,0.0,0.4087508229519207,10.72510842779443,14.528034663900947,259,8,0.17958510389805343,0.36295935744314567,0.5681328288502522
6,propagacao_previsao_chuva,2026-09-21T13:00:00-03:00,2026-09-21T19:00:00-03:00,11.310246821117143,11.310246821117143,0.0,0.0,0.4139304824678566,10.548731845468286,14.380569628885887,257,8,0.1779374582633863,0.36882485534759657,0.5474363905859316
