phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
test,1,level_ge_7m,missing24,native_control,614,93,92,1,86,0.9347826086956522,0.9247311827956989,0.11975251811018861,-0.018929765302554028,0.9950525636857123,1.284834339803509
test,1,level_ge_7m,missing24,augmented,614,93,92,1,87,0.9456521739130435,0.9354838709677419,0.1074172644896169,0.0029140561610103313,0.8001926902767311,1.0610535741969782
test,2,all,full_schedule,native_control,1966,1943,1936,7,1916,0.9896694214876033,0.9861039629439012,0.06050415557115221,0.003778606149644099,0.3410080390290465,2.4854087637465963
test,2,all,full_schedule,augmented,1966,1943,1936,7,1916,0.9896694214876033,0.9861039629439012,0.05856740431200687,0.007749979465555996,0.3364357094645765,2.085350770233495
test,2,all,complete24,native_control,1352,1348,1348,0,1343,0.9962908011869436,0.9962908011869436,0.050230393307000035,0.005540282128065949,0.26213798257547516,0.6421022110865842
test,2,all,complete24,augmented,1352,1348,1348,0,1344,0.9970326409495549,0.9970326409495549,0.049125867260738545,0.008576668978336383,0.2676564282592269,0.6269775398604678
test,2,all,missing24,native_control,614,595,588,7,573,0.9744897959183674,0.9630252100840336,0.08405693028556914,-0.0002600659913638151,0.5831583766529707,2.4854087637465963
test,2,all,missing24,augmented,614,595,588,7,572,0.9727891156462585,0.9613445378151261,0.08021228857239751,0.005854779698161503,0.5544545031568108,2.085350770233495
test,2,level_ge_7m,full_schedule,native_control,1966,237,236,1,225,0.9533898305084746,0.9493670886075949,0.14574519761403643,-0.014030602356920153,0.7202350736513357,2.4854087637465963
test,2,level_ge_7m,full_schedule,augmented,1966,237,236,1,229,0.9703389830508474,0.9662447257383966,0.12448928427543968,-0.004907603090709638,0.5836173537301567,2.085350770233495
test,2,level_ge_7m,complete24,native_control,1352,143,143,0,141,0.986013986013986,0.986013986013986,0.09890129071848962,0.00932233563299088,0.45435700357921155,0.6421022110865842
test,2,level_ge_7m,complete24,augmented,1352,143,143,0,143,1.0,1.0,0.08462064252594241,0.005537890495781368,0.39429248592231736,0.43983203329646514
